id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415217101849907,Air Force,Mountain West,Wyoming,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Luke Wieland kickoff for 65 yds for a touchback,,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849910,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,6,Pass Reception,Andrew Peasley pass complete to Joshua Cobbs for 6 yds to the Wyom 31,0.3333748010525683,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849913,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,31,69,2,4,False,9,Pass Reception,Andrew Peasley pass complete to Joshua Cobbs for 9 yds to the Wyom 40 for a 1ST down,0.9874797145250778,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849915,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,40,60,1,10,False,0,Pass Incompletion,Andrew Peasley pass incomplete,-1.1247712359915259,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849918,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,40,60,2,10,False,5,Rush,Titus Swen run for 5 yds to the Wyom 45,0.0666921976583623,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849920,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,45,55,3,5,False,6,Pass Reception,Andrew Peasley pass complete to Titus Swen for 6 yds to the AFA 49 for a 1ST down,2.0526490908395907,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849923,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,51,49,1,10,False,1,Rush,Titus Swen run for 1 yd to the AFA 48,-0.8564651345494897,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849925,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,52,48,2,9,False,6,Rush,Ryan Marquez run for 6 yds to the AFA 42,0.3270532024214407,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849928,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,9,1,"{'minutes': 15, 'seconds': 0}",3,3,58,42,3,3,False,5,Pass Reception,Andrew Peasley pass complete to Alex Brown for 5 yds to the AFA 37 for a 1ST down,1.2403338522885541,2022-09-17T00:00:25.000Z,3,Air Force,2022
401415217101849930,Wyoming,Mountain West,Air Force,Mountain West,Wyoming,Air Force,0,0,401415217,4014152171,1,10,1,"{'minutes': 15, 'seconds': 0}",3,3,63,37,1,10,False,7,Rush,Andrew Peasley run for 7 yds to the AFA 30,0.4132162669128242,2022-09-17T00:00:25.000Z,3,Air Force,2022
