id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401421140101854401,The Citadel,Southern,Appalachian State,Sun Belt,Appalachian State,The Citadel,0,0,401421140,4014211401,1,1,1,"{'minutes': 14, 'seconds': 55}",3,3,65,65,1,10,False,10,Kickoff Return (Offense),"Colby Kintner kickoff for 49 yds , Kaedin Robinson return for 10 yds to the AppSt 26",,2022-10-01T19:35:18.000Z,5,Appalachian State,2022
401421140101854403,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,0,0,401421140,4014211401,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,26,74,1,10,False,5,Pass Reception,Chase Brice pass complete to Camerun Peoples for 5 yds to the AppSt 31,0.0963261532824955,2022-10-01T19:35:18.000Z,5,Appalachian State,2022
401421140101854404,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,0,0,401421140,4014211401,1,3,1,"{'minutes': 14, 'seconds': 55}",3,3,31,69,2,5,False,10,Rush,Camerun Peoples run for 10 yds to the AppSt 41 for a 1ST down,1.2514378093800431,2022-10-01T19:35:18.000Z,5,Appalachian State,2022
401421140101854405,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,0,0,401421140,4014211401,1,4,1,"{'minutes': 14, 'seconds': 55}",3,3,41,59,1,10,False,3,Pass Reception,Chase Brice pass complete to Dashaun Davis for 3 yds to the AppSt 44,-0.4327220980688242,2022-10-01T19:35:18.000Z,5,Appalachian State,2022
401421140101854406,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,0,0,401421140,4014211401,1,5,1,"{'minutes': 14, 'seconds': 55}",3,3,44,56,2,7,False,9,Rush,Daetrich Harrington run for 9 yds to the Citad 47 for a 1ST down,1.4785322066008215,2022-10-01T19:35:18.000Z,5,Appalachian State,2022
401421140101854407,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,0,0,401421140,4014211401,1,6,1,"{'minutes': 14, 'seconds': 55}",3,3,53,47,1,10,False,3,Rush,Daetrich Harrington run for 3 yds to the Citad 44,-0.3535783157576075,2022-10-01T19:35:18.000Z,5,Appalachian State,2022
401421140101878101,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,7,0,401421140,4014211401,1,7,1,"{'minutes': 12, 'seconds': 18}",3,3,56,44,2,7,True,44,Passing Touchdown,"Chase Brice pass complete to Dashaun Davis for 44 yds for a TD, (Michael Hughes KICK)",3.9667805570240375,2022-10-01T19:36:10.000Z,5,Appalachian State,2022
401421140101878104,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,7,0,401421140,4014211402,2,1,1,"{'minutes': 12, 'seconds': 18}",3,3,35,65,1,10,False,0,Kickoff,Michael Hughes kickoff for 60 yds,,2022-10-01T19:36:10.000Z,5,Appalachian State,2022
401421140101878106,The Citadel,Southern,Appalachian State,Sun Belt,Appalachian State,The Citadel,0,7,401421140,4014211402,2,2,1,"{'minutes': 12, 'seconds': 18}",3,3,65,65,1,10,False,3,Rush,Logan Billings run for 3 yds to the Citad 38,-0.4062307312880424,2022-10-01T19:36:10.000Z,5,Appalachian State,2022
401421140101878107,The Citadel,Southern,Appalachian State,Sun Belt,Appalachian State,The Citadel,0,7,401421140,4014211402,2,3,1,"{'minutes': 12, 'seconds': 18}",3,3,62,62,2,7,False,2,Rush,Logan Billings run for 2 yds to the Citad 40,-0.5493962205352663,2022-10-01T19:36:10.000Z,5,Appalachian State,2022
401421140101878108,The Citadel,Southern,Appalachian State,Sun Belt,Appalachian State,The Citadel,0,7,401421140,4014211402,2,4,1,"{'minutes': 12, 'seconds': 18}",3,3,60,60,3,5,False,-5,Penalty,"PENALTY CIT False Start (Njoku,Nkem) 5 yards from CIT40 to CIT35. NO PLAY.",,2022-10-01T19:36:10.000Z,5,Appalachian State,2022
401421140101878110,The Citadel,Southern,Appalachian State,Sun Belt,Appalachian State,The Citadel,0,7,401421140,4014211402,2,5,1,"{'minutes': 12, 'seconds': 18}",3,3,65,65,3,10,False,-6,Sack,Peyton Derrick sacked by KeSean Brown for a loss of 6 yards to the Citad 29,-0.46429079680872218,2022-10-01T19:36:10.000Z,5,Appalachian State,2022
401421140101904601,The Citadel,Southern,Appalachian State,Sun Belt,Appalachian State,The Citadel,0,7,401421140,4014211402,2,6,1,"{'minutes': 9, 'seconds': 53}",3,3,71,71,4,16,False,0,Punt,"James Platte punt for 43 yds, fair catch by Tyler Page at the AppSt 28",,2022-10-01T19:43:37.000Z,5,Appalachian State,2022
401421140101904603,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,7,0,401421140,4014211403,3,1,1,"{'minutes': 9, 'seconds': 53}",3,3,28,72,1,10,False,10,Pass Reception,Chase Brice pass complete to Dalton Stroman for 10 yds to the AppSt 38 for a 1ST down,0.9026290715865617,2022-10-01T19:45:40.000Z,5,Appalachian State,2022
401421140101904604,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,7,0,401421140,4014211403,3,2,1,"{'minutes': 9, 'seconds': 53}",3,3,38,62,1,10,False,4,Rush,Daetrich Harrington run for 4 yds to the AppSt 42,-0.1660250563858484,2022-10-01T19:45:40.000Z,5,Appalachian State,2022
401421140101904605,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,7,0,401421140,4014211403,3,3,1,"{'minutes': 9, 'seconds': 53}",3,3,42,58,2,6,False,5,Rush,Chase Brice run for 5 yds to the AppSt 47,0.109495584664849,2022-10-01T19:45:40.000Z,5,Appalachian State,2022
401421140101904606,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,7,0,401421140,4014211403,3,4,1,"{'minutes': 9, 'seconds': 53}",3,3,47,53,3,1,False,0,Pass Incompletion,Chase Brice pass incomplete to Eli Wilson,-1.0967026768411419,2022-10-01T19:45:40.000Z,5,Appalachian State,2022
401421140101919801,Appalachian State,Sun Belt,The Citadel,Southern,Appalachian State,The Citadel,7,0,401421140,4014211403,3,5,1,"{'minutes': 8, 'seconds': 1}",3,3,47,53,4,1,False,1,Rush,Daetrich Harrington run for 1 yd to the AppSt 46,2.0981815005312009,2022-10-01T19:49:02.000Z,5,Appalachian State,2022
401421140101919803,The Citadel,Southern,Appalachian State,Sun Belt,Appalachian State,The Citadel,0,7,401421140,4014211404,4,1,1,"{'minutes': 8, 'seconds': 1}",3,3,46,46,1,10,False,0,Pass Incompletion,Peyton Derrick pass incomplete to Cooper Wallace,-1.0250974847844603,2022-10-01T19:49:32.000Z,5,Appalachian State,2022
