id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403875101849970,Mississippi State,SEC,Arizona,Pac-12,Arizona,Mississippi State,0,0,401403875,4014038751,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Ben Raybon kickoff for 65 yds for a touchback,,2022-09-11T03:20:05.000Z,2,Arizona,2022
401403875101849972,Arizona,Pac-12,Mississippi State,SEC,Arizona,Mississippi State,0,0,401403875,4014038751,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,5,Rush,Michael Wiley run for 5 yds to the Ariz 30,0.0945451165334843,2022-09-11T03:20:05.000Z,2,Arizona,2022
401403875101857201,Arizona,Pac-12,Mississippi State,SEC,Arizona,Mississippi State,0,0,401403875,4014038751,1,3,1,"{'minutes': 14, 'seconds': 27}",3,3,30,70,2,5,False,0,Rush,Michael Wiley run for no gain to the Ariz 30,-0.75373247206591025,2022-09-11T03:57:52.000Z,2,Arizona,2022
401403875101865101,Arizona,Pac-12,Mississippi State,SEC,Arizona,Mississippi State,0,0,401403875,4014038751,1,4,1,"{'minutes': 13, 'seconds': 48}",3,3,30,70,3,5,False,6,Pass Reception,Jayden de Laura pass complete to Jacob Cowing for 6 yds to the Ariz 36 for a 1ST down,1.58974986747841645,2022-09-11T03:57:52.000Z,2,Arizona,2022
401403875101867301,Arizona,Pac-12,Mississippi State,SEC,Arizona,Mississippi State,0,0,401403875,4014038751,1,5,1,"{'minutes': 13, 'seconds': 26}",3,3,36,64,1,10,False,30,Pass Reception,Jayden de Laura pass complete to Tanner McLachlan for 30 yds to the MisSt 34 for a 1ST down,2.210466446861661,2022-09-11T03:57:52.000Z,2,Arizona,2022
401403875101868901,Arizona,Pac-12,Mississippi State,SEC,Arizona,Mississippi State,0,0,401403875,4014038751,1,6,1,"{'minutes': 13, 'seconds': 10}",3,3,66,34,1,10,False,0,Pass Incompletion,Jayden de Laura pass incomplete,-0.6630222646782312,2022-09-11T03:57:52.000Z,2,Arizona,2022
401403875101869401,Arizona,Pac-12,Mississippi State,SEC,Arizona,Mississippi State,7,0,401403875,4014038751,1,7,1,"{'minutes': 12, 'seconds': 57}",3,3,66,34,2,10,True,34,Rushing Touchdown,Michael Wiley 34 Yd Run (Tyler Loop Kick),3.5997484255919012,2022-09-11T03:57:52.000Z,2,Arizona,2022
401403875101874801,Arizona,Pac-12,Mississippi State,SEC,Arizona,Mississippi State,7,0,401403875,4014038752,2,1,1,"{'minutes': 12, 'seconds': 51}",3,3,35,65,0,0,False,30,Kickoff,"Tyler Loop kickoff for 65 yds , Lideatrick Griffin return for 30 yds to the MisSt 30",,2022-09-11T03:20:05.000Z,2,Arizona,2022
401403875101874803,Mississippi State,SEC,Arizona,Pac-12,Arizona,Mississippi State,0,7,401403875,4014038752,2,2,1,"{'minutes': 12, 'seconds': 51}",3,3,70,70,1,10,False,11,Rush,Dillon Johnson run for 11 yds to the MisSt 41 for a 1ST down,1.0337741691059161,2022-09-11T03:57:52.000Z,2,Arizona,2022
401403875101877801,Mississippi State,SEC,Arizona,Pac-12,Arizona,Mississippi State,0,7,401403875,4014038752,2,3,1,"{'minutes': 12, 'seconds': 21}",3,3,59,59,1,10,False,4,Pass Reception,Will Rogers pass complete to Rara Thomas for 4 yds to the MisSt 45,-0.1673002614345122,2022-09-11T03:57:52.000Z,2,Arizona,2022
