id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403916101849902,BYU,FBS Independents,Arkansas,SEC,BYU,Arkansas,0,0,401403916,4014039161,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Jake Oldroyd kickoff for 65 yds for a touchback,,2022-10-15T19:35:18.000Z,7,Arkansas,2022
401403916101855901,Arkansas,SEC,BYU,FBS Independents,BYU,Arkansas,0,0,401403916,4014039161,1,2,1,"{'minutes': 14, 'seconds': 40}",3,3,75,75,1,10,False,6,Pass Reception,KJ Jefferson pass complete to Matt Landers for 6 yds to the Ark 31,0.3333748010525683,2022-10-15T19:36:41.000Z,7,Arkansas,2022
401403916101857601,Arkansas,SEC,BYU,FBS Independents,BYU,Arkansas,0,0,401403916,4014039161,1,3,1,"{'minutes': 14, 'seconds': 23}",3,3,69,69,2,4,False,1,Rush,KJ Jefferson run for 1 yd to the Ark 32,-0.7225289421677195,2022-10-15T19:37:03.000Z,7,Arkansas,2022
401403916101859801,Arkansas,SEC,BYU,FBS Independents,BYU,Arkansas,0,0,401403916,4014039161,1,4,1,"{'minutes': 14, 'seconds': 1}",3,3,68,68,3,3,False,13,Pass Reception,KJ Jefferson pass complete to Jadon Haselwood for 13 yds to the Ark 45 for a 1ST down,2.1902960235201077,2022-10-15T19:37:22.000Z,7,Arkansas,2022
401403916101865001,Arkansas,SEC,BYU,FBS Independents,BYU,Arkansas,0,0,401403916,4014039161,1,5,1,"{'minutes': 13, 'seconds': 49}",3,3,55,55,1,10,False,0,Pass Incompletion,KJ Jefferson pass incomplete to Jadon Haselwood,-1.1618692012952412,2022-10-15T19:37:44.000Z,7,Arkansas,2022
401403916101866801,Arkansas,SEC,BYU,FBS Independents,BYU,Arkansas,0,0,401403916,4014039161,1,6,1,"{'minutes': 13, 'seconds': 31}",3,3,55,55,2,10,False,3,Fumble Recovery (Opponent),"Raheim Sanders run for 3 yds to the Ark 48 Raheim Sanders fumbled, recovered by BYU Keenan Pili",,2022-10-15T19:38:56.000Z,7,Arkansas,2022
401403916101869501,BYU,FBS Independents,Arkansas,SEC,BYU,Arkansas,0,0,401403916,4014039162,2,1,1,"{'minutes': 13, 'seconds': 4}",3,3,52,48,1,10,False,0,Rush,Christopher Brooks run for no gain to the Ark 48,-1.0742999147475646,2022-10-15T19:39:34.000Z,7,Arkansas,2022
401403916101875301,BYU,FBS Independents,Arkansas,SEC,BYU,Arkansas,0,0,401403916,4014039162,2,2,1,"{'minutes': 12, 'seconds': 46}",3,3,52,48,2,10,False,3,Rush,Puka Nacua run for 3 yds to the Ark 45,-0.4010378431857991,2022-10-15T19:40:26.000Z,7,Arkansas,2022
401403916101878001,BYU,FBS Independents,Arkansas,SEC,BYU,Arkansas,0,0,401403916,4014039162,2,3,1,"{'minutes': 12, 'seconds': 19}",3,3,55,45,3,7,False,0,Pass Incompletion,Jaren Hall pass incomplete,-0.9738521669501789,2022-10-15T19:40:42.000Z,7,Arkansas,2022
401403916101878901,BYU,FBS Independents,Arkansas,SEC,BYU,Arkansas,0,0,401403916,4014039162,2,4,1,"{'minutes': 12, 'seconds': 10}",3,3,55,45,4,7,False,0,Punt,"Ryan Rehkow punt for 44 yds, downed at the Ark 1",,2022-10-15T19:41:02.000Z,7,Arkansas,2022
