id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404138101849905,Wake Forest,ACC,Army,FBS Independents,Wake Forest,Army,0,0,401404138,4014041381,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Ivan Mora kickoff for 65 yds for a touchback,,2022-10-08T23:31:46.000Z,6,Army,2022
401404138101849908,Army,FBS Independents,Wake Forest,ACC,Wake Forest,Army,0,0,401404138,4014041381,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,4,Rush,Hayden Reed run for 4 yds to the Army 29,-0.1142886249388964,2022-10-08T23:31:46.000Z,6,Army,2022
401404138101849910,Army,FBS Independents,Wake Forest,ACC,Wake Forest,Army,0,0,401404138,4014041381,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,71,71,2,6,False,47,Pass Reception,Tyhier Tyler pass complete to Tyrell Robinson for 47 yds to the WFrst 24 for a 1ST down,3.5106057960532429,2022-10-08T23:31:46.000Z,6,Army,2022
401404138101849913,Army,FBS Independents,Wake Forest,ACC,Wake Forest,Army,0,0,401404138,4014041381,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,24,24,1,10,False,-5,Penalty,"ARMY Penalty, False Start (Joshua Lingenfelter) to the WFrst 29",,2022-10-08T23:31:46.000Z,6,Army,2022
401404138101849916,Army,FBS Independents,Wake Forest,ACC,Wake Forest,Army,0,0,401404138,4014041381,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,29,29,1,15,False,-5,Penalty,"ARMY Penalty, False Start (Connor Finucane) to the WFrst 34",,2022-10-08T23:31:46.000Z,6,Army,2022
401404138101849919,Army,FBS Independents,Wake Forest,ACC,Wake Forest,Army,0,0,401404138,4014041381,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,34,34,1,20,False,9,Pass Reception,Tyhier Tyler pass complete to Isaiah Alston for 9 yds to the WFrst 25,0.5525924822603390,2022-10-08T23:39:19.000Z,6,Army,2022
401404138101849923,Army,FBS Independents,Wake Forest,ACC,Wake Forest,Army,0,0,401404138,4014041381,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,25,25,2,11,False,7,Rush,Tyhier Tyler run for 7 yds to the WFrst 18,0.2576685809365455,2022-10-08T23:39:19.000Z,6,Army,2022
401404138101849926,Army,FBS Independents,Wake Forest,ACC,Wake Forest,Army,0,0,401404138,4014041381,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,18,18,3,4,False,5,Rush,Jakobi Buchanan run for 5 yds to the WFrst 13 for a 1ST down,0.425577018067966,2022-10-08T23:39:19.000Z,6,Army,2022
401404138101895101,Army,FBS Independents,Wake Forest,ACC,Wake Forest,Army,0,0,401404138,4014041381,1,9,1,"{'minutes': 10, 'seconds': 48}",3,3,13,13,1,10,False,4,Fumble Recovery (Opponent),"Jakobi Buchanan run for 4 yds to the WFrst 9 Jakobi Buchanan fumbled, recovered by WFrst Chase Jones",,2022-10-08T23:44:34.000Z,6,Army,2022
401404138101895103,Wake Forest,ACC,Army,FBS Independents,Wake Forest,Army,0,0,401404138,4014041382,2,1,1,"{'minutes': 10, 'seconds': 48}",3,3,9,91,1,10,False,2,Rush,Justice Ellison run for 2 yds to the WFrst 11,-0.216573536110960414,2022-10-08T23:46:58.000Z,6,Army,2022
401404138101895104,Wake Forest,ACC,Army,FBS Independents,Wake Forest,Army,0,0,401404138,4014041382,2,2,1,"{'minutes': 10, 'seconds': 48}",3,3,11,89,2,8,False,5,Rush,Sam Hartman run for 5 yds to the WFrst 16,0.043744425722643144,2022-10-08T23:46:58.000Z,6,Army,2022
401404138101895105,Wake Forest,ACC,Army,FBS Independents,Wake Forest,Army,0,0,401404138,4014041382,2,3,1,"{'minutes': 10, 'seconds': 48}",3,3,16,84,3,3,False,7,Pass Reception,Sam Hartman pass complete to Blake Whiteheart for 7 yds to the WFrst 23 for a 1ST down,0.78465797222379847,2022-10-08T23:46:58.000Z,6,Army,2022
401404138101895106,Wake Forest,ACC,Army,FBS Independents,Wake Forest,Army,0,0,401404138,4014041382,2,4,1,"{'minutes': 10, 'seconds': 48}",3,3,23,77,1,10,False,5,Rush,Justice Ellison run for 5 yds to the WFrst 28,0.0909220029056970,2022-10-08T23:46:58.000Z,6,Army,2022
401404138101895107,Wake Forest,ACC,Army,FBS Independents,Wake Forest,Army,0,0,401404138,4014041382,2,5,1,"{'minutes': 10, 'seconds': 48}",3,3,28,72,2,5,False,14,Rush,Christian Turner run for 14 yds to the WFrst 42 for a 1ST down,1.5577318792443844,2022-10-08T23:46:58.000Z,6,Army,2022
401404138101895108,Wake Forest,ACC,Army,FBS Independents,Wake Forest,Army,0,0,401404138,4014041382,2,6,1,"{'minutes': 10, 'seconds': 48}",3,3,42,58,1,10,False,46,Pass Reception,Sam Hartman pass complete to A.T. Perry for 46 yds to the Army 12 for a 1ST down,2.0316086700033900,2022-10-08T23:46:58.000Z,6,Army,2022
