id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415226101849902,BYU,FBS Independents,Utah State,Mountain West,BYU,Utah State,0,0,401415226,4014152261,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Jake Oldroyd kickoff for 65 yds for a touchback,,2022-09-30T00:05:53.000Z,5,BYU,2022
401415226101854601,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,2,1,"{'minutes': 14, 'seconds': 53}",3,3,75,75,1,10,False,6,Rush,Cooper Legas run for 6 yds to the UthSt 31,0.3333748010525683,2022-09-30T00:06:54.000Z,5,BYU,2022
401415226101858501,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,3,1,"{'minutes': 14, 'seconds': 14}",3,3,69,69,2,4,False,3,Rush,Calvin Tyler Jr. run for 3 yds to the UthSt 34,-0.3564086630015160,2022-09-30T00:07:40.000Z,5,BYU,2022
401415226101859901,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,4,1,"{'minutes': 14, 'seconds': 0}",3,3,66,66,3,1,False,4,Rush,Cooper Legas run for 4 yds to the UthSt 38 for a 1ST down,1.1477853409907786,2022-09-30T00:08:03.000Z,5,BYU,2022
401415226101866601,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,5,1,"{'minutes': 13, 'seconds': 33}",3,3,62,62,1,10,False,16,Rush,Calvin Tyler Jr. run for 16 yds to the BYU 46 for a 1ST down,1.4097162325450263,2022-09-30T00:08:21.000Z,5,BYU,2022
401415226101867901,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,6,1,"{'minutes': 13, 'seconds': 20}",3,3,46,46,1,10,False,2,Pass Reception,Cooper Legas pass complete to Calvin Tyler Jr. for 2 yds to the BYU 44,-0.5661525320140282,2022-09-30T00:08:48.000Z,5,BYU,2022
401415226101876302,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,7,1,"{'minutes': 12, 'seconds': 36}",3,3,44,44,2,8,False,-1,Sack,Cooper Legas sacked by Max Tooley for a loss of 1 yard to the BYU 45,-1.3105047192545455,2022-09-30T00:10:15.000Z,5,BYU,2022
401415226101876901,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,8,1,"{'minutes': 12, 'seconds': 30}",3,3,45,45,3,9,False,12,Pass Reception,Cooper Legas pass complete to Brian Cobbs for 12 yds to the BYU 33 for a 1ST down,2.516869885901050,2022-09-30T00:10:50.000Z,5,BYU,2022
401415226101878901,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,9,1,"{'minutes': 12, 'seconds': 10}",3,3,33,33,1,10,False,7,Rush,Calvin Tyler Jr. run for 7 yds to the BYU 26,0.376233844475481,2022-09-30T00:11:57.000Z,5,BYU,2022
401415226101884901,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,10,1,"{'minutes': 11, 'seconds': 50}",3,3,26,26,2,3,False,6,Pass Reception,Cooper Legas pass complete to Brian Cobbs for 6 yds to the BYU 20 for a 1ST down,-0.091086800005192,2022-09-30T00:12:24.000Z,5,BYU,2022
401415226101894201,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,11,1,"{'minutes': 10, 'seconds': 57}",3,3,20,20,1,10,False,13,Rush,"Calvin Tyler Jr. run for 5 yds to the BYU 15 for a 1ST down BYU Penalty, Unnecessary Roughness (8 Yards) to the BYU 7 for a 1ST down",0.421173098704488,2022-09-30T00:14:51.000Z,5,BYU,2022
401415226101895401,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,12,1,"{'minutes': 10, 'seconds': 45}",3,3,7,7,1,7,False,0,Pass Incompletion,Cooper Legas pass incomplete to Brian Cobbs,-0.410393837690526,2022-09-30T00:15:07.000Z,5,BYU,2022
401415226101896001,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,7,0,401415226,4014152261,1,13,1,"{'minutes': 10, 'seconds': 39}",3,3,7,7,2,7,True,7,Rushing Touchdown,"Cooper Legas run for 7 yds for a TD, (Connor Coles KICK)",2.607148468017737,2022-09-30T00:15:39.000Z,5,BYU,2022
401415226101896002,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,0,0,401415226,4014152261,1,14,1,"{'minutes': 10, 'seconds': 39}",3,3,3,3,2,0,False,-5,Penalty,"UTAH ST Penalty, Delay of Game (-5 Yards) to the BYU 8",,,5,BYU,2022
401415226101896004,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,7,0,401415226,4014152262,2,1,1,"{'minutes': 10, 'seconds': 39}",3,3,65,65,2,15,False,35,Kickoff Return (Offense),"Elliott Nimrod kickoff for 65 yds , Hobbs Nyberg return for 35 yds to the BYU 35",,2022-09-30T00:15:39.000Z,5,BYU,2022
401415226101897501,BYU,FBS Independents,Utah State,Mountain West,BYU,Utah State,0,7,401415226,4014152262,2,2,1,"{'minutes': 10, 'seconds': 24}",3,3,35,65,1,10,False,34,Pass Reception,Jaren Hall pass complete to Gunner Romney for 34 yds to the UthSt 31 for a 1ST down,2.4007708406183868,2022-09-30T00:05:53.000Z,5,BYU,2022
401415226101904301,BYU,FBS Independents,Utah State,Mountain West,BYU,Utah State,7,7,401415226,4014152262,2,3,1,"{'minutes': 9, 'seconds': 56}",3,3,69,31,1,10,True,31,Passing Touchdown,"Jaren Hall pass complete to Keanu Hill for 31 yds for a TD, (Jake Oldroyd KICK)",2.841946170072948,2022-09-30T00:21:49.000Z,5,BYU,2022
401415226101904303,BYU,FBS Independents,Utah State,Mountain West,BYU,Utah State,7,7,401415226,4014152263,3,1,1,"{'minutes': 9, 'seconds': 56}",3,3,35,65,1,10,False,0,Kickoff,Jake Oldroyd kickoff for 65 yds for a touchback,,2022-09-30T00:21:49.000Z,5,BYU,2022
401415226101904304,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,7,7,401415226,4014152263,3,2,1,"{'minutes': 9, 'seconds': 56}",3,3,75,75,1,10,False,-5,Penalty,"UTAH ST Penalty, False Start (-5 Yards) to the UthSt 20",,2022-09-30T00:21:49.000Z,5,BYU,2022
401415226101905401,Utah State,Mountain West,BYU,FBS Independents,BYU,Utah State,7,7,401415226,4014152263,3,3,1,"{'minutes': 9, 'seconds': 45}",3,3,80,80,1,15,False,-1,Rush,Calvin Tyler Jr. run for a loss of 1 yard to the UthSt 19,-0.36838973689765363,2022-09-30T00:26:50.000Z,5,BYU,2022
