id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416636101854301,Toledo,Mid-American,Ball State,Mid-American,Toledo,Ball State,0,0,401416636,4014166361,1,1,1,"{'minutes': 14, 'seconds': 56}",3,3,35,65,0,0,False,20,Kickoff Return (Offense),"Thomas Cluckey kickoff for 59 yds , Amechi Uzodinma II return for 20 yds to the BalSt 26",,2022-11-09T01:06:23.000Z,11,Ball State,2022
401416636101854303,Ball State,Mid-American,Toledo,Mid-American,Toledo,Ball State,0,0,401416636,4014166361,1,2,1,"{'minutes': 14, 'seconds': 56}",3,3,74,74,1,10,False,-3,Rush,Carson Steele run for a loss of 3 yards to the BalSt 23,-1.001799859143293486,2022-11-09T01:06:42.000Z,11,Ball State,2022
401416636101854304,Ball State,Mid-American,Toledo,Mid-American,Toledo,Ball State,0,0,401416636,4014166361,1,3,1,"{'minutes': 14, 'seconds': 56}",3,3,77,77,2,13,False,-1,Sack,John Paddock sacked by Zachary Ford for a loss of 1 yard to the BalSt 22,-0.252652432743139414,2022-11-09T01:06:42.000Z,11,Ball State,2022
401416636101854305,Ball State,Mid-American,Toledo,Mid-American,Toledo,Ball State,0,0,401416636,4014166361,1,4,1,"{'minutes': 14, 'seconds': 56}",3,3,78,78,3,14,False,0,Pass Incompletion,John Paddock pass incomplete,-0.08412385347567587,2022-11-09T01:06:42.000Z,11,Ball State,2022
401416636101866201,Ball State,Mid-American,Toledo,Mid-American,Toledo,Ball State,0,0,401416636,4014166361,1,5,1,"{'minutes': 13, 'seconds': 37}",3,3,78,78,4,14,False,0,Punt,Lucas Borrow punt for 48 yds,,2022-11-09T01:08:47.000Z,11,Ball State,2022
401416636101866203,Toledo,Mid-American,Ball State,Mid-American,Toledo,Ball State,0,0,401416636,4014166362,2,1,1,"{'minutes': 13, 'seconds': 37}",3,3,30,70,1,10,False,1,Rush,Dequan Finn run for 1 yd to the Toled 31,-0.7160154808238079,2022-11-09T01:08:47.000Z,11,Ball State,2022
401416636101866204,Toledo,Mid-American,Ball State,Mid-American,Toledo,Ball State,0,0,401416636,4014166362,2,2,1,"{'minutes': 13, 'seconds': 37}",3,3,31,69,2,9,False,1,Rush,Jacquez Stuart run for 1 yd to the Toled 32,-0.44842776311325143,2022-11-09T01:08:47.000Z,11,Ball State,2022
401416636101866205,Toledo,Mid-American,Ball State,Mid-American,Toledo,Ball State,0,0,401416636,4014166362,2,3,1,"{'minutes': 13, 'seconds': 37}",3,3,32,68,3,8,False,0,Pass Incompletion,Dequan Finn pass incomplete,-0.30459025764321890,2022-11-09T01:08:47.000Z,11,Ball State,2022
401416636101877101,Toledo,Mid-American,Ball State,Mid-American,Toledo,Ball State,0,0,401416636,4014166362,2,4,1,"{'minutes': 12, 'seconds': 28}",3,3,32,68,4,8,False,0,Punt,"Jonathon Batzke punt for 31 yds, fair catch by Jayshon Jackson at the BalSt 37",,2022-11-09T01:11:16.000Z,11,Ball State,2022
401416636101877103,Ball State,Mid-American,Toledo,Mid-American,Toledo,Ball State,0,0,401416636,4014166363,3,1,1,"{'minutes': 12, 'seconds': 28}",3,3,63,63,1,10,False,4,Rush,Carson Steele run for 4 yds to the BalSt 41,-0.1644248613169578,2022-11-09T01:11:45.000Z,11,Ball State,2022
401416636101877104,Ball State,Mid-American,Toledo,Mid-American,Toledo,Ball State,0,0,401416636,4014166363,3,2,1,"{'minutes': 12, 'seconds': 28}",3,3,59,59,2,6,False,0,Pass Incompletion,John Paddock pass incomplete,-1.0222685605653615,2022-11-09T01:11:45.000Z,11,Ball State,2022
401416636101877105,Ball State,Mid-American,Toledo,Mid-American,Toledo,Ball State,0,0,401416636,4014166363,3,3,1,"{'minutes': 12, 'seconds': 28}",3,3,59,59,3,6,False,0,Pass Incompletion,John Paddock pass incomplete,-0.60940066580695266,2022-11-09T01:11:45.000Z,11,Ball State,2022
