id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401411118101855203,Boston College,ACC,Florida State,ACC,Florida State,Boston College,0,7,401411118,4014111181,1,1,1,"{'minutes': 14, 'seconds': 47}",3,3,65,65,1,10,True,93,Kickoff Return Touchdown,"Danny Longman kickoff for 58 yds , Trey Benson return for 93 yds for a TD. (Ryan Fitzgerald KICK)",,2022-09-25T00:05:54.000Z,4,Boston College,2022
401411118101855204,Florida State,ACC,Boston College,ACC,Florida State,Boston College,7,0,401411118,4014111181,1,2,1,"{'minutes': 14, 'seconds': 47}",3,3,35,65,1,10,False,0,Kickoff,Ryan Fitzgerald kickoff for 65 yds for a touchback,,2022-09-25T00:05:54.000Z,4,Boston College,2022
401411118101855206,Boston College,ACC,Florida State,ACC,Florida State,Boston College,0,7,401411118,4014111181,1,3,1,"{'minutes': 14, 'seconds': 47}",3,3,75,75,1,10,False,0,Pass Incompletion,Phil Jurkovec pass incomplete to Zay Flowers,-0.70297002204365193,2022-09-25T00:05:54.000Z,4,Boston College,2022
401411118101855207,Boston College,ACC,Florida State,ACC,Florida State,Boston College,0,7,401411118,4014111181,1,4,1,"{'minutes': 14, 'seconds': 47}",3,3,75,75,2,10,False,4,Rush,Pat Garwo III run for 4 yds to the BC 29,-0.06222348980634162,2022-09-25T00:05:54.000Z,4,Boston College,2022
401411118101864401,Boston College,ACC,Florida State,ACC,Florida State,Boston College,0,7,401411118,4014111181,1,5,1,"{'minutes': 13, 'seconds': 55}",3,3,71,71,3,6,False,0,Interception,Phil Jurkovec pass intercepted,-0.15705136842868495,2022-09-25T00:10:38.000Z,4,Boston College,2022
401411118101864403,Florida State,ACC,Boston College,ACC,Florida State,Boston College,7,0,401411118,4014111182,2,1,1,"{'minutes': 13, 'seconds': 55}",3,3,66,34,1,10,False,1,Rush,Treshaun Ward run for 1 yd to the BC 33,-0.504093995421519,2022-09-25T00:10:38.000Z,4,Boston College,2022
401411118101864404,Florida State,ACC,Boston College,ACC,Florida State,Boston College,7,0,401411118,4014111182,2,2,1,"{'minutes': 13, 'seconds': 55}",3,3,67,33,2,9,False,0,Pass Incompletion,Jordan Travis pass incomplete to Johnny Wilson,-0.838413792626838,2022-09-25T00:10:38.000Z,4,Boston College,2022
401411118101864405,Florida State,ACC,Boston College,ACC,Florida State,Boston College,7,0,401411118,4014111182,2,3,1,"{'minutes': 13, 'seconds': 55}",3,3,67,33,3,9,False,0,Pass Incompletion,Jordan Travis pass incomplete to Ontaria Wilson,-1.0191116936452518,2022-09-25T00:10:38.000Z,4,Boston College,2022
401411118101864406,Florida State,ACC,Boston College,ACC,Florida State,Boston College,7,0,401411118,4014111182,2,4,1,"{'minutes': 13, 'seconds': 55}",3,3,67,33,4,9,False,32,Pass Reception,Jordan Travis pass complete to Camren McDonald for 32 yds to the BC 1 for a 1ST down,4.3603243674868358,2022-09-25T00:10:38.000Z,4,Boston College,2022
401411118101874701,Florida State,ACC,Boston College,ACC,Florida State,Boston College,14,0,401411118,4014111182,2,5,1,"{'minutes': 12, 'seconds': 52}",3,3,99,1,1,1,True,1,Rushing Touchdown,"Lawrance Toafili run for 1 yd for a TD, (Ryan Fitzgerald KICK)",0.938021275120443,2022-09-25T00:16:51.000Z,4,Boston College,2022
