id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416622101854401,Bowling Green,Mid-American,Miami (OH),Mid-American,Bowling Green,Miami (OH),0,0,401416622,4014166221,1,1,1,"{'minutes': 14, 'seconds': 55}",3,3,35,65,1,10,False,13,Kickoff Return (Offense),"Mason Lawler kickoff for 56 yds , Jalen Walker return for 13 yds to the MiaOh 22",,2022-10-15T16:03:29.000Z,7,Bowling Green,2022
401416622101854403,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),0,0,401416622,4014166221,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,78,78,1,10,False,1,Rush,Keyon Mozee run for 1 yd to the MiaOh 23,-0.51421952939679995,2022-10-15T16:03:29.000Z,7,Bowling Green,2022
401416622101854404,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),0,0,401416622,4014166221,1,3,1,"{'minutes': 14, 'seconds': 55}",3,3,77,77,2,9,False,3,Rush,Kevin Davis run for 3 yds to the MiaOh 26,-0.15046102480943801,2022-10-15T16:03:29.000Z,7,Bowling Green,2022
401416622101854406,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),0,0,401416622,4014166221,1,4,1,"{'minutes': 14, 'seconds': 55}",3,3,74,74,3,6,False,-9,Rush,"Aveon Smith run for 6 yds to the MiaOh 32 for a 1ST down MIAMI OH Penalty, unnecessary roughness (Rusty Feth) to the MiaOh 17 for a 1ST down",-0.43253952671754624,2022-10-15T16:03:29.000Z,7,Bowling Green,2022
401416622101854408,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),0,0,401416622,4014166221,1,5,1,"{'minutes': 14, 'seconds': 55}",3,3,52,52,1,10,False,30,Pass Reception,Aveon Smith pass complete to Jalen Walker for 30 yds to the BwGrn 22 for a 1ST down,1.360431522061971,2022-10-15T16:03:29.000Z,7,Bowling Green,2022
401416622101854409,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),0,0,401416622,4014166221,1,6,1,"{'minutes': 14, 'seconds': 55}",3,3,22,22,1,10,False,1,Rush,Kevin Davis run for 1 yd to the BwGrn 21,-0.310131189369969,2022-10-15T16:03:29.000Z,7,Bowling Green,2022
401416622101854410,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),0,0,401416622,4014166221,1,7,1,"{'minutes': 14, 'seconds': 55}",3,3,21,21,2,9,False,-3,Sack,Aveon Smith sacked by Demetrius Hardamon for a loss of 3 yards to the BwGrn 24,-0.913708689801995,2022-10-15T16:03:29.000Z,7,Bowling Green,2022
401416622101854411,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),0,0,401416622,4014166221,1,8,1,"{'minutes': 14, 'seconds': 55}",3,3,24,24,3,12,False,0,Pass Incompletion,Aveon Smith pass incomplete to Kevin Davis,-0.9030210029469803,2022-10-15T16:03:29.000Z,7,Bowling Green,2022
401416622101894601,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),3,0,401416622,4014166221,1,9,1,"{'minutes': 10, 'seconds': 53}",3,3,24,24,4,12,True,41,Field Goal Good,Graham Nicholson 41 yd FG GOOD,,2022-10-15T16:11:40.000Z,7,Bowling Green,2022
401416622101895301,Miami (OH),Mid-American,Bowling Green,Mid-American,Bowling Green,Miami (OH),3,0,401416622,4014166222,2,1,1,"{'minutes': 10, 'seconds': 46}",3,3,65,65,1,10,False,19,Kickoff Return (Offense),"Graham Nicholson kickoff for 60 yds , Ta'ron Keith return for 19 yds to the BwGrn 24",,2022-10-15T16:15:52.000Z,7,Bowling Green,2022
401416622101895303,Bowling Green,Mid-American,Miami (OH),Mid-American,Bowling Green,Miami (OH),0,3,401416622,4014166222,2,2,1,"{'minutes': 10, 'seconds': 46}",3,3,24,76,1,10,False,0,Pass Incompletion,Matt McDonald pass incomplete to Christian Sims,-0.67235715213098592,2022-10-15T16:15:52.000Z,7,Bowling Green,2022
401416622101895304,Bowling Green,Mid-American,Miami (OH),Mid-American,Bowling Green,Miami (OH),0,3,401416622,4014166222,2,3,1,"{'minutes': 10, 'seconds': 46}",3,3,24,76,2,10,False,0,Pass Incompletion,Matt McDonald pass incomplete to Odieu Hiliare,-0.32776852916780008,2022-10-15T16:15:52.000Z,7,Bowling Green,2022
401416622101895305,Bowling Green,Mid-American,Miami (OH),Mid-American,Bowling Green,Miami (OH),0,3,401416622,4014166222,2,4,1,"{'minutes': 10, 'seconds': 46}",3,3,24,76,3,10,False,9,Pass Reception,Matt McDonald pass complete to Ta'ron Keith for 9 yds to the BwGrn 33,0.30974958842883992,2022-10-15T16:15:52.000Z,7,Bowling Green,2022
401416622101895306,Bowling Green,Mid-American,Miami (OH),Mid-American,Bowling Green,Miami (OH),0,3,401416622,4014166222,2,5,1,"{'minutes': 10, 'seconds': 46}",3,3,33,67,4,1,False,3,Rush,Matt McDonald run for 3 yds to the BwGrn 36 for a 1ST down,1.68880182851040578,2022-10-15T16:15:52.000Z,7,Bowling Green,2022
401416622101895307,Bowling Green,Mid-American,Miami (OH),Mid-American,Bowling Green,Miami (OH),0,3,401416622,4014166222,2,6,1,"{'minutes': 10, 'seconds': 46}",3,3,36,64,1,10,False,6,Rush,Matt McDonald run for 6 yds to the BwGrn 42,0.4008542507084805,2022-10-15T16:19:57.000Z,7,Bowling Green,2022
401416622101895308,Bowling Green,Mid-American,Miami (OH),Mid-American,Bowling Green,Miami (OH),0,3,401416622,4014166222,2,7,1,"{'minutes': 10, 'seconds': 46}",3,3,30,70,2,16,False,8,Pass Reception,Matt McDonald pass complete to Tyrone Broden for 8 yds to the BwGrn 38,0.33494696847956186,2022-10-15T16:19:57.000Z,7,Bowling Green,2022
