id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415644101849902,Cincinnati,American Athletic,UCF,American Athletic,UCF,Cincinnati,0,0,401415644,4014156441,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Ryan Coe kickoff for 65 yds for a touchback,,2022-10-29T19:35:34.000Z,9,Cincinnati,2022
401415644101855901,UCF,American Athletic,Cincinnati,American Athletic,UCF,Cincinnati,0,0,401415644,4014156441,1,2,1,"{'minutes': 14, 'seconds': 40}",3,3,25,75,1,10,False,19,Rush,John Rhys Plumlee run for 19 yds to the UCF 44 for a 1ST down,1.7075723383420155,2022-10-29T19:36:39.000Z,9,Cincinnati,2022
401415644101857401,UCF,American Athletic,Cincinnati,American Athletic,UCF,Cincinnati,0,0,401415644,4014156441,1,3,1,"{'minutes': 14, 'seconds': 25}",3,3,44,56,1,10,False,6,Rush,Ryan O'Keefe run for 6 yds to the 50 yard line,0.3867807823815586,2022-10-29T19:37:09.000Z,9,Cincinnati,2022
401415644101866401,UCF,American Athletic,Cincinnati,American Athletic,UCF,Cincinnati,0,0,401415644,4014156441,1,4,1,"{'minutes': 13, 'seconds': 35}",3,3,50,50,2,4,False,-1,Rush,Isaiah Bowser run for a loss of 1 yard to the UCF 49,-1.4765540188397921,2022-10-29T19:38:08.000Z,9,Cincinnati,2022
401415644101867201,UCF,American Athletic,Cincinnati,American Athletic,UCF,Cincinnati,0,0,401415644,4014156441,1,5,1,"{'minutes': 13, 'seconds': 27}",3,3,49,51,3,5,False,0,Pass Incompletion,John Rhys Plumlee pass incomplete,-0.9114899232737539,2022-10-29T19:38:31.000Z,9,Cincinnati,2022
401415644101868001,UCF,American Athletic,Cincinnati,American Athletic,UCF,Cincinnati,0,0,401415644,4014156441,1,6,1,"{'minutes': 13, 'seconds': 19}",3,3,49,51,4,5,False,0,Punt,"Mitch McCarthy punt for 40 yds, fair catch by Ryan Montgomery at the Cincy 11",,2022-10-29T19:38:54.000Z,9,Cincinnati,2022
401415644101869401,Cincinnati,American Athletic,UCF,American Athletic,UCF,Cincinnati,0,0,401415644,4014156442,2,1,1,"{'minutes': 13, 'seconds': 5}",3,3,89,89,1,10,False,7,Pass Reception,Ben Bryant pass complete to Tyler Scott for 7 yds to the Cincy 18,0.39388160618102844,2022-10-29T19:39:49.000Z,9,Cincinnati,2022
401415644101877401,Cincinnati,American Athletic,UCF,American Athletic,UCF,Cincinnati,0,0,401415644,4014156442,2,2,1,"{'minutes': 12, 'seconds': 25}",3,3,82,82,2,3,False,1,Rush,Charles McClelland run for 1 yd to the Cincy 19,-0.49074364016789665,2022-10-29T19:40:08.000Z,9,Cincinnati,2022
401415644101885401,Cincinnati,American Athletic,UCF,American Athletic,UCF,Cincinnati,0,0,401415644,4014156442,2,3,1,"{'minutes': 11, 'seconds': 45}",3,3,81,81,3,2,False,-1,Rush,Charles McClelland run for a loss of 1 yard to the Cincy 18,-0.35445057606636432,2022-10-29T19:40:47.000Z,9,Cincinnati,2022
401415644101887801,Cincinnati,American Athletic,UCF,American Athletic,UCF,Cincinnati,0,0,401415644,4014156442,2,4,1,"{'minutes': 11, 'seconds': 21}",3,3,82,82,4,3,False,8,Punt,"Mason Fletcher punt for 51 yds , Xavier Townsend returns for 8 yds to the UCF 39",,2022-10-29T19:41:41.000Z,9,Cincinnati,2022
401415644101889401,UCF,American Athletic,Cincinnati,American Athletic,UCF,Cincinnati,0,0,401415644,4014156443,3,1,1,"{'minutes': 11, 'seconds': 5}",3,3,39,61,1,10,False,12,Pass Reception,John Rhys Plumlee pass complete to Kemore Gamble for 12 yds to the Cincy 49 for a 1ST down,1.0926854848276177,2022-10-29T19:42:08.000Z,9,Cincinnati,2022
401415644101895901,UCF,American Athletic,Cincinnati,American Athletic,UCF,Cincinnati,0,0,401415644,4014156443,3,2,1,"{'minutes': 10, 'seconds': 40}",3,3,51,49,1,10,False,17,Rush,Ryan O'Keefe run for 17 yds to the Cincy 32 for a 1ST down,0.8908111260482859,2022-10-29T19:42:36.000Z,9,Cincinnati,2022
401415644101898901,UCF,American Athletic,Cincinnati,American Athletic,UCF,Cincinnati,0,0,401415644,4014156443,3,3,1,"{'minutes': 10, 'seconds': 10}",3,3,68,32,1,10,False,16,Rush,Johnny Richardson run for 16 yds to the Cincy 16 for a 1ST down,0.3027967042965880,2022-10-29T19:43:09.000Z,9,Cincinnati,2022
