id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401411101101849902,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111011,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,B.T. Potter kickoff for 65 yds for a touchback,,2022-09-06T00:05:22.000Z,1,Clemson,2022
401411101101854701,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111011,1,2,1,"{'minutes': 14, 'seconds': 52}",3,3,25,75,1,10,False,0,Pass Interception Return,Jeff Sims pass intercepted Andrew Mukuba return for no gain to the Clem 27,-0.9222448802786785,2022-09-06T00:07:12.000Z,1,Clemson,2022
401411101101855901,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111012,2,1,1,"{'minutes': 14, 'seconds': 40}",3,3,73,73,1,10,False,5,Rush,Will Shipley run for 5 yds to the Clem 32,0.0980689416811309,2022-09-06T00:07:38.000Z,1,Clemson,2022
401411101101865101,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111012,2,2,1,"{'minutes': 13, 'seconds': 48}",3,3,68,68,2,5,False,4,Rush,DJ Uiagalelei run for 4 yds to the Clem 36,-0.1280459018085072,2022-09-06T00:08:30.000Z,1,Clemson,2022
401411101101868101,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111012,2,3,1,"{'minutes': 13, 'seconds': 18}",3,3,64,64,3,1,False,0,Rush,DJ Uiagalelei run for no gain to the Clem 36,-0.76257699025277766,2022-09-06T00:09:00.000Z,1,Clemson,2022
401411101101875101,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111012,2,4,1,"{'minutes': 12, 'seconds': 48}",3,3,64,64,4,1,False,0,Punt,"Aidan Swanson punt for 51 yds, fair catch by Nate McCollum at the GTech 13",,2022-09-06T00:10:23.000Z,1,Clemson,2022
401411101101877801,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111013,3,1,1,"{'minutes': 12, 'seconds': 21}",3,3,13,87,1,10,False,-1,Rush,Dylan McDuffie run for a loss of 1 yard to the GTech 12,-0.45383197028699751,2022-09-06T00:13:19.000Z,1,Clemson,2022
401411101101879401,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111013,3,2,1,"{'minutes': 12, 'seconds': 5}",3,3,12,88,2,11,False,5,Pass Reception,Jeff Sims pass complete to Hassan Hall for 5 yds to the GTech 17,0.02567179451419843,2022-09-06T00:13:34.000Z,1,Clemson,2022
401411101101888801,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111013,3,3,1,"{'minutes': 11, 'seconds': 11}",3,3,17,83,3,6,False,4,Pass Reception,Jeff Sims pass complete to Nate McCollum for 4 yds to the GTech 21,-0.02419353203648811,2022-09-06T00:14:28.000Z,1,Clemson,2022
401411101101894401,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111013,3,4,1,"{'minutes': 10, 'seconds': 55}",3,3,21,79,4,2,False,0,Punt,"David Shanahan punt for 44 yds, downed at the Clem 35",,2022-09-06T00:15:20.000Z,1,Clemson,2022
401411101101897101,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111014,4,1,1,"{'minutes': 10, 'seconds': 28}",3,3,65,65,1,10,False,3,Pass Reception,DJ Uiagalelei pass complete to Brannon Spector for 3 yds to the Clem 38,-0.4062307312880424,2022-09-06T00:16:00.000Z,1,Clemson,2022
401411101101898201,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111014,4,2,1,"{'minutes': 10, 'seconds': 17}",3,3,62,62,2,7,False,22,Pass Reception,DJ Uiagalelei pass complete to Beaux Collins for 22 yds to the GTech 40 for a 1ST down,2.4598985980420362,2022-09-06T00:16:22.000Z,1,Clemson,2022
401411101101906901,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111014,4,3,1,"{'minutes': 9, 'seconds': 30}",3,3,40,40,1,10,False,18,Rush,"Will Shipley run for 3 yds to the GTech 37 for a 1ST down GEORGIA TECH Penalty, Face Mask (15 yards) (15 Yards) to the GTech 22 for a 1ST down",0.541426377288881,2022-09-06T00:17:40.000Z,1,Clemson,2022
401411101101914201,Clemson,ACC,Georgia Tech,ACC,Georgia Tech,Clemson,0,0,401411101,4014111014,4,4,1,"{'minutes': 8, 'seconds': 57}",3,3,22,22,1,10,False,5,Fumble Recovery (Opponent),"DJ Uiagalelei run for 5 yds to the GTech 17 DJ Uiagalelei fumbled, forced by Ayinde Eley, recovered by GTech Ayinde Eley",,2022-09-06T00:19:22.000Z,1,Clemson,2022
401411101101914202,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,1,1,"{'minutes': 8, 'seconds': 57}",3,3,17,83,1,10,False,6,Pass Reception,Jeff Sims pass complete to Nate McCollum for 6 yds to the GTech 23,0.2630652541633021,2022-09-06T00:19:22.000Z,1,Clemson,2022
401411101101915401,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,2,1,"{'minutes': 8, 'seconds': 45}",3,3,23,77,2,4,False,3,Pass Reception,Jeff Sims pass complete to Malachi Carter for 3 yds to the GTech 26,-0.2600875386705486,2022-09-06T00:22:48.000Z,1,Clemson,2022
401411101101917801,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,3,1,"{'minutes': 8, 'seconds': 21}",3,3,26,74,3,1,False,2,Rush,Jeff Sims run for 2 yds to the GTech 28 for a 1ST down,0.6765721547928516,2022-09-06T00:23:15.000Z,1,Clemson,2022
401411101101925401,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,4,1,"{'minutes': 7, 'seconds': 45}",3,3,28,72,1,10,False,0,Rush,Dontae Smith run for no gain to the GTech 28,-0.79820084755085575,2022-09-06T00:23:48.000Z,1,Clemson,2022
401411101101927101,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,5,1,"{'minutes': 7, 'seconds': 28}",3,3,28,72,2,10,False,1,Rush,Dontae Smith run for 1 yd to the GTech 29,-0.3468782954766247426,2022-09-06T00:24:07.000Z,1,Clemson,2022
401411101101935901,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,6,1,"{'minutes': 6, 'seconds': 40}",3,3,29,71,3,9,False,8,Pass Reception,Jeff Sims pass complete to Dontae Smith for 8 yds to the GTech 37,0.3172726916745922926,2022-09-06T00:25:04.000Z,1,Clemson,2022
401411101101939001,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,7,1,"{'minutes': 6, 'seconds': 9}",3,3,37,63,4,1,False,2,Rush,Jeff Sims run for 2 yds to the GTech 39 for a 1ST down,1.8284231271540745,2022-09-06T00:25:37.000Z,1,Clemson,2022
401411101101939701,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,8,1,"{'minutes': 6, 'seconds': 2}",3,3,39,61,1,10,False,-5,Penalty,"GEORGIA TECH Penalty, Substitution Infraction (-5 Yards) to the GTech 34",,2022-09-06T00:26:11.000Z,1,Clemson,2022
401411101101947301,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,9,1,"{'minutes': 5, 'seconds': 26}",3,3,34,66,1,15,False,-3,Rush,Dontae Smith run for a loss of 3 yards to the GTech 31,-0.96243709372369679,2022-09-06T00:26:47.000Z,1,Clemson,2022
401411101101949801,Georgia Tech,ACC,Clemson,ACC,Georgia Tech,Clemson,0,0,401411101,4014111015,5,10,1,"{'minutes': 5, 'seconds': 1}",3,3,31,69,2,18,False,-4,Pass Reception,Jeff Sims pass complete to Hassan Hall for a loss of 4 yards to the GTech 27,-0.32965968469370211,2022-09-06T00:27:10.000Z,1,Clemson,2022
