id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403871101849902,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,0,401403871,4014038711,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,18,Kickoff Return (Offense),"Chance Poore kickoff for 65 yds , Ja'Markis Weston return for 18 yds to the Fla 18",,2022-09-10T23:05:47.000Z,2,Florida,2022
401403871101855301,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038711,1,2,1,"{'minutes': 14, 'seconds': 46}",3,3,18,82,1,10,False,2,Rush,Nay'Quan Wright run for 2 yds to the Fla 20,-0.3300044670451081,2022-09-10T23:06:54.000Z,2,Florida,2022
401403871101858101,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038711,1,3,1,"{'minutes': 14, 'seconds': 18}",3,3,20,80,2,8,False,16,Pass Reception,Anthony Richardson pass complete to Justin Shorter for 16 yds to the Fla 36 for a 1ST down,1.6711101085626278,2022-09-10T23:07:37.000Z,2,Florida,2022
401403871101859601,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038711,1,4,1,"{'minutes': 14, 'seconds': 3}",3,3,36,64,1,10,False,0,Pass Incompletion,Anthony Richardson pass incomplete to Xzavier Henderson,-1.0411553203440639,2022-09-10T23:07:47.000Z,2,Florida,2022
401403871101864101,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038711,1,5,1,"{'minutes': 13, 'seconds': 58}",3,3,36,64,2,10,False,0,Pass Incompletion,Anthony Richardson pass incomplete,-0.63103783382599236,2022-09-10T23:08:20.000Z,2,Florida,2022
401403871101864701,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038711,1,6,1,"{'minutes': 13, 'seconds': 52}",3,3,36,64,3,10,False,0,Pass Incompletion,Anthony Richardson pass incomplete to Justin Shorter,-0.32221199814427326,2022-09-10T23:09:07.000Z,2,Florida,2022
401403871101865501,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038711,1,7,1,"{'minutes': 13, 'seconds': 44}",3,3,36,64,4,10,False,0,Punt,"Jeremy Crawshaw punt for 48 yds, fair catch by Tayvion Robinson at the Kent 16",,2022-09-10T23:09:44.000Z,2,Florida,2022
401403871101865901,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,0,401403871,4014038712,2,1,1,"{'minutes': 13, 'seconds': 40}",3,3,84,84,1,10,False,1,Rush,Kavosiey Smoke run for 1 yd to the Kent 17,-0.3882045720730636,2022-09-10T23:10:39.000Z,2,Florida,2022
401403871101869901,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,0,401403871,4014038712,2,2,1,"{'minutes': 13, 'seconds': 0}",3,3,83,83,2,9,False,-1,Rush,Will Levis run for a loss of 1 yard to the Kent 16,-0.28232652837728534,2022-09-10T23:11:06.000Z,2,Florida,2022
401403871101878801,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,0,401403871,4014038712,2,3,1,"{'minutes': 12, 'seconds': 11}",3,3,84,84,3,10,False,-2,Pass Reception,Will Levis pass complete to Barion Brown for a loss of 2 yards to the Kent 14,-0.11256304188410216,2022-09-10T23:12:04.000Z,2,Florida,2022
401403871101885701,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,0,401403871,4014038712,2,4,1,"{'minutes': 11, 'seconds': 42}",3,3,86,86,4,12,False,0,Punt,"Colin Goodfellow punt for 38 yds, fair catch by Xzavier Henderson at the Fla 48",,2022-09-10T23:12:25.000Z,2,Florida,2022
401403871101886401,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038713,3,1,1,"{'minutes': 11, 'seconds': 35}",3,3,48,52,1,10,False,24,Pass Reception,Anthony Richardson pass complete to Ricky Pearsall for 24 yds to the Kent 28 for a 1ST down,1.244039814572000,2022-09-10T23:16:16.000Z,2,Florida,2022
401403871101887401,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038713,3,2,1,"{'minutes': 11, 'seconds': 25}",3,3,72,28,1,10,False,0,Pass Incompletion,Anthony Richardson pass incomplete to Justin Shorter,-0.512081873784803,2022-09-10T23:16:36.000Z,2,Florida,2022
401403871101888301,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038713,3,3,1,"{'minutes': 11, 'seconds': 16}",3,3,72,28,2,10,False,5,Rush,Montrell Johnson Jr. run for 5 yds to the Kent 23,0.0501330159022685,2022-09-10T23:17:03.000Z,2,Florida,2022
401403871101895801,Florida,SEC,Kentucky,SEC,Florida,Kentucky,0,0,401403871,4014038713,3,4,1,"{'minutes': 10, 'seconds': 41}",3,3,77,23,3,5,False,1,Rush,Anthony Richardson run for 1 yd to the Kent 22,-0.5314659188877775,2022-09-10T23:17:37.000Z,2,Florida,2022
401403871101899601,Florida,SEC,Kentucky,SEC,Florida,Kentucky,3,0,401403871,4014038713,3,5,1,"{'minutes': 10, 'seconds': 3}",3,3,78,22,4,4,True,39,Field Goal Good,Adam Mihalek 39 yd FG GOOD,,2022-09-10T23:19:10.000Z,2,Florida,2022
401403871101899602,Florida,SEC,Kentucky,SEC,Florida,Kentucky,3,0,401403871,4014038714,4,1,1,"{'minutes': 10, 'seconds': 3}",3,3,35,65,4,4,False,0,Kickoff,Adam Mihalek kickoff for 65 yds for a touchback,,2022-09-10T23:22:01.000Z,2,Florida,2022
401403871101904401,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,2,1,"{'minutes': 9, 'seconds': 55}",3,3,75,75,1,10,False,19,Pass Reception,Will Levis pass complete to Jordan Dingle for 19 yds to the Kent 44 for a 1ST down,1.7075723383420155,2022-09-10T23:23:10.000Z,2,Florida,2022
401403871101908001,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,3,1,"{'minutes': 9, 'seconds': 19}",3,3,56,56,1,10,False,11,Pass Reception,Will Levis pass complete to Brenden Bates for 11 yds to the Fla 45 for a 1ST down,0.893668696312238,2022-09-10T23:23:39.000Z,2,Florida,2022
401403871101915901,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,4,1,"{'minutes': 8, 'seconds': 40}",3,3,45,45,1,10,False,2,Rush,Tayvion Robinson run for 2 yds to the Fla 43,-0.548127712470997,2022-09-10T23:24:13.000Z,2,Florida,2022
401403871101919701,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,5,1,"{'minutes': 8, 'seconds': 2}",3,3,43,43,2,8,False,3,Rush,Barion Brown run for 3 yds to the Fla 40,-0.377401495909348,2022-09-10T23:24:52.000Z,2,Florida,2022
401403871101928301,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,6,1,"{'minutes': 7, 'seconds': 16}",3,3,40,40,3,5,False,10,Pass Reception,Will Levis pass complete to Jordan Dingle for 10 yds to the Fla 30 for a 1ST down,1.587800160524642,2022-09-10T23:25:37.000Z,2,Florida,2022
401403871101936901,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,7,1,"{'minutes': 6, 'seconds': 30}",3,3,30,30,1,10,False,0,Rush,La'Vell Wright run for no gain to the Fla 30,-0.557844891990525,2022-09-10T23:26:31.000Z,2,Florida,2022
401403871101945001,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,8,1,"{'minutes': 5, 'seconds': 49}",3,3,30,30,2,10,False,-7,Sack,Will Levis sacked by Justus Boone for a loss of 7 yards to the Fla 37,-2.2204839024952197,2022-09-10T23:29:22.000Z,2,Florida,2022
401403871101947201,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,9,1,"{'minutes': 5, 'seconds': 27}",3,3,37,37,3,17,False,0,Rush,Kavosiey Smoke run for no gain to the Fla 37,-0.8297805709287491,2022-09-10T23:30:49.000Z,2,Florida,2022
401403871101955701,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,10,1,"{'minutes': 4, 'seconds': 42}",3,3,37,37,4,17,False,-5,Penalty,"KENTUCKY Penalty, Delay of Game (-5 Yards) to the Fla 42",,2022-09-10T23:31:45.000Z,2,Florida,2022
401403871101956601,Kentucky,SEC,Florida,SEC,Florida,Kentucky,0,3,401403871,4014038714,4,11,1,"{'minutes': 4, 'seconds': 33}",3,3,42,42,4,22,False,0,Punt,"Colin Goodfellow punt for 32 yds, fair catch by Xzavier Henderson at the Fla 10",,2022-09-10T23:32:11.000Z,2,Florida,2022
401403871101957501,Florida,SEC,Kentucky,SEC,Florida,Kentucky,3,0,401403871,4014038715,5,1,1,"{'minutes': 4, 'seconds': 24}",3,3,10,90,1,10,False,3,Rush,Trevor Etienne run for 3 yds to the Fla 13,-0.14561440438218298,2022-09-10T23:36:26.000Z,2,Florida,2022
401403871101964501,Florida,SEC,Kentucky,SEC,Florida,Kentucky,3,0,401403871,4014038715,5,2,1,"{'minutes': 3, 'seconds': 54}",3,3,13,87,2,7,False,28,Pass Reception,Anthony Richardson pass complete to Xzavier Henderson for 28 yds to the Fla 41 for a 1ST down,2.28044630772096021,2022-09-10T23:36:54.000Z,2,Florida,2022
401403871101966301,Florida,SEC,Kentucky,SEC,Florida,Kentucky,3,0,401403871,4014038715,5,3,1,"{'minutes': 3, 'seconds': 36}",3,3,41,59,1,10,False,0,Pass Incompletion,Anthony Richardson pass incomplete to Dante Zanders,-1.1387859939569847,2022-09-10T23:37:04.000Z,2,Florida,2022
401403871101967401,Florida,SEC,Kentucky,SEC,Florida,Kentucky,3,0,401403871,4014038715,5,4,1,"{'minutes': 3, 'seconds': 25}",3,3,41,59,2,10,False,5,Rush,Trevor Etienne run for 5 yds to the Fla 46,0.068045000244542,2022-09-10T23:37:48.000Z,2,Florida,2022
