id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401405070101849903,Virginia,ACC,Illinois,Big Ten,Illinois,Virginia,0,0,401405070,4014050701,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Brendan Farrell kickoff for 65 yds for a touchback,,2022-09-10T20:05:46.000Z,2,Illinois,2022
401405070101849905,Illinois,Big Ten,Virginia,ACC,Illinois,Virginia,0,0,401405070,4014050701,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,13,Rush,Chase Brown run for 13 yds to the Illin 38 for a 1ST down,1.1247514790418309,2022-09-10T20:11:08.000Z,2,Illinois,2022
401405070101856302,Illinois,Big Ten,Virginia,ACC,Illinois,Virginia,0,0,401405070,4014050701,1,3,1,"{'minutes': 14, 'seconds': 36}",3,3,38,62,1,10,False,-15,Penalty,"ILLINOIS Penalty, UNS: Unsportsmanlike Conduct (Brian Hightower) to the Illin 48 for a 1ST down",,2022-09-10T20:45:38.000Z,2,Illinois,2022
401405070101856301,Virginia,ACC,Illinois,Big Ten,Illinois,Virginia,0,0,401405070,4014050702,2,1,1,"{'minutes': 14, 'seconds': 36}",3,3,45,45,3,7,False,0,Pass Incompletion,Brennan Armstrong pass incomplete to Dontayvion Wicks,-0.9738521669501789,2022-09-10T20:45:38.000Z,2,Illinois,2022
401405070101856305,Virginia,ACC,Illinois,Big Ten,Illinois,Virginia,0,0,401405070,4014050702,2,2,1,"{'minutes': 14, 'seconds': 36}",3,3,48,48,1,10,False,3,Rush,Perris Jones run for 3 yds to the Illin 45,-0.3648977045566397,2022-09-10T20:11:08.000Z,2,Illinois,2022
401405070101856307,Virginia,ACC,Illinois,Big Ten,Illinois,Virginia,0,0,401405070,4014050702,2,3,1,"{'minutes': 14, 'seconds': 36}",3,3,45,45,2,7,False,0,Pass Incompletion,Brennan Armstrong pass incomplete to Dontayvion Wicks,-1.1104400533767240,2022-09-10T20:11:08.000Z,2,Illinois,2022
401405070101865303,Virginia,ACC,Illinois,Big Ten,Illinois,Virginia,0,0,401405070,4014050702,2,4,1,"{'minutes': 13, 'seconds': 46}",3,3,45,45,4,7,False,0,Punt,"Daniel Sparks punt for 38 yds, fair catch by Isaiah Williams at the Illin 7",,2022-09-10T20:45:38.000Z,2,Illinois,2022
401405070101865301,Illinois,Big Ten,Virginia,ACC,Illinois,Virginia,0,0,401405070,4014050703,3,1,1,"{'minutes': 13, 'seconds': 46}",3,3,9,91,2,8,False,0,Pass Incompletion,Tommy DeVito pass incomplete to Isaiah Williams,-0.19407807228283327,2022-09-10T20:11:08.000Z,2,Illinois,2022
401405070101865302,Illinois,Big Ten,Virginia,ACC,Illinois,Virginia,0,0,401405070,4014050703,3,2,1,"{'minutes': 13, 'seconds': 46}",3,3,9,91,3,8,False,11,Pass Reception,Tommy DeVito pass complete to Isaiah Williams for 11 yds to the Illin 20 for a 1ST down,0.8797099108014983,2022-09-10T20:11:08.000Z,2,Illinois,2022
401405070101865305,Illinois,Big Ten,Virginia,ACC,Illinois,Virginia,0,0,401405070,4014050703,3,3,1,"{'minutes': 13, 'seconds': 46}",3,3,7,93,1,10,False,2,Rush,Chase Brown run for 2 yds to the Illin 9,-0.19818242222171723,2022-09-10T20:45:38.000Z,2,Illinois,2022
