id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401405122101849907,Northwestern,Big Ten,Iowa,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Adam Stage kickoff for 39 yds,,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101854501,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,2,1,"{'minutes': 14, 'seconds': 54}",3,3,26,74,1,10,False,8,Rush,Arland Bruce IV run for 8 yds to the Iowa 34,0.9306943515415842,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101857601,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,3,1,"{'minutes': 14, 'seconds': 23}",3,3,34,66,2,2,False,18,Rush,Kaleb Johnson run for 18 yds to the Nwest 48 for a 1ST down,1.3898481246394247,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101865501,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,4,1,"{'minutes': 13, 'seconds': 44}",3,3,52,48,1,10,False,15,Pass Reception,Spencer Petras pass complete to Sam LaPorta for 15 yds to the Nwest 33 for a 1ST down,0.783159062777969,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101868601,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,5,1,"{'minutes': 13, 'seconds': 13}",3,3,67,33,1,10,False,9,Rush,Kaleb Johnson run for 9 yds to the Nwest 24,0.722464196040438,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101876901,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,6,1,"{'minutes': 12, 'seconds': 30}",3,3,76,24,2,1,False,7,Rush,Kaleb Johnson run for 7 yds to the Nwest 17 for a 1ST down,-0.399292525322864,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101884101,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,7,1,"{'minutes': 11, 'seconds': 58}",3,3,83,17,1,10,False,2,Rush,Spencer Petras run for 2 yds to the Nwest 15,-0.1885388219160615,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101888001,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,8,1,"{'minutes': 11, 'seconds': 19}",3,3,85,15,2,8,False,6,Pass Reception,Spencer Petras pass complete to Brody Brecht for 6 yds to the Nwest 9,0.1427661465778290,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101895901,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,0,0,401405122,4014051221,1,9,1,"{'minutes': 10, 'seconds': 40}",3,3,91,9,3,2,False,-2,Rush,Gavin Williams run for a loss of 2 yards to the Nwest 11,-0.5617799031085315,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101899801,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,3,0,401405122,4014051221,1,10,1,"{'minutes': 10, 'seconds': 1}",3,3,89,11,4,4,True,29,Field Goal Good,Drew Stevens 29 yd FG GOOD,,2022-10-29T19:41:53.000Z,9,Iowa,2022
401405122101899802,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,3,0,401405122,4014051222,2,1,1,"{'minutes': 10, 'seconds': 1}",3,3,35,65,0,0,False,0,Kickoff,Drew Stevens kickoff for 60 yds,,2022-10-29T19:46:22.000Z,9,Iowa,2022
401405122101899901,Northwestern,Big Ten,Iowa,Big Ten,Iowa,Northwestern,0,3,401405122,4014051222,2,2,1,"{'minutes': 10, 'seconds': 0}",3,3,75,75,1,10,False,0,Pass Incompletion,Brendan Sullivan pass incomplete,-0.70297002204365193,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101904801,Northwestern,Big Ten,Iowa,Big Ten,Iowa,Northwestern,0,3,401405122,4014051222,2,3,1,"{'minutes': 9, 'seconds': 51}",3,3,75,75,2,10,False,6,Rush,Evan Hull run for 6 yds to the Nwest 31,0.16823773848787483,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101908501,Northwestern,Big Ten,Iowa,Big Ten,Iowa,Northwestern,0,3,401405122,4014051222,2,4,1,"{'minutes': 9, 'seconds': 14}",3,3,69,69,3,4,False,7,Pass Reception,Brendan Sullivan pass complete to Evan Hull for 7 yds to the Nwest 38 for a 1ST down,1.6594837625976080,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101915501,Northwestern,Big Ten,Iowa,Big Ten,Iowa,Northwestern,0,3,401405122,4014051222,2,5,1,"{'minutes': 8, 'seconds': 44}",3,3,62,62,1,10,False,1,Rush,Evan Hull run for 1 yd to the Nwest 39,-0.8867433222723467,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101917701,Northwestern,Big Ten,Iowa,Big Ten,Iowa,Northwestern,0,3,401405122,4014051222,2,6,1,"{'minutes': 8, 'seconds': 22}",3,3,61,61,2,9,False,3,Rush,Evan Hull run for 3 yds to the Nwest 42,-0.3274972567492602,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101924301,Northwestern,Big Ten,Iowa,Big Ten,Iowa,Northwestern,0,3,401405122,4014051222,2,7,1,"{'minutes': 7, 'seconds': 56}",3,3,58,58,3,6,False,-15,Sack,Brendan Sullivan sacked by Deontae Craig for a loss of 15 yards to the Nwest 27,-1.19676201208594966,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101927901,Northwestern,Big Ten,Iowa,Big Ten,Iowa,Northwestern,0,3,401405122,4014051222,2,8,1,"{'minutes': 7, 'seconds': 20}",3,3,73,73,4,21,False,4,Punt,"Luke Akers punt for 36 yds , Arland Bruce IV returns for 4 yds to the Iowa 41",,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101929001,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,3,0,401405122,4014051223,3,1,1,"{'minutes': 7, 'seconds': 9}",3,3,41,59,1,10,False,-10,Rush,"Kaleb Johnson run for no gain to the Iowa 41 IOWA Penalty, Illegal use of the hands on ELSBURY, Tyler enforced (-10 Yards) to the Iowa 26",-2.39788455910228656,2022-10-29T19:33:24.000Z,9,Iowa,2022
401405122101938001,Iowa,Big Ten,Northwestern,Big Ten,Iowa,Northwestern,3,0,401405122,4014051223,3,2,1,"{'minutes': 6, 'seconds': 19}",3,3,31,69,1,20,False,6,Pass Reception,Spencer Petras pass complete to Leshon Williams for 6 yds to the Iowa 37,0.16084857193713995,2022-10-29T19:33:24.000Z,9,Iowa,2022
