id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426378101849906,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263781,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Connor Madden kickoff for 65 yds for a touchback,,2022-11-19T19:01:02.000Z,12,James Madison,2022
401426378101849908,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263781,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,0,Pass Incompletion,Darren Grainger pass incomplete,-0.70297002204365193,2022-11-19T19:01:02.000Z,12,James Madison,2022
401426378101849911,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263781,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,2,10,False,5,Rush,Darren Grainger run for 5 yds to the GeoSt 30,0.04378266651122598,2022-11-19T19:01:02.000Z,12,James Madison,2022
401426378101849913,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263781,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,70,70,3,5,False,0,Pass Incompletion,Darren Grainger pass incomplete,-0.37162390491615050,2022-11-19T19:01:02.000Z,12,James Madison,2022
401426378101858601,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263781,1,5,1,"{'minutes': 14, 'seconds': 13}",3,3,70,70,4,5,False,0,Punt,"Michael Hayes punt for 46 yds, downed at the JMads 24",,2022-11-19T19:06:00.000Z,12,James Madison,2022
401426378101858603,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263782,2,1,1,"{'minutes': 14, 'seconds': 13}",3,3,24,76,1,10,False,3,Rush,Percy Agyei-Obese run for 3 yds to the JMads 27,-0.2835190304977822,2022-11-19T19:06:25.000Z,12,James Madison,2022
401426378101858604,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263782,2,2,1,"{'minutes': 14, 'seconds': 13}",3,3,27,73,2,7,False,6,Pass Reception,Todd Centeio pass complete to Devin Ravenel for 6 yds to the JMads 33,0.2639682585015253,2022-11-19T19:06:25.000Z,12,James Madison,2022
401426378101858605,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263782,2,3,1,"{'minutes': 14, 'seconds': 13}",3,3,33,67,3,1,False,-1,Rush,Todd Centeio run for a loss of 1 yard to the JMads 32,-0.76325792173855244,2022-11-19T19:06:25.000Z,12,James Madison,2022
401426378101878201,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263782,2,4,1,"{'minutes': 12, 'seconds': 17}",3,3,32,68,4,2,False,0,Punt,Sam Clark punt for 35 yds,,2022-11-19T19:08:11.000Z,12,James Madison,2022
401426378101878203,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263783,3,1,1,"{'minutes': 12, 'seconds': 17}",3,3,67,67,1,10,False,2,Rush,Marcus Carroll run for 2 yds to the GeoSt 35,-0.6004584738687671,2022-11-19T19:11:11.000Z,12,James Madison,2022
401426378101878204,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263783,3,2,1,"{'minutes': 12, 'seconds': 17}",3,3,65,65,2,8,False,2,Rush,Marcus Carroll run for 2 yds to the GeoSt 37,-0.4561685402495134,2022-11-19T19:11:11.000Z,12,James Madison,2022
401426378101878205,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263783,3,3,1,"{'minutes': 12, 'seconds': 17}",3,3,63,63,3,6,False,0,Pass Incompletion,Darren Grainger pass incomplete,-0.494321040687194335,2022-11-19T19:11:11.000Z,12,James Madison,2022
401426378101894001,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263783,3,4,1,"{'minutes': 10, 'seconds': 59}",3,3,63,63,4,6,False,0,Punt,"Michael Hayes punt for 40 yds, downed at the JMads 23",,2022-11-19T19:13:19.000Z,12,James Madison,2022
401426378101894003,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,1,1,"{'minutes': 10, 'seconds': 59}",3,3,23,77,1,10,False,3,Pass Reception,Todd Centeio pass complete to Wayne Knight for 3 yds to the JMads 26,-0.2714196551267518,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894004,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,2,1,"{'minutes': 10, 'seconds': 59}",3,3,26,74,2,7,False,6,Rush,Kaelon Black run for 6 yds to the JMads 32,0.2553243150031364,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894005,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,3,1,"{'minutes': 10, 'seconds': 59}",3,3,32,68,3,1,False,13,Rush,Kaelon Black run for 13 yds to the JMads 45 for a 1ST down,1.9498391969966473,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894006,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,4,1,"{'minutes': 10, 'seconds': 59}",3,3,45,55,1,10,False,3,Pass Reception,Todd Centeio pass complete to Kaelon Black for 3 yds to the JMads 48,-0.4238622892911614,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894007,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,5,1,"{'minutes': 10, 'seconds': 59}",3,3,48,52,2,7,False,6,Rush,Percy Agyei-Obese run for 6 yds to the GeoSt 46,0.3721633352251514,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894008,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,6,1,"{'minutes': 10, 'seconds': 59}",3,3,54,46,3,1,False,4,Rush,Percy Agyei-Obese run for 4 yds to the GeoSt 42 for a 1ST down,1.033376719810251,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894009,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,7,1,"{'minutes': 10, 'seconds': 59}",3,3,58,42,1,10,False,-1,Rush,Kaelon Black run for a loss of 1 yard to the GeoSt 43,-1.125910376883770,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894010,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,8,1,"{'minutes': 10, 'seconds': 59}",3,3,57,43,2,11,False,4,Rush,Todd Centeio run for 4 yds to the GeoSt 39,-0.1585984791991065,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894012,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,9,1,"{'minutes': 10, 'seconds': 59}",3,3,61,39,3,7,False,10,Penalty,"CENTEIO, Todd pass to the right incomplete intended for RAVENEL, Devin thrown to the GSU27. PENALTY GSU Holding on LANE, Antavious enforced 10 yards from the GSU39 to the GSU29 and results in automatic 1ST DOWN [NHSG]. NO PLAY (replay the down).",,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101894013,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,0,0,401426378,4014263784,4,10,1,"{'minutes': 10, 'seconds': 59}",3,3,71,29,1,10,False,3,Rush,Latrele Palmer run for 3 yds to the GeoSt 26,-0.165753158468877,2022-11-19T19:16:24.000Z,12,James Madison,2022
401426378101947701,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,7,0,401426378,4014263784,4,11,1,"{'minutes': 5, 'seconds': 22}",3,3,74,26,2,7,True,26,Passing Touchdown,"Todd Centeio pass complete to Kris Thornton for 26 yds for a TD, (Camden Wise KICK)",2.954054343066989,2022-11-19T19:23:14.000Z,12,James Madison,2022
401426378101947703,James Madison,Sun Belt,Georgia State,Sun Belt,James Madison,Georgia State,7,0,401426378,4014263785,5,1,1,"{'minutes': 5, 'seconds': 22}",3,3,35,65,0,0,False,0,Kickoff,Connor Madden kickoff for 65 yds for a touchback,,2022-11-19T19:23:14.000Z,12,James Madison,2022
401426378101947705,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,7,401426378,4014263785,5,2,1,"{'minutes': 5, 'seconds': 22}",3,3,75,75,1,10,False,3,Rush,Tucker Gregg run for 3 yds to the GeoSt 28,-0.2957674139440157,2022-11-19T19:23:14.000Z,12,James Madison,2022
401426378101947706,Georgia State,Sun Belt,James Madison,Sun Belt,James Madison,Georgia State,0,7,401426378,4014263785,5,3,1,"{'minutes': 5, 'seconds': 22}",3,3,72,72,2,7,False,0,Rush,Tucker Gregg run for no gain to the GeoSt 28,-0.5594317282120231,2022-11-19T19:23:14.000Z,12,James Madison,2022
