id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404107101849902,Kansas State,Big 12,Texas,Big 12,Kansas State,Texas,0,0,401404107,4014041071,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Ty Zentner kickoff for 65 yds for a touchback,,2022-11-05T23:10:33.000Z,10,Kansas State,2022
401404107101854501,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,0,0,401404107,4014041071,1,2,1,"{'minutes': 14, 'seconds': 54}",3,3,75,75,1,10,False,0,Pass Incompletion,Quinn Ewers pass incomplete to Ja'Tavion Sanders,-0.70297002204365193,2022-11-05T23:11:44.000Z,10,Kansas State,2022
401404107101854901,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,0,0,401404107,4014041071,1,3,1,"{'minutes': 14, 'seconds': 50}",3,3,75,75,2,10,False,1,Rush,Bijan Robinson run for 1 yd to the Texas 26,-0.29282347426074384,2022-11-05T23:12:03.000Z,10,Kansas State,2022
401404107101859001,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,0,0,401404107,4014041071,1,4,1,"{'minutes': 14, 'seconds': 9}",3,3,74,74,3,9,False,9,Pass Reception,Quinn Ewers pass complete to Ja'Tavion Sanders for 9 yds to the Texas 35 for a 1ST down,1.83083160533438247,2022-11-05T23:12:39.000Z,10,Kansas State,2022
401404107101865701,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,0,0,401404107,4014041071,1,5,1,"{'minutes': 13, 'seconds': 42}",3,3,65,65,1,10,False,15,Pass Incompletion,"Quinn Ewers pass incomplete to Jordan Whittington for a 1ST down KANSAS ST Penalty, Personal Foul (Julius Brents) to the 50 yard line for a 1ST down",1.4013050785699618,2022-11-05T23:15:26.000Z,10,Kansas State,2022
401404107101866901,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,0,0,401404107,4014041071,1,6,1,"{'minutes': 13, 'seconds': 30}",3,3,50,50,1,10,False,9,Pass Reception,Quinn Ewers pass complete to Keilan Robinson for 9 yds to the KanSt 41,1.094285718541039,2022-11-05T23:15:44.000Z,10,Kansas State,2022
401404107101869901,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,0,0,401404107,4014041071,1,7,1,"{'minutes': 13, 'seconds': 0}",3,3,41,41,2,1,False,5,Rush,Bijan Robinson run for 5 yds to the KanSt 36 for a 1ST down,-0.263651881433462,2022-11-05T23:16:22.000Z,10,Kansas State,2022
401404107101876001,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,0,0,401404107,4014041071,1,8,1,"{'minutes': 12, 'seconds': 39}",3,3,36,36,1,10,False,0,Pass Incompletion,Quinn Ewers pass incomplete,-0.7215426143188567,2022-11-05T23:16:40.000Z,10,Kansas State,2022
401404107101876901,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,7,0,401404107,4014041071,1,9,1,"{'minutes': 12, 'seconds': 30}",3,3,36,36,2,10,True,36,Rushing Touchdown,Bijan Robinson run for 36 yds for a TD,3.7323207093326527,2022-11-05T23:17:57.000Z,10,Kansas State,2022
401404107101876903,Texas,Big 12,Kansas State,Big 12,Kansas State,Texas,7,0,401404107,4014041072,2,1,1,"{'minutes': 12, 'seconds': 30}",3,3,65,65,2,10,False,27,Kickoff Return (Offense),"Will Stone kickoff for 57 yds , Malik Knowles return for 27 yds to the KanSt 35",,2022-11-05T23:21:26.000Z,10,Kansas State,2022
401404107101879901,Kansas State,Big 12,Texas,Big 12,Kansas State,Texas,0,7,401404107,4014041072,2,2,1,"{'minutes': 12, 'seconds': 0}",3,3,35,65,1,10,False,8,Pass Reception,Adrian Martinez pass complete to Sammy Wheeler for 8 yds to the KanSt 43,1.0371887163944020,2022-11-05T23:22:18.000Z,10,Kansas State,2022
401404107101887901,Kansas State,Big 12,Texas,Big 12,Kansas State,Texas,0,7,401404107,4014041072,2,3,1,"{'minutes': 11, 'seconds': 20}",3,3,43,57,2,2,False,3,Rush,Deuce Vaughn run for 3 yds to the KanSt 46 for a 1ST down,0.0206307566117248,2022-11-05T23:23:05.000Z,10,Kansas State,2022
