id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404089101854301,Kansas,Big 12,TCU,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,1,1,"{'minutes': 14, 'seconds': 56}",3,3,35,65,1,10,False,22,Kickoff Return (Offense),"Tabor Allen kickoff for 65 yds , Emari Demercado return for 22 yds to the TCU 22",,2022-10-08T16:05:00.000Z,6,Kansas,2022
401404089101855801,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,2,1,"{'minutes': 14, 'seconds': 41}",3,3,78,78,1,10,False,13,Pass Reception,Max Duggan pass complete to Quentin Johnston for 13 yds to the TCU 35 for a 1ST down,1.0292677916497874,2022-10-08T16:05:12.000Z,6,Kansas,2022
401404089101857701,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,3,1,"{'minutes': 14, 'seconds': 22}",3,3,65,65,1,10,False,4,Rush,Kendre Miller run for 4 yds to the TCU 39,-0.1595952673507188,2022-10-08T16:05:30.000Z,6,Kansas,2022
401404089101859501,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,4,1,"{'minutes': 14, 'seconds': 4}",3,3,61,61,2,6,False,10,Rush,Max Duggan run for 10 yds to the TCU 49 for a 1ST down,1.4789450741491146,2022-10-08T16:05:53.000Z,6,Kansas,2022
401404089101866101,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,5,1,"{'minutes': 13, 'seconds': 38}",3,3,51,51,1,10,False,17,Rush,Kendre Miller run for 17 yds to the Kans 34 for a 1ST down,0.986641042979269,2022-10-08T16:06:25.000Z,6,Kansas,2022
401404089101874401,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,6,1,"{'minutes': 12, 'seconds': 55}",3,3,34,34,1,10,False,8,Pass Reception,Max Duggan pass complete to Quentin Johnston for 8 yds to the Kans 26,0.552344804306543,2022-10-08T16:07:08.000Z,6,Kansas,2022
401404089101876401,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,7,1,"{'minutes': 12, 'seconds': 35}",3,3,26,26,2,2,False,2,Rush,Emari Demercado run for 2 yds to the Kans 24 for a 1ST down,-0.297056591999848,2022-10-08T16:07:33.000Z,6,Kansas,2022
401404089101879901,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,8,1,"{'minutes': 12, 'seconds': 0}",3,3,24,24,1,10,False,0,Rush,Emari Demercado run for no gain to the Kans 24,-0.4346450377339437,2022-10-08T16:08:08.000Z,6,Kansas,2022
401404089101887501,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,9,1,"{'minutes': 11, 'seconds': 24}",3,3,24,24,2,10,False,3,Rush,Max Duggan run for 3 yds to the Kans 21,-0.1785696114879283,2022-10-08T16:08:44.000Z,6,Kansas,2022
401404089101894801,TCU,Big 12,Kansas,Big 12,Kansas,TCU,0,0,401404089,4014040891,1,10,1,"{'minutes': 10, 'seconds': 51}",3,3,21,21,3,7,False,0,Pass Incompletion,Max Duggan pass incomplete to Savion Williams,-0.681859869839693,2022-10-08T16:09:20.000Z,6,Kansas,2022
