id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403949101849902,Georgia,SEC,Kentucky,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff Return (Offense),"Jack Podlesny kickoff for 61 yds , Barion Brown return for no gain to the Kent 4 Barion Brown fumbled, recovered by Kent Barion Brown",,2022-11-19T20:39:11.000Z,12,Kentucky,2022
401403949101854601,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,2,1,"{'minutes': 14, 'seconds': 53}",2,3,4,96,1,10,False,0,Timeout,"Timeout KENTUCKY, clock 14:53",,2022-11-19T20:44:08.000Z,12,Kentucky,2022
401403949101855401,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,3,1,"{'minutes': 14, 'seconds': 45}",2,3,4,96,1,10,False,0,Rush,Chris Rodriguez Jr. run for no gain to the Kent 4,-0.270587481369362064,2022-11-19T20:44:25.000Z,12,Kentucky,2022
401403949101859101,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,4,1,"{'minutes': 14, 'seconds': 8}",2,3,4,96,2,10,False,1,Rush,Chris Rodriguez Jr. run for 1 yd to the Kent 5,-0.09733627142547618,2022-11-19T20:45:02.000Z,12,Kentucky,2022
401403949101865401,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,5,1,"{'minutes': 13, 'seconds': 45}",2,3,5,95,3,9,False,-2,Penalty,"KENTUCKY Penalty, False Start (Deondre Buford) to the Kent 3",,2022-11-19T20:45:43.000Z,12,Kentucky,2022
401403949101868101,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,6,1,"{'minutes': 13, 'seconds': 18}",2,3,3,97,3,11,False,31,Pass Reception,Will Levis pass complete to Barion Brown for 31 yds to the Kent 34 for a 1ST down,2.0032134948722167,2022-11-19T20:46:19.000Z,12,Kentucky,2022
401403949101876101,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,7,1,"{'minutes': 12, 'seconds': 38}",2,3,34,66,1,10,False,9,Rush,Chris Rodriguez Jr. run for 9 yds to the Kent 43,1.3844644054795978,2022-11-19T20:47:11.000Z,12,Kentucky,2022
401403949101879901,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,8,1,"{'minutes': 12, 'seconds': 0}",2,3,43,57,2,1,False,2,Rush,Chris Rodriguez Jr. run for 2 yds to the Kent 45 for a 1ST down,-0.3243082530663486,2022-11-19T20:47:39.000Z,12,Kentucky,2022
401403949101886901,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,9,1,"{'minutes': 11, 'seconds': 30}",2,3,45,55,1,10,False,2,Rush,Chris Rodriguez Jr. run for 2 yds to the Kent 47,-0.6797853383066688,2022-11-19T20:48:38.000Z,12,Kentucky,2022
401403949101895301,Kentucky,SEC,Georgia,SEC,Kentucky,Georgia,0,0,401403949,4014039491,1,10,1,"{'minutes': 10, 'seconds': 46}",2,3,47,53,2,8,False,13,Pass Reception,Will Levis pass complete to Josh Kattus for 13 yds to the Geo 40 for a 1ST down,1.7673494316856928,2022-11-19T20:49:19.000Z,12,Kentucky,2022
