id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403885101849902,Mississippi State,SEC,LSU,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Ben Raybon kickoff for 65 yds for a touchback,,2022-09-17T22:00:58.000Z,3,LSU,2022
401403885101854401,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,25,75,1,10,False,2,Rush,Armoni Goodwin run for 2 yds to the LSU 27,-0.45260367932203764,2022-09-17T22:02:51.000Z,3,LSU,2022
401403885101855901,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,3,1,"{'minutes': 14, 'seconds': 40}",3,3,27,73,2,8,False,18,Pass Reception,Jayden Daniels pass complete to Kayshon Boutte for 18 yds to the LSU 45 for a 1ST down,2.25374556172699414,2022-09-17T22:03:37.000Z,3,LSU,2022
401403885101856901,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,4,1,"{'minutes': 14, 'seconds': 30}",3,3,45,55,1,10,False,-5,Penalty,"LSU Penalty, False Start (-5 Yards) to the LSU 40",,2022-09-17T22:03:56.000Z,3,LSU,2022
401403885101856902,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,5,1,"{'minutes': 14, 'seconds': 30}",3,3,40,60,1,15,False,13,Rush,Jayden Daniels run for 13 yds to the MisSt 47,2.1706169439266727,2022-09-17T22:03:56.000Z,3,LSU,2022
401403885101866901,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,6,1,"{'minutes': 13, 'seconds': 30}",3,3,53,47,2,2,False,3,Rush,Armoni Goodwin run for 3 yds to the MisSt 44 for a 1ST down,-0.0783451199279508,2022-09-17T22:06:09.000Z,3,LSU,2022
401403885101867101,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,7,1,"{'minutes': 13, 'seconds': 28}",3,3,56,44,1,10,False,-5,Penalty,"LSU Penalty, False Start (-5 Yards) to the MisSt 49",,2022-09-17T22:06:32.000Z,3,LSU,2022
401403885101874901,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,8,1,"{'minutes': 12, 'seconds': 50}",3,3,51,49,1,15,False,0,Pass Incompletion,Jayden Daniels pass incomplete,-1.0530820322115347,2022-09-17T22:06:57.000Z,3,LSU,2022
401403885101875901,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,9,1,"{'minutes': 12, 'seconds': 40}",3,3,51,49,2,15,False,0,Pass Incompletion,Jayden Daniels pass incomplete to Kayshon Boutte,-0.8667631191407627,2022-09-17T22:07:22.000Z,3,LSU,2022
401403885101875902,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,10,1,"{'minutes': 12, 'seconds': 40}",2,3,51,49,3,15,False,0,Timeout,"Timeout LSU, clock 12:40",,2022-09-17T22:07:22.000Z,3,LSU,2022
401403885101876401,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,11,1,"{'minutes': 12, 'seconds': 35}",2,3,51,49,3,15,False,0,Pass Incompletion,Jayden Daniels pass incomplete to Jack Bech,-0.5357196718773585,2022-09-17T22:11:39.000Z,3,LSU,2022
401403885101876402,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,12,1,"{'minutes': 12, 'seconds': 35}",2,3,51,49,4,15,False,0,Punt,"Jay Bramblett punt for 36 yds, downed at the MisSt 13",,2022-09-17T22:11:39.000Z,3,LSU,2022
401403885101877401,LSU,SEC,Mississippi State,SEC,LSU,Mississippi State,0,0,401403885,4014038851,1,13,1,"{'minutes': 12, 'seconds': 25}",2,3,51,49,4,15,False,0,Punt,,,2022-09-17T22:12:49.000Z,3,LSU,2022
401403885101877901,Mississippi State,SEC,LSU,SEC,LSU,Mississippi State,0,0,401403885,4014038852,2,1,1,"{'minutes': 12, 'seconds': 20}",3,2,87,87,1,10,False,1,Pass Reception,Will Rogers pass complete to Dillon Johnson for 1 yd to the MisSt 14,-0.337104173819378515,2022-09-17T22:13:22.000Z,3,LSU,2022
