id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426616101854501,UAB,Conference USA,Louisiana Tech,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,1,1,"{'minutes': 14, 'seconds': 54}",3,3,65,65,0,0,False,26,Kickoff Return (Offense),"Reese Burkhardt kickoff for 64 yds , Smoke Harris return for 26 yds to the LaTch 27",,2022-11-26T20:43:06.000Z,13,Louisiana Tech,2022
401426616101854503,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,2,1,"{'minutes': 14, 'seconds': 54}",3,3,27,73,1,10,False,0,Pass Incompletion,Landry Lyddy pass incomplete,-0.76604703567364395,2022-11-26T20:40:46.000Z,13,Louisiana Tech,2022
401426616101854504,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,3,1,"{'minutes': 14, 'seconds': 54}",3,3,27,73,2,10,False,4,Pass Reception,Landry Lyddy pass complete to Nate Jones for 4 yds to the LaTch 31,-0.07060085373078629,2022-11-26T20:40:46.000Z,13,Louisiana Tech,2022
401426616101854505,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,4,1,"{'minutes': 14, 'seconds': 54}",3,3,31,69,3,6,False,20,Pass Reception,Landry Lyddy pass complete to Tre Harris for 20 yds to the UAB 49 for a 1ST down,3.00703277198911854,2022-11-26T20:40:46.000Z,13,Louisiana Tech,2022
401426616101854506,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,5,1,"{'minutes': 14, 'seconds': 54}",3,3,51,49,1,10,False,-2,Pass Reception,Landry Lyddy pass complete to Smoke Harris for a loss of 2 yards to the LaTch 49,-1.5598563607412998,2022-11-26T20:40:46.000Z,13,Louisiana Tech,2022
401426616101854507,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,6,1,"{'minutes': 14, 'seconds': 54}",3,3,49,51,2,12,False,38,Pass Reception,Landry Lyddy pass complete to Marquis Crosby for 38 yds to the UAB 13 for a 1ST down,2.7832576973327011,2022-11-26T20:41:07.000Z,13,Louisiana Tech,2022
401426616101854508,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,7,1,"{'minutes': 14, 'seconds': 54}",3,3,87,13,1,10,False,4,Pass Reception,Landry Lyddy pass complete to Tre Harris for 4 yds to the UAB 9,-0.017336858055032,2022-11-26T20:41:07.000Z,13,Louisiana Tech,2022
401426616101854509,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,8,1,"{'minutes': 14, 'seconds': 54}",3,3,91,9,2,6,False,4,Pass Reception,Landry Lyddy pass complete to Nate Jones for 4 yds to the UAB 5,-0.019022893985170,2022-11-26T20:41:07.000Z,13,Louisiana Tech,2022
401426616101854510,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,9,1,"{'minutes': 14, 'seconds': 54}",3,3,95,5,3,2,False,0,Pass Incompletion,Landry Lyddy pass incomplete,-0.332655196001356,2022-11-26T20:41:07.000Z,13,Louisiana Tech,2022
401426616101885501,Louisiana Tech,Conference USA,UAB,Conference USA,Louisiana Tech,UAB,0,0,401426616,4014266161,1,10,1,"{'minutes': 11, 'seconds': 44}",3,3,95,5,4,2,False,0,Pass Incompletion,Landry Lyddy pass incomplete,-4.092055836912595,2022-11-26T20:43:16.000Z,13,Louisiana Tech,2022
