id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401421121101854401,Louisiana,Sun Belt,Southeastern Louisiana,Southland,Louisiana,Southeastern Louisiana,0,0,401421121,4014211211,1,1,1,"{'minutes': 14, 'seconds': 55}",3,3,35,65,0,0,False,16,Kickoff Return (Offense),"Thomas Leo kickoff for 65 yds , Gage Larvadain return for 16 yds to the SELa 16",,2022-09-03T23:04:36.000Z,1,Louisiana,2022
401421121101854403,Southeastern Louisiana,Southland,Louisiana,Sun Belt,Louisiana,Southeastern Louisiana,0,0,401421121,4014211211,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,84,84,1,10,False,-3,Rush,Bauer Sharp run for a loss of 3 yards to the SELa 13,-0.61748898419874634,2022-09-03T23:04:36.000Z,1,Louisiana,2022
401421121101854404,Southeastern Louisiana,Southland,Louisiana,Sun Belt,Louisiana,Southeastern Louisiana,0,0,401421121,4014211211,1,3,1,"{'minutes': 14, 'seconds': 55}",3,3,87,87,2,13,False,5,Rush,Cephus Johnson III run for 5 yds to the SELa 18,0.01850606786071474,2022-09-03T23:04:36.000Z,1,Louisiana,2022
401421121101854405,Southeastern Louisiana,Southland,Louisiana,Sun Belt,Louisiana,Southeastern Louisiana,0,0,401421121,4014211211,1,4,1,"{'minutes': 14, 'seconds': 55}",3,3,82,82,3,8,False,0,Pass Incompletion,Cephus Johnson III pass incomplete,-0.1318376833499606,2022-09-03T23:04:36.000Z,1,Louisiana,2022
401421121101867101,Southeastern Louisiana,Southland,Louisiana,Sun Belt,Louisiana,Southeastern Louisiana,0,0,401421121,4014211211,1,5,1,"{'minutes': 13, 'seconds': 28}",3,3,82,82,4,8,False,0,Punt,"Austin Dunlap punt for 61 yds, downed at the LaLaf 21",,2022-09-03T23:06:52.000Z,1,Louisiana,2022
401421121101867103,Louisiana,Sun Belt,Southeastern Louisiana,Southland,Louisiana,Southeastern Louisiana,0,0,401421121,4014211212,2,1,1,"{'minutes': 13, 'seconds': 28}",3,3,21,79,1,10,False,5,Pass Reception,Chandler Fields pass complete to Michael Jefferson for 5 yds to the LaLaf 26,0.0872959704547682,2022-09-03T23:06:52.000Z,1,Louisiana,2022
401421121101867104,Louisiana,Sun Belt,Southeastern Louisiana,Southland,Louisiana,Southeastern Louisiana,0,0,401421121,4014211212,2,2,1,"{'minutes': 13, 'seconds': 28}",3,3,26,74,2,5,False,2,Rush,Chandler Fields run for 2 yds to the LaLaf 28,-0.40945213005390886,2022-09-03T23:06:52.000Z,1,Louisiana,2022
401421121101867105,Louisiana,Sun Belt,Southeastern Louisiana,Southland,Louisiana,Southeastern Louisiana,0,0,401421121,4014211212,2,3,1,"{'minutes': 13, 'seconds': 28}",3,3,28,72,3,3,False,-5,Penalty,"LOUISIANA Penalty, False Start (Jax Harrington) to the LaLaf 23",,2022-09-03T23:06:52.000Z,1,Louisiana,2022
401421121101867106,Louisiana,Sun Belt,Southeastern Louisiana,Southland,Louisiana,Southeastern Louisiana,0,0,401421121,4014211212,2,4,1,"{'minutes': 13, 'seconds': 28}",3,3,23,77,3,8,False,16,Pass Reception,Chandler Fields pass complete to Michael Jefferson for 16 yds to the LaLaf 39 for a 1ST down,2.24294843368124198,2022-09-03T23:06:52.000Z,1,Louisiana,2022
401421121101888501,Louisiana,Sun Belt,Southeastern Louisiana,Southland,Louisiana,Southeastern Louisiana,0,0,401421121,4014211212,2,5,1,"{'minutes': 11, 'seconds': 14}",2,3,39,61,2,10,False,0,Timeout,"Timeout LOUISIANA, clock 11:14",,2022-09-03T23:11:49.000Z,1,Louisiana,2022
