id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401405109101849906,Maryland,Big Ten,Purdue,Big Ten,Maryland,Purdue,0,0,401405109,4014051091,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,22,Kickoff Return (Offense),"Chad Ryland kickoff for 65 yds , Deion Burks return for 22 yds to the Prdue 22",,2022-10-08T16:02:06.000Z,6,Maryland,2022
401405109101849908,Purdue,Big Ten,Maryland,Big Ten,Maryland,Purdue,0,0,401405109,4014051091,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,78,78,1,10,False,-13,Fumble Recovery (Own),"Dylan Downing run for a loss of 13 yards to the Prdue 9 Dylan Downing fumbled, recovered by Prdue Dylan Downing",-1.08620512015519745,2022-10-08T16:02:06.000Z,6,Maryland,2022
401405109101849910,Purdue,Big Ten,Maryland,Big Ten,Maryland,Purdue,0,0,401405109,4014051091,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,91,91,2,23,False,7,Pass Reception,Aidan O'Connell pass complete to TJ Sheffield for 7 yds to the Prdue 16,0.02704883615773035,2022-10-08T16:02:06.000Z,6,Maryland,2022
401405109101849913,Purdue,Big Ten,Maryland,Big Ten,Maryland,Purdue,0,0,401405109,4014051091,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,84,84,3,16,False,8,Pass Reception,Aidan O'Connell pass complete to Payne Durham for 8 yds to the Prdue 24,0.0661246785188867,2022-10-08T16:02:06.000Z,6,Maryland,2022
401405109101874401,Purdue,Big Ten,Maryland,Big Ten,Maryland,Purdue,0,0,401405109,4014051091,1,5,1,"{'minutes': 12, 'seconds': 55}",3,3,76,76,4,8,False,0,Punt,"Jack Ansell punt for 45 yds, fair catch by Tarheeb Still at the Mary 31",,2022-10-08T16:05:14.000Z,6,Maryland,2022
401405109101874403,Maryland,Big Ten,Purdue,Big Ten,Maryland,Purdue,0,0,401405109,4014051092,2,1,1,"{'minutes': 12, 'seconds': 55}",3,3,31,69,1,10,False,4,Pass Reception,Taulia Tagovailoa pass complete to Roman Hemby for 4 yds to the Mary 35,-0.1445206744011678,2022-10-08T16:05:14.000Z,6,Maryland,2022
401405109101874404,Maryland,Big Ten,Purdue,Big Ten,Maryland,Purdue,0,0,401405109,4014051092,2,2,1,"{'minutes': 12, 'seconds': 55}",3,3,35,65,2,6,False,35,Pass Reception,Taulia Tagovailoa pass complete to Dontay Demus Jr. for 35 yds to the Prdue 30 for a 1ST down,2.9375685465934465,2022-10-08T16:05:14.000Z,6,Maryland,2022
401405109101874405,Maryland,Big Ten,Purdue,Big Ten,Maryland,Purdue,0,0,401405109,4014051092,2,3,1,"{'minutes': 12, 'seconds': 55}",3,3,70,30,1,10,False,5,Pass Reception,Taulia Tagovailoa pass complete to Tai Felton for 5 yds to the Prdue 25,0.077675021178715,2022-10-08T16:05:14.000Z,6,Maryland,2022
401405109101874406,Maryland,Big Ten,Purdue,Big Ten,Maryland,Purdue,0,0,401405109,4014051092,2,4,1,"{'minutes': 12, 'seconds': 55}",3,3,75,25,2,5,False,8,Rush,Roman Hemby run for 8 yds to the Prdue 17 for a 1ST down,0.156665008959642,2022-10-08T16:05:14.000Z,6,Maryland,2022
401405109101874407,Maryland,Big Ten,Purdue,Big Ten,Maryland,Purdue,0,0,401405109,4014051092,2,5,1,"{'minutes': 12, 'seconds': 55}",3,3,83,17,1,10,False,8,Rush,Roman Hemby run for 8 yds to the Prdue 9,0.451122635393853,2022-10-08T16:05:14.000Z,6,Maryland,2022
