id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416646101854301,Northern Illinois,Mid-American,Miami (OH),Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166461,1,1,1,"{'minutes': 14, 'seconds': 56}",3,3,35,65,1,10,False,0,Kickoff,John Richardson kickoff for 65 yds for a touchback,,2022-11-16T00:00:00.000Z,12,Miami (OH),2022
401416646101855601,Miami (OH),Mid-American,Northern Illinois,Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166461,1,2,1,"{'minutes': 14, 'seconds': 43}",3,3,75,75,1,10,False,1,Rush,Tyre Shelton run for 1 yd to the MiaOh 24,-0.58747954310168553,2022-11-17T00:03:54.000Z,12,Miami (OH),2022
401416646101859801,Miami (OH),Mid-American,Northern Illinois,Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166461,1,3,1,"{'minutes': 14, 'seconds': 1}",3,3,76,76,2,11,False,6,Rush,Aveon Smith run for 6 yds to the MiaOh 30,0.14230199528328403,2022-11-17T00:03:25.000Z,12,Miami (OH),2022
401416646101866401,Miami (OH),Mid-American,Northern Illinois,Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166461,1,4,1,"{'minutes': 13, 'seconds': 35}",3,3,70,70,3,5,False,0,Pass Incompletion,Aveon Smith pass incomplete to Mac Hippenhammer,-0.37162390491615050,2022-11-17T00:05:18.000Z,12,Miami (OH),2022
401416646101867201,Miami (OH),Mid-American,Northern Illinois,Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166461,1,5,1,"{'minutes': 13, 'seconds': 27}",3,3,70,70,4,5,False,0,Punt,Dom Dzioban punt for 43 yds,,2022-11-17T00:03:25.000Z,12,Miami (OH),2022
401416646101868301,Northern Illinois,Mid-American,Miami (OH),Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166462,2,1,1,"{'minutes': 13, 'seconds': 16}",3,3,27,73,1,10,False,55,Rush,Jaiden Credle run for 55 yds to the MiaOh 18 for a 1ST down,3.3409227251513456,2022-11-17T00:03:25.000Z,12,Miami (OH),2022
401416646101876301,Northern Illinois,Mid-American,Miami (OH),Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166462,2,2,1,"{'minutes': 12, 'seconds': 36}",3,3,82,18,1,10,False,5,Rush,Harrison Waylee run for 5 yds to the MiaOh 13,0.074296967756130,2022-11-17T00:07:17.000Z,12,Miami (OH),2022
401416646101885401,Northern Illinois,Mid-American,Miami (OH),Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166462,2,3,1,"{'minutes': 11, 'seconds': 45}",3,3,87,13,2,5,False,1,Rush,Harrison Waylee run for 1 yd to the MiaOh 12,-0.300397549144261,2022-11-17T00:08:04.000Z,12,Miami (OH),2022
401416646101887701,Northern Illinois,Mid-American,Miami (OH),Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166462,2,4,1,"{'minutes': 11, 'seconds': 22}",2,3,88,12,3,4,False,0,Timeout,"Timeout NORTHERNIL, clock 11:22",,2022-11-17T00:03:25.000Z,12,Miami (OH),2022
401416646101889701,Northern Illinois,Mid-American,Miami (OH),Mid-American,Northern Illinois,Miami (OH),0,0,401416646,4014166462,2,5,1,"{'minutes': 11, 'seconds': 2}",2,3,88,12,3,4,False,1,Pass Reception,Nevan Cremascoli pass complete to Billy Dozier for 1 yd to the MiaOh 13,-0.3084031378382225,2022-11-17T00:09:58.000Z,12,Miami (OH),2022
401416646101896301,Northern Illinois,Mid-American,Miami (OH),Mid-American,Northern Illinois,Miami (OH),3,0,401416646,4014166462,2,6,1,"{'minutes': 10, 'seconds': 36}",2,3,87,13,4,5,True,31,Field Goal Good,John Richardson 31 yd FG GOOD,,2022-11-17T00:03:25.000Z,12,Miami (OH),2022
401416646101897001,Northern Illinois,Mid-American,Miami (OH),Mid-American,Northern Illinois,Miami (OH),3,0,401416646,4014166463,3,1,1,"{'minutes': 10, 'seconds': 29}",2,3,35,65,1,10,False,24,Kickoff,"John Richardson kickoff for 60 yds , Jalen Walker return for 24 yds to the MiaOh 29",,2022-11-17T00:13:58.000Z,12,Miami (OH),2022
401416646101897401,Miami (OH),Mid-American,Northern Illinois,Mid-American,Northern Illinois,Miami (OH),0,3,401416646,4014166463,3,2,1,"{'minutes': 10, 'seconds': 25}",3,2,71,71,1,10,False,0,Pass Incompletion,Aveon Smith pass incomplete to Kenny Tracy,-0.8305196050291288,2022-11-17T00:03:25.000Z,12,Miami (OH),2022
401416646101898101,Miami (OH),Mid-American,Northern Illinois,Mid-American,Northern Illinois,Miami (OH),0,3,401416646,4014166463,3,3,1,"{'minutes': 10, 'seconds': 18}",3,2,71,71,2,10,False,1,Rush,Tyre Shelton run for 1 yd to the MiaOh 28,-0.366699343986828027,2022-11-17T00:15:18.000Z,12,Miami (OH),2022
