id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401411097101849902,Miami,ACC,Bethune-Cookman,SWAC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Andres Borregales kickoff for 65 yds for a touchback,,2022-09-03T19:33:39.000Z,1,Miami,2022
401411097101849903,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,-5,Penalty,"BETHUNE COOKMAN Penalty, False Start (Desmond Daniels) to the BthCk 20",,2022-09-03T19:33:39.000Z,1,Miami,2022
401411097101855601,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,3,1,"{'minutes': 14, 'seconds': 43}",3,3,80,80,1,15,False,0,Pass Reception,Jalon Jones pass complete to Que'shaun Byrd for no gain to the BthCk 20,-0.32565561419001553,2022-09-03T19:36:08.000Z,1,Miami,2022
401411097101858401,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,4,1,"{'minutes': 14, 'seconds': 15}",3,3,80,80,2,15,False,-5,Penalty,"BETHUNE COOKMAN Penalty, Substitution Infraction (-5 Yards) to the BthCk 15",,2022-09-03T19:37:37.000Z,1,Miami,2022
401411097101865901,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,5,1,"{'minutes': 13, 'seconds': 40}",3,3,85,85,2,20,False,2,Rush,Que'shaun Byrd run for 2 yds to the BthCk 17,-0.04163399530185253,2022-09-03T19:38:19.000Z,1,Miami,2022
401411097101868501,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,6,1,"{'minutes': 13, 'seconds': 14}",3,3,83,83,3,18,False,-5,Penalty,"BETHUNE COOKMAN Penalty, False Start (-5 Yards) to the BthCk 12",,2022-09-03T19:39:09.000Z,1,Miami,2022
401411097101877101,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,7,1,"{'minutes': 12, 'seconds': 28}",3,3,88,88,3,23,False,24,Pass Reception,Jalon Jones pass complete to Marcus Riley for 24 yds to the BthCk 36 for a 1ST down,2.23497144770974637,2022-09-03T19:40:12.000Z,1,Miami,2022
401411097101884601,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,8,1,"{'minutes': 11, 'seconds': 53}",3,3,64,64,1,10,False,20,Pass Reception,Jalon Jones pass complete to Dylaan Lee for 20 yds to the MiaFl 44 for a 1ST down,1.7343102502653097,2022-09-03T19:40:39.000Z,1,Miami,2022
401411097101888201,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,9,1,"{'minutes': 11, 'seconds': 17}",3,3,44,44,1,10,False,3,Rush,Que'shaun Byrd run for 3 yds to the MiaFl 41,-0.3178831342797892,2022-09-03T19:41:15.000Z,1,Miami,2022
401411097101895301,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,10,1,"{'minutes': 10, 'seconds': 46}",3,3,41,41,2,7,False,28,Pass Reception,Jalon Jones pass complete to Dylaan Lee for 28 yds to the MiaFl 13 for a 1ST down,1.1918362767439635,2022-09-03T19:41:52.000Z,1,Miami,2022
401411097101899101,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,11,1,"{'minutes': 10, 'seconds': 8}",3,3,13,13,1,10,False,3,Rush,Que'shaun Byrd run for 3 yds to the MiaFl 10,-0.098600859057136,2022-09-03T19:42:30.000Z,1,Miami,2022
401411097101908701,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,12,1,"{'minutes': 9, 'seconds': 12}",3,3,10,10,2,7,False,-2,Rush,Jalon Jones run for a loss of 2 yards to the MiaFl 12,-0.450781976033442,2022-09-03T19:43:26.000Z,1,Miami,2022
401411097101914201,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,0,0,401411097,4014110971,1,13,1,"{'minutes': 8, 'seconds': 57}",3,3,12,12,3,9,False,0,Pass Incompletion,Jalon Jones pass incomplete to Kemari Averett,-0.464914983739831,2022-09-03T19:43:50.000Z,1,Miami,2022
401411097101914501,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,3,0,401411097,4014110971,1,14,1,"{'minutes': 8, 'seconds': 54}",3,3,12,12,4,9,True,29,Field Goal Good,Dylan Moghaddam 29 yd FG GOOD,,2022-09-03T19:45:35.000Z,1,Miami,2022
401411097101914502,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,3,0,401411097,4014110972,2,1,1,"{'minutes': 8, 'seconds': 54}",3,3,65,65,4,9,False,70,Kickoff Return (Offense),"Nicholai Daniel kickoff for 65 yds , Key'Shawn Smith return for 70 yds to the BthCk 30",,2022-09-03T19:45:35.000Z,1,Miami,2022
401411097101918901,Miami,ACC,Bethune-Cookman,SWAC,Miami,Bethune-Cookman,0,3,401411097,4014110972,2,2,1,"{'minutes': 8, 'seconds': 10}",3,3,70,30,1,10,False,9,Rush,Henry Parrish Jr. run for 9 yds to the BthCk 21,0.687915414120443,2022-09-03T19:49:26.000Z,1,Miami,2022
401411097101919801,Miami,ACC,Bethune-Cookman,SWAC,Miami,Bethune-Cookman,0,3,401411097,4014110972,2,3,1,"{'minutes': 8, 'seconds': 1}",3,3,79,21,2,1,False,0,Pass Incompletion,Tyler Van Dyke pass incomplete,-0.658477540898493,2022-09-03T19:49:38.000Z,1,Miami,2022
401411097101924401,Miami,ACC,Bethune-Cookman,SWAC,Miami,Bethune-Cookman,0,3,401411097,4014110972,2,4,1,"{'minutes': 7, 'seconds': 55}",3,3,79,21,3,1,False,9,Rush,Henry Parrish Jr. run for 9 yds to the BthCk 12 for a 1ST down,0.2547107176648955,2022-09-03T19:49:59.000Z,1,Miami,2022
401411097101928701,Miami,ACC,Bethune-Cookman,SWAC,Miami,Bethune-Cookman,0,3,401411097,4014110972,2,5,1,"{'minutes': 7, 'seconds': 12}",3,3,88,12,1,10,False,8,Rush,Henry Parrish Jr. run for 8 yds to the BthCk 4,0.4460962314173945,2022-09-03T19:50:27.000Z,1,Miami,2022
401411097101929901,Miami,ACC,Bethune-Cookman,SWAC,Miami,Bethune-Cookman,7,3,401411097,4014110972,2,6,1,"{'minutes': 7, 'seconds': 0}",3,3,96,4,2,2,True,4,Rushing Touchdown,"Thaddius Franklin Jr. run for 4 yds for a TD, (Andres Borregales KICK)",2.083998310618531,2022-09-03T19:51:13.000Z,1,Miami,2022
401411097101929903,Miami,ACC,Bethune-Cookman,SWAC,Miami,Bethune-Cookman,7,3,401411097,4014110973,3,1,1,"{'minutes': 7, 'seconds': 0}",3,3,35,65,2,2,False,0,Kickoff,Andres Borregales kickoff for 65 yds for a touchback,,2022-09-03T19:51:13.000Z,1,Miami,2022
401411097101936201,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,3,7,401411097,4014110973,3,2,1,"{'minutes': 6, 'seconds': 37}",3,3,75,75,1,10,False,4,Rush,Jalon Jones run for 4 yds to the BthCk 29,-0.1142886249388964,2022-09-03T19:56:26.000Z,1,Miami,2022
401411097101939601,Bethune-Cookman,SWAC,Miami,ACC,Miami,Bethune-Cookman,3,7,401411097,4014110973,3,3,1,"{'minutes': 6, 'seconds': 3}",3,3,71,71,2,6,False,0,Rush,Jalon Jones run for no gain to the BthCk 29,-0.65090488691109715,2022-09-03T19:57:17.000Z,1,Miami,2022
