id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403988101849907,Colorado,Pac-12,Minnesota,Big Ten,Minnesota,Colorado,0,0,401403988,4014039881,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Cole Becker kickoff for 65 yds for a touchback,,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101849908,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,0,0,401403988,4014039881,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,25,75,1,10,False,19,Rush,Mohamed Ibrahim run for 19 yds to the Minn 44 for a 1ST down,1.7075723383420155,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101849910,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,0,0,401403988,4014039881,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,44,56,1,10,False,13,Pass Reception,Tanner Morgan pass complete to Brevyn Spann-Ford for 13 yds to the Colo 43 for a 1ST down,1.0178126934484518,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101849912,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,0,0,401403988,4014039881,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,57,43,1,10,False,15,Pass Reception,Tanner Morgan pass complete to Chris Autman-Bell for 15 yds to the Colo 28 for a 1ST down,0.5883556137924232,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101849914,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,0,0,401403988,4014039881,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,72,28,1,10,False,4,Rush,Trey Potts run for 4 yds to the Colo 24,-0.043244644569821,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101849916,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,0,0,401403988,4014039881,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,76,24,2,6,False,3,Rush,Trey Potts run for 3 yds to the Colo 21,-0.170581997012871,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101849918,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,0,0,401403988,4014039881,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,79,21,3,3,False,9,Rush,Mohamed Ibrahim run for 9 yds to the Colo 12 for a 1ST down,0.4477465736851975,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101849921,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,0,0,401403988,4014039881,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,88,12,1,10,False,2,Rush,Mohamed Ibrahim run for 2 yds to the Colo 10,-0.1686350677656265,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101849924,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,0,0,401403988,4014039881,1,9,1,"{'minutes': 15, 'seconds': 0}",3,3,90,10,2,8,False,5,Rush,Mohamed Ibrahim run for 5 yds to the Colo 5,0.052356254848143,2022-09-17T19:35:10.000Z,3,Minnesota,2022
401403988101906701,Minnesota,Big Ten,Colorado,Pac-12,Minnesota,Colorado,7,0,401403988,4014039881,1,10,1,"{'minutes': 9, 'seconds': 32}",3,3,95,5,3,3,True,5,Rushing Touchdown,"Mohamed Ibrahim run for 5 yds for a TD, (Matthew Trickett KICK)",2.646373354953409,2022-09-17T19:43:00.000Z,3,Minnesota,2022
