id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404070101849903,Nebraska,Big Ten,Oklahoma,Big 12,Nebraska,Oklahoma,0,0,401404070,4014040701,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Brendan Franke kickoff for 65 yds for a touchback,,2022-09-17T16:05:57.000Z,3,Nebraska,2022
401404070101849905,Oklahoma,Big 12,Nebraska,Big Ten,Nebraska,Oklahoma,0,0,401404070,4014040701,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,6,Rush,Eric Gray run for 6 yds to the Okla 31,0.3333748010525683,2022-09-17T16:05:57.000Z,3,Nebraska,2022
401404070101849906,Oklahoma,Big 12,Nebraska,Big Ten,Nebraska,Oklahoma,0,0,401404070,4014040701,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,69,69,2,4,False,9,Rush,Eric Gray run for 9 yds to the Okla 40 for a 1ST down,0.9874797145250778,2022-09-17T16:05:57.000Z,3,Nebraska,2022
401404070101849907,Oklahoma,Big 12,Nebraska,Big Ten,Nebraska,Oklahoma,0,0,401404070,4014040701,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,60,60,1,10,False,-4,Sack,Dillon Gabriel sacked by Luke Reimer for a loss of 4 yards to the Okla 36,-1.7920897149154822,2022-09-17T16:05:57.000Z,3,Nebraska,2022
401404070101849908,Oklahoma,Big 12,Nebraska,Big Ten,Nebraska,Oklahoma,0,0,401404070,4014040701,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,64,64,2,14,False,1,Rush,Eric Gray run for 1 yd to the Okla 37,-0.38399224378874222,2022-09-17T16:05:57.000Z,3,Nebraska,2022
401404070101849909,Oklahoma,Big 12,Nebraska,Big Ten,Nebraska,Oklahoma,0,0,401404070,4014040701,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,63,63,3,13,False,0,Pass Incompletion,Dillon Gabriel pass incomplete to Theo Wease,-0.26164884293652158,2022-09-17T16:05:57.000Z,3,Nebraska,2022
401404070101849910,Oklahoma,Big 12,Nebraska,Big Ten,Nebraska,Oklahoma,0,0,401404070,4014040701,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,63,63,4,13,False,0,Punt,"Michael Turk punt for 40 yds, fair catch by Trey Palmer at the Neb 23",,2022-09-17T16:05:57.000Z,3,Nebraska,2022
401404070101868301,Oklahoma,Big 12,Nebraska,Big Ten,Nebraska,Oklahoma,0,0,401404070,4014040701,1,8,1,"{'minutes': 13, 'seconds': 16}",3,3,63,63,4,13,False,0,Punt,"Michael Turk punt for 40 yds, fair catch by Trey Palmer at the Neb 23",,2022-09-17T16:05:57.000Z,3,Nebraska,2022
401404070101868303,Nebraska,Big Ten,Oklahoma,Big 12,Nebraska,Oklahoma,0,0,401404070,4014040702,2,1,1,"{'minutes': 13, 'seconds': 16}",3,3,23,77,1,10,False,11,Pass Reception,Casey Thompson pass complete to Alante Brown for 11 yds to the Neb 34 for a 1ST down,0.8735877044597827,2022-09-17T16:09:38.000Z,3,Nebraska,2022
401404070101868304,Nebraska,Big Ten,Oklahoma,Big 12,Nebraska,Oklahoma,0,0,401404070,4014040702,2,2,1,"{'minutes': 13, 'seconds': 16}",3,3,34,66,1,10,False,16,Pass Reception,Casey Thompson pass complete to Trey Palmer for 16 yds to the 50 yard line for a 1ST down,1.4953574576082412,2022-09-17T16:09:38.000Z,3,Nebraska,2022
