id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415233101849902,Nevada,Mountain West,Colorado State,Mountain West,Nevada,Colorado State,0,0,401415233,4014152331,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,22,Kickoff Return (Offense),"Matthew Killam kickoff for 57 yds , A'Jon Vivens return for 22 yds to the NEVADA 43 COLORADO ST Penalty, Offensive Holding (10 Yards) to the ColSt 20",,2022-10-08T02:47:23.000Z,6,Nevada,2022
401415233101854901,Colorado State,Mountain West,Nevada,Mountain West,Nevada,Colorado State,0,0,401415233,4014152331,1,2,1,"{'minutes': 14, 'seconds': 50}",3,3,80,80,1,10,False,1,Pass Reception,Brayden Fowler-Nicolosi pass complete to Tory Horton for 1 yd to the ColSt 21,-0.46882789768185694,2022-10-08T02:47:23.000Z,6,Nevada,2022
401415233101855601,Colorado State,Mountain West,Nevada,Mountain West,Nevada,Colorado State,0,0,401415233,4014152331,1,3,1,"{'minutes': 14, 'seconds': 43}",3,3,79,79,2,9,False,7,Rush,Avery Morrow run for 7 yds to the ColSt 28,0.30011038351208530,2022-10-08T02:47:23.000Z,6,Nevada,2022
401415233101859901,Colorado State,Mountain West,Nevada,Mountain West,Nevada,Colorado State,0,0,401415233,4014152331,1,4,1,"{'minutes': 14, 'seconds': 0}",3,3,72,72,3,2,False,-1,Rush,Avery Morrow run for a loss of 1 yard to the ColSt 27,-0.53753878481125028,2022-10-08T02:47:23.000Z,6,Nevada,2022
401415233101869901,Colorado State,Mountain West,Nevada,Mountain West,Nevada,Colorado State,0,0,401415233,4014152331,1,5,1,"{'minutes': 13, 'seconds': 0}",3,3,73,73,4,3,False,-2,Punt,"Paddy Turner punt for 50 yds , Bentlee Sanders returns for a loss of 2 yards to the Nevad 21",,2022-10-08T02:47:23.000Z,6,Nevada,2022
401415233101876901,Nevada,Mountain West,Colorado State,Mountain West,Nevada,Colorado State,0,0,401415233,4014152332,2,1,1,"{'minutes': 12, 'seconds': 30}",3,3,21,79,1,10,False,7,Pass Reception,Nate Cox pass complete to BJ Casteel for 7 yds to the Nevad 28,0.5413772358558368,2022-10-08T03:30:15.000Z,6,Nevada,2022
401415233101879902,Nevada,Mountain West,Colorado State,Mountain West,Nevada,Colorado State,0,0,401415233,4014152332,2,2,1,"{'minutes': 12, 'seconds': 0}",3,3,28,72,2,3,False,-6,Fumble Recovery (Own),"TEAM run for a loss of 6 yards to the Nevad 22 TEAM fumbled, recovered by Nevad Nate Cox",-1.36010070681276477,2022-10-08T02:49:46.000Z,6,Nevada,2022
401415233101884001,Nevada,Mountain West,Colorado State,Mountain West,Nevada,Colorado State,0,0,401415233,4014152332,2,3,1,"{'minutes': 11, 'seconds': 59}",3,3,22,78,3,9,False,0,Pass Incompletion,Nate Cox pass incomplete to Darion Green-Warren,-0.14741647010293857,2022-10-08T02:51:20.000Z,6,Nevada,2022
401415233101885201,Nevada,Mountain West,Colorado State,Mountain West,Nevada,Colorado State,0,0,401415233,4014152332,2,4,1,"{'minutes': 11, 'seconds': 47}",3,3,22,78,4,9,False,0,Punt,"Matt Freem punt for 47 yds, downed at the ColSt 31",,2022-10-08T02:51:59.000Z,6,Nevada,2022
401415233101885202,Colorado State,Mountain West,Nevada,Mountain West,Nevada,Colorado State,0,0,401415233,4014152333,3,1,1,"{'minutes': 11, 'seconds': 47}",3,3,69,69,1,10,False,-5,Penalty,"COLORADO ST Penalty, False Start (Louis Brown) to the ColSt 26",,2022-10-08T02:51:59.000Z,6,Nevada,2022
