id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401409237101849903,New Mexico State,FBS Independents,Hawai'i,Mountain West,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Brett Money kickoff for 65 yds for a touchback,,2022-09-25T00:13:43.000Z,4,New Mexico State,2022
401409237101849904,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,2,1,"{'minutes': 15, 'seconds': 0}",2,3,25,25,1,10,False,0,Timeout,"Timeout HAWAII, clock 15:00",,2022-09-25T00:13:43.000Z,4,New Mexico State,2022
401409237101849906,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,3,1,"{'minutes': 15, 'seconds': 0}",2,3,75,75,1,10,False,24,Pass Reception,Brayden Schager pass complete to James Phillips for 24 yds to the Hawa 49 for a 1ST down,2.1543879158283825,2022-09-25T00:13:43.000Z,4,New Mexico State,2022
401409237101849907,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,4,1,"{'minutes': 15, 'seconds': 0}",2,3,51,51,1,10,False,21,Pass Reception,"Brayden Schager pass complete to Dior Scott for 6 yds to the NEWMEXST 45 for a 1ST down NEW MEXICO ST Penalty, Unsportsmanlike Conduct (Syrus Dumas) to the NMxSt 30 for a 1ST down",1.109124070970168,2022-09-25T00:13:43.000Z,4,New Mexico State,2022
401409237101849908,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,5,1,"{'minutes': 15, 'seconds': 0}",2,3,30,30,1,10,False,5,Rush,Dedrick Parson run for 5 yds to the NMxSt 25,0.077675021178715,2022-09-25T00:13:43.000Z,4,New Mexico State,2022
401409237101849909,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,6,1,"{'minutes': 15, 'seconds': 0}",2,3,25,25,2,5,False,9,Pass Reception,Brayden Schager pass complete to Caleb Phillips for 9 yds to the NMxSt 16 for a 1ST down,0.1678453904516816,2022-09-25T00:13:52.000Z,4,New Mexico State,2022
401409237101849910,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,7,1,"{'minutes': 15, 'seconds': 0}",2,3,16,16,1,10,False,7,Rush,Dedrick Parson run for 7 yds to the NMxSt 9,0.3060293004171264,2022-09-25T00:13:43.000Z,4,New Mexico State,2022
401409237101849911,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,8,1,"{'minutes': 15, 'seconds': 0}",2,3,9,9,2,3,False,4,Rush,Dedrick Parson run for 4 yds to the NMxSt 5 for a 1ST down,0.378912580316374,2022-09-25T00:13:43.000Z,4,New Mexico State,2022
401409237101849913,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,0,0,401409237,4014092371,1,9,1,"{'minutes': 15, 'seconds': 0}",2,3,5,5,1,5,False,4,Rush,Nasjzae Bryant-Lelei run for 4 yds to the NMxSt 1,-0.016571396914132,2022-09-25T00:13:52.000Z,4,New Mexico State,2022
401409237101884401,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,7,0,401409237,4014092371,1,10,1,"{'minutes': 11, 'seconds': 55}",2,3,1,1,2,1,True,1,Rushing Touchdown,"Dedrick Parson run for 1 yd for a TD, (Matthew Shipley KICK)",1.900352237473006,2022-09-25T00:19:19.000Z,4,New Mexico State,2022
401409237101884403,Hawai'i,Mountain West,New Mexico State,FBS Independents,New Mexico State,Hawai'i,7,0,401409237,4014092372,2,1,1,"{'minutes': 11, 'seconds': 55}",2,3,65,65,0,0,False,0,Kickoff,Kyler Halvorsen kickoff for 65 yds for a touchback,,2022-09-25T00:14:27.000Z,4,New Mexico State,2022
