id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401411149101849902,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,0,401411149,4014111491,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,16,Kickoff Return (Offense),"Noah Burnette kickoff for 58 yds , Rodney Hammond Jr. return for 16 yds to the Pitt 23",,2022-10-30T00:05:49.000Z,9,North Carolina,2022
401411149101855401,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,0,0,401411149,4014111491,1,2,1,"{'minutes': 14, 'seconds': 45}",3,3,77,77,1,10,False,6,Pass Reception,Kedon Slovis pass complete to Bub Means for 6 yds to the Pitt 29,0.3156269136367459,2022-10-30T00:07:27.000Z,9,North Carolina,2022
401411149101858301,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,0,0,401411149,4014111491,1,3,1,"{'minutes': 14, 'seconds': 16}",3,3,71,71,2,4,False,0,Pass Incompletion,Kedon Slovis pass incomplete to Vincent Davis,-0.80376429928160505,2022-10-30T00:08:01.000Z,9,North Carolina,2022
401411149101865301,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,0,0,401411149,4014111491,1,4,1,"{'minutes': 13, 'seconds': 46}",3,3,71,71,3,4,False,40,Pass Reception,Kedon Slovis pass complete to Bub Means for 40 yds to the NCaro 31 for a 1ST down,3.85654830976130805,2022-10-30T00:09:00.000Z,9,North Carolina,2022
401411149101867901,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,0,0,401411149,4014111491,1,5,1,"{'minutes': 13, 'seconds': 20}",3,3,31,31,1,10,False,8,Pass Reception,Kedon Slovis pass complete to Jared Wayne for 8 yds to the NCaro 23,0.521143846211366,2022-10-30T00:09:34.000Z,9,North Carolina,2022
401411149101874601,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,0,0,401411149,4014111491,1,6,1,"{'minutes': 12, 'seconds': 53}",3,3,23,23,2,2,False,10,Rush,Israel Abanikanda run for 10 yds to the NCaro 13 for a 1ST down,-0.218126891184265,2022-10-30T00:10:18.000Z,9,North Carolina,2022
401411149101878201,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,0,0,401411149,4014111491,1,7,1,"{'minutes': 12, 'seconds': 17}",3,3,13,13,1,10,False,0,Pass Incompletion,Kedon Slovis pass incomplete,-0.3048472994988835,2022-10-30T00:10:32.000Z,9,North Carolina,2022
401411149101879001,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,0,0,401411149,4014111491,1,8,1,"{'minutes': 12, 'seconds': 9}",3,3,13,13,2,10,False,7,Rush,Israel Abanikanda run for 7 yds to the NCaro 6,0.1854023023629455,2022-10-30T00:11:30.000Z,9,North Carolina,2022
401411149101886901,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,7,0,401411149,4014111491,1,9,1,"{'minutes': 11, 'seconds': 30}",3,3,6,6,3,3,True,6,Rushing Touchdown,"Israel Abanikanda run for 6 yds for a TD, (Ben Sauls KICK)",2.658374212181785,2022-10-30T00:12:12.000Z,9,North Carolina,2022
401411149101886903,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,7,0,401411149,4014111492,2,1,1,"{'minutes': 11, 'seconds': 30}",3,3,65,65,3,3,False,0,Kickoff,Ben Sauls kickoff for 65 yds for a touchback,,2022-10-30T00:12:12.000Z,9,North Carolina,2022
401411149101887701,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111492,2,2,1,"{'minutes': 11, 'seconds': 22}",3,3,25,75,1,10,False,8,Pass Reception,Drake Maye pass complete to Kamari Morales for 8 yds to the NCaro 33,0.9104368550610653,2022-10-30T00:16:31.000Z,9,North Carolina,2022
401411149101889401,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111492,2,3,1,"{'minutes': 11, 'seconds': 5}",3,3,33,67,2,2,False,-3,Rush,Caleb Hood run for a loss of 3 yards to the NCaro 30,-1.56962421059349125,2022-10-30T00:16:55.000Z,9,North Carolina,2022
401411149101896901,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111492,2,4,1,"{'minutes': 10, 'seconds': 30}",3,3,30,70,3,5,False,3,Rush,Drake Maye run for 3 yds to the NCaro 33,-0.16171449534916516,2022-10-30T00:17:19.000Z,9,North Carolina,2022
401411149101905001,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111492,2,5,1,"{'minutes': 9, 'seconds': 49}",3,3,33,67,4,2,False,-11,Punt,"Ben Kiernan punt for 50 yds , M.J. Devonshire returns for a loss of 11 yards to the Pitt 6",,2022-10-30T00:18:37.000Z,9,North Carolina,2022
401411149101905601,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,7,0,401411149,4014111493,3,1,1,"{'minutes': 9, 'seconds': 43}",3,3,94,94,1,10,False,0,Pass Incompletion,Kedon Slovis pass incomplete,-0.29359372912942039,2022-10-30T00:19:05.000Z,9,North Carolina,2022
401411149101906201,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,7,0,401411149,4014111493,3,2,1,"{'minutes': 9, 'seconds': 37}",3,3,94,94,2,10,False,0,Pass Incompletion,Kedon Slovis pass incomplete to Jared Wayne,-0.12631352682354978,2022-10-30T00:19:39.000Z,9,North Carolina,2022
401411149101907501,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,7,0,401411149,4014111493,3,3,1,"{'minutes': 9, 'seconds': 24}",3,3,94,94,3,10,False,8,Pass Reception,Kedon Slovis pass complete to Konata Mumpfield for 8 yds to the Pitt 14,0.09505971583889038,2022-10-30T00:20:42.000Z,9,North Carolina,2022
401411149101914601,Pittsburgh,ACC,North Carolina,ACC,North Carolina,Pittsburgh,7,0,401411149,4014111493,3,4,1,"{'minutes': 8, 'seconds': 53}",3,3,86,86,4,2,False,0,Punt,"Cam Guess punt for 45 yds, fair catch by Josh Downs at the NCaro 41",,2022-10-30T00:21:51.000Z,9,North Carolina,2022
401411149101915901,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111494,4,1,1,"{'minutes': 8, 'seconds': 40}",3,3,41,59,1,10,False,3,Pass Reception,Drake Maye pass complete to Caleb Hood for 3 yds to the NCaro 44,-0.4327220980688242,2022-10-30T00:24:19.000Z,9,North Carolina,2022
401411149101919901,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111494,4,2,1,"{'minutes': 8, 'seconds': 0}",3,3,44,56,2,7,False,7,Rush,Elijah Green run for 7 yds to the Pitt 49 for a 1ST down,1.3294038962300032,2022-10-30T00:24:59.000Z,9,North Carolina,2022
401411149101925401,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111494,4,3,1,"{'minutes': 7, 'seconds': 45}",3,3,51,49,1,10,False,8,Pass Reception,Drake Maye pass complete to Antoine Green for 8 yds to the Pitt 41,0.8169103744621043,2022-10-30T00:25:24.000Z,9,North Carolina,2022
401411149101927001,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111494,4,4,1,"{'minutes': 7, 'seconds': 29}",3,3,59,41,2,2,False,6,Pass Reception,Drake Maye pass complete to John Copenhaver for 6 yds to the Pitt 35 for a 1ST down,-0.027168606601812,2022-10-30T00:25:40.000Z,9,North Carolina,2022
401411149101934101,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111494,4,5,1,"{'minutes': 6, 'seconds': 58}",3,3,65,35,1,10,False,15,Penalty,"PITTSBURGH Penalty, Defensive Pass Interference (15 Yards) to the Pitt 20 for a 1ST down",,2022-10-30T00:27:08.000Z,9,North Carolina,2022
401411149101934501,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111494,4,6,1,"{'minutes': 6, 'seconds': 54}",3,3,80,20,1,10,False,8,Pass Reception,Drake Maye pass complete to John Copenhaver for 8 yds to the Pitt 12,0.458030162847379,2022-10-30T00:27:13.000Z,9,North Carolina,2022
401411149101937601,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111494,4,7,1,"{'minutes': 6, 'seconds': 23}",3,3,88,12,2,2,False,1,Pass Reception,Drake Maye pass complete to Elijah Green for 1 yd to the Pitt 11,-0.409704629358648,2022-10-30T00:27:42.000Z,9,North Carolina,2022
401411149101939901,North Carolina,ACC,Pittsburgh,ACC,North Carolina,Pittsburgh,0,7,401411149,4014111494,4,8,1,"{'minutes': 6, 'seconds': 0}",3,3,89,11,3,1,False,0,Rush,Elijah Green run for no gain to the Pitt 11,-0.4283212444386335,2022-10-30T00:28:17.000Z,9,North Carolina,2022
