id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401416634101849903,Central Michigan,Mid-American,Northern Illinois,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166341,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Josh Rolston kickoff for 49 yds,,2022-11-02T23:04:21.000Z,10,Northern Illinois,2022
401416634101849906,Northern Illinois,Mid-American,Central Michigan,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166341,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,5,Rush,Harrison Waylee run for 5 yds to the NoIll 40,0.1088137823196469,2022-11-02T23:04:21.000Z,10,Northern Illinois,2022
401416634101849907,Northern Illinois,Mid-American,Central Michigan,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166341,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,40,60,2,5,False,3,Rush,Harrison Waylee run for 3 yds to the NoIll 43,-0.4223723470917964,2022-11-02T23:04:21.000Z,10,Northern Illinois,2022
401416634101849908,Northern Illinois,Mid-American,Central Michigan,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166341,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,43,57,3,2,False,1,Rush,Justin Lynch run for 1 yd to the NoIll 44,-0.7552511986427355,2022-11-02T23:04:21.000Z,10,Northern Illinois,2022
401416634101869601,Northern Illinois,Mid-American,Central Michigan,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166341,1,5,1,"{'minutes': 13, 'seconds': 3}",3,3,44,56,4,1,False,1,Rush,Antario Brown run for 1 yd to the NoIll 43,2.0349135367898548,2022-11-02T23:06:43.000Z,10,Northern Illinois,2022
401416634101869603,Central Michigan,Mid-American,Northern Illinois,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166342,2,1,1,"{'minutes': 13, 'seconds': 3}",3,3,43,43,1,10,False,5,Pass Reception,Daniel Richardson pass complete to Joel Wilson for 5 yds to the NoIll 38,0.0913907244107932,2022-11-02T23:06:43.000Z,10,Northern Illinois,2022
401416634101869604,Central Michigan,Mid-American,Northern Illinois,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166342,2,2,1,"{'minutes': 13, 'seconds': 3}",3,3,38,38,2,5,False,6,Pass Reception,Daniel Richardson pass complete to Chris Parker for 6 yds to the NoIll 32 for a 1ST down,0.3894599379310986,2022-11-02T23:06:43.000Z,10,Northern Illinois,2022
401416634101869605,Central Michigan,Mid-American,Northern Illinois,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166342,2,3,1,"{'minutes': 13, 'seconds': 3}",3,3,32,32,1,10,False,10,Rush,Jase Bauer run for 10 yds to the NoIll 22 for a 1ST down,0.2238966589405024,2022-11-02T23:06:43.000Z,10,Northern Illinois,2022
401416634101869606,Central Michigan,Mid-American,Northern Illinois,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166342,2,4,1,"{'minutes': 13, 'seconds': 3}",3,3,22,22,1,10,False,5,Rush,Lew Nichols III run for 5 yds to the NoIll 17,0.074636067054974,2022-11-02T23:06:59.000Z,10,Northern Illinois,2022
401416634101869607,Central Michigan,Mid-American,Northern Illinois,Mid-American,Northern Illinois,Central Michigan,0,0,401416634,4014166342,2,5,1,"{'minutes': 13, 'seconds': 3}",3,3,17,17,2,5,False,11,Rush,Jase Bauer run for 11 yds to the NoIll 6 for a 1ST down,0.520496928528209,2022-11-02T23:06:43.000Z,10,Northern Illinois,2022
