id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401405083101849904,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,0,Rush,Romeir Elliott run for no gain to the SoIll 25,-0.70297002204365193,2022-09-17T16:01:49.000Z,3,Northwestern,2022
401405083101877402,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,2,1,"{'minutes': 12, 'seconds': 25}",3,3,75,75,2,10,False,6,Pass Reception,Nic Baker pass complete to Bryce Miller for 6 yds to the SoIll 31,0.16823773848787483,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101877403,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,3,1,"{'minutes': 12, 'seconds': 25}",3,3,69,69,3,4,False,8,Pass Reception,Nic Baker pass complete to Zach Gibson for 8 yds to the SoIll 39 for a 1ST down,1.7574713668122326,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101877404,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,4,1,"{'minutes': 12, 'seconds': 25}",3,3,61,61,1,10,False,-1,Pass Reception,Nic Baker pass complete to Romeir Elliott for a loss of 1 yard to the SoIll 38,-1.2959010674243847,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101877405,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,5,1,"{'minutes': 12, 'seconds': 25}",3,3,62,62,2,11,False,2,Pass Reception,Nic Baker pass complete to Romeir Elliott for 2 yds to the SoIll 40,-0.4158703223444196,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101877406,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,6,1,"{'minutes': 12, 'seconds': 25}",3,3,60,60,3,9,False,-3,Sack,Nic Baker sacked by Aidan Hubbard for a loss of 3 yards to the SoIll 37,-0.60593634363965697,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101877408,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,7,1,"{'minutes': 12, 'seconds': 25}",3,3,63,63,4,12,False,0,Punt,"Nathan Torney punt for 31 yds, downed at the Nwest 32",,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101877414,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,8,1,"{'minutes': 12, 'seconds': 25}",3,3,75,75,1,10,False,0,Rush,Romeir Elliott run for no gain to the SoIll 25,-0.70297002204365193,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101877416,Southern Illinois,MVFC,Northwestern,Big Ten,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,9,1,"{'minutes': 12, 'seconds': 25}",3,3,63,63,4,12,False,0,Punt,"Nathan Torney punt for 31 yds, downed at the Nwest 32",,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101877427,Northwestern,Big Ten,Southern Illinois,MVFC,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,10,1,"{'minutes': 12, 'seconds': 25}",3,3,35,65,0,0,False,0,Kickoff,Adam Stage kickoff for 65 yds for a touchback,,2022-09-17T16:03:52.000Z,3,Northwestern,2022
401405083101979101,Northwestern,Big Ten,Southern Illinois,MVFC,Northwestern,Southern Illinois,0,0,401405083,4014050831,1,11,1,"{'minutes': 2, 'seconds': 8}",3,3,35,65,1,10,False,16,Kickoff,"Adam Stage kickoff for 65 yds , Javon Williams Jr. return for 16 yds to the SoIll 16",,2022-09-17T16:34:13.000Z,3,Northwestern,2022
