id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401405119101854401,Ohio State,Big Ten,Iowa,Big Ten,Ohio State,Iowa,0,0,401405119,4014051191,1,1,1,"{'minutes': 14, 'seconds': 55}",3,3,35,65,1,10,False,17,Kickoff Return (Offense),"Jayden Fielding kickoff for 65 yds , Kaleb Johnson return for 17 yds to the OHIOST 48 OHIO ST Penalty, UNS: Unsportsmanlike Conduct (-15 Yards) to the Iowa 32",,2022-10-22T16:07:26.000Z,8,Ohio State,2022
401405119101855301,Iowa,Big Ten,Ohio State,Big Ten,Ohio State,Iowa,0,0,401405119,4014051191,1,2,1,"{'minutes': 14, 'seconds': 46}",3,3,68,68,1,10,False,0,Interception,Spencer Petras pass intercepted,-1.4806892843581405,2022-10-22T16:08:41.000Z,8,Ohio State,2022
401405119101855303,Ohio State,Big Ten,Iowa,Big Ten,Ohio State,Iowa,0,0,401405119,4014051192,2,1,1,"{'minutes': 14, 'seconds': 46}",3,3,71,29,1,10,False,1,Rush,TreVeyon Henderson run for 1 yd to the Iowa 28,-0.4070770134362323,2022-10-22T16:08:41.000Z,8,Ohio State,2022
401405119101855304,Ohio State,Big Ten,Iowa,Big Ten,Ohio State,Iowa,0,0,401405119,4014051192,2,2,1,"{'minutes': 14, 'seconds': 46}",3,3,72,28,2,9,False,0,Pass Incompletion,C.J. Stroud pass incomplete to Emeka Egbuka,-0.6814576725824767,2022-10-22T16:08:41.000Z,8,Ohio State,2022
401405119101855305,Ohio State,Big Ten,Iowa,Big Ten,Ohio State,Iowa,0,0,401405119,4014051192,2,3,1,"{'minutes': 14, 'seconds': 46}",3,3,72,28,3,9,False,0,Pass Incompletion,C.J. Stroud pass incomplete to Emeka Egbuka,-0.9349809031928374,2022-10-22T16:08:41.000Z,8,Ohio State,2022
401405119101859701,Ohio State,Big Ten,Iowa,Big Ten,Ohio State,Iowa,3,0,401405119,4014051192,2,4,1,"{'minutes': 14, 'seconds': 2}",3,3,72,28,4,9,True,46,Field Goal Good,Noah Ruggles 46 yd FG GOOD,,2022-10-22T16:11:18.000Z,8,Ohio State,2022
401405119101859702,Ohio State,Big Ten,Iowa,Big Ten,Ohio State,Iowa,3,0,401405119,4014051193,3,1,1,"{'minutes': 14, 'seconds': 2}",3,3,35,65,1,10,False,0,Kickoff,Jayden Fielding kickoff for 65 yds for a touchback,,2022-10-22T16:11:18.000Z,8,Ohio State,2022
401405119101859704,Iowa,Big Ten,Ohio State,Big Ten,Ohio State,Iowa,0,3,401405119,4014051193,3,2,1,"{'minutes': 14, 'seconds': 2}",3,3,75,75,1,10,False,0,Pass Incompletion,Spencer Petras pass incomplete to Nico Ragaini,-0.70297002204365193,2022-10-22T16:11:18.000Z,8,Ohio State,2022
401405119101859705,Iowa,Big Ten,Ohio State,Big Ten,Ohio State,Iowa,0,3,401405119,4014051193,3,3,1,"{'minutes': 14, 'seconds': 2}",3,3,75,75,2,10,False,3,Rush,Kaleb Johnson run for 3 yds to the Iowa 28,-0.15222912011238687,2022-10-22T16:11:18.000Z,8,Ohio State,2022
401405119101859706,Iowa,Big Ten,Ohio State,Big Ten,Ohio State,Iowa,0,3,401405119,4014051193,3,4,1,"{'minutes': 14, 'seconds': 2}",3,3,72,72,3,7,False,0,Pass Incompletion,Spencer Petras pass incomplete to Sam LaPorta,-0.26587881160037785,2022-10-22T16:16:06.000Z,8,Ohio State,2022
