id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404095101849902,Oklahoma State,Big 12,TCU,Big 12,TCU,Oklahoma State,0,0,401404095,4014040951,1,1,1,"{'minutes': 15, 'seconds': 0}",3.0,3.0,65,65,1,10,False,0,Kickoff,Logan Ward kickoff for 65 yds for a touchback,,2022-10-15T19:36:36.000Z,7,Oklahoma State,2022
401404095101855401,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,0,401404095,4014040951,1,2,1,"{'minutes': 14, 'seconds': 45}",3.0,3.0,25,75,1,10,False,2,Pass Reception,Max Duggan pass complete to Derius Davis for 2 yds to the TCU 27,-0.45260367932203764,2022-10-15T19:37:59.000Z,7,Oklahoma State,2022
401404095101859901,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,0,401404095,4014040951,1,3,1,"{'minutes': 14, 'seconds': 0}",3.0,3.0,27,73,2,8,False,3,Rush,Max Duggan run for 3 yds to the TCU 30,-0.20658367621038831,2022-10-15T19:38:11.000Z,7,Oklahoma State,2022
401404095101865501,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,0,401404095,4014040951,1,4,1,"{'minutes': 13, 'seconds': 44}",3.0,3.0,30,70,3,5,False,4,Pass Reception,Max Duggan pass complete to Derius Davis for 4 yds to the TCU 34,-0.06449296258092385,2022-10-15T19:38:28.000Z,7,Oklahoma State,2022
401404095101868701,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,0,401404095,4014040951,1,5,1,"{'minutes': 13, 'seconds': 12}",3.0,3.0,34,66,4,1,False,-5,Penalty,"TCU Penalty, Delay of Game (-5 Yards) to the TCU 29",,2022-10-15T19:39:10.000Z,7,Oklahoma State,2022
401404095101874201,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,0,401404095,4014040951,1,6,1,"{'minutes': 12, 'seconds': 57}",3.0,3.0,29,71,4,6,False,0,Punt,"Jordy Sandy punt for 44 yds, fair catch by Brennan Presley at the OKSt 27",,2022-10-15T19:40:28.000Z,7,Oklahoma State,2022
401404095101875101,Oklahoma State,Big 12,TCU,Big 12,TCU,Oklahoma State,0,0,401404095,4014040952,2,1,1,"{'minutes': 12, 'seconds': 48}",3.0,3.0,73,73,1,10,False,0,Pass Incompletion,Spencer Sanders pass incomplete to Braydon Johnson,-0.76604703567364395,2022-10-15T19:40:58.000Z,7,Oklahoma State,2022
401404095101876901,Oklahoma State,Big 12,TCU,Big 12,TCU,Oklahoma State,0,0,401404095,4014040952,2,2,1,"{'minutes': 12, 'seconds': 30}",3.0,3.0,73,73,2,10,False,8,Pass Reception,Spencer Sanders pass complete to Brennan Presley for 8 yds to the OKSt 35,0.52531872394860365,2022-10-15T19:41:36.000Z,7,Oklahoma State,2022
401404095101879901,Oklahoma State,Big 12,TCU,Big 12,TCU,Oklahoma State,0,0,401404095,4014040952,2,3,1,"{'minutes': 12, 'seconds': 0}",3.0,3.0,65,65,3,2,False,7,Rush,Dominic Richardson run for 7 yds to the OKSt 42 for a 1ST down,1.6117405339076614,2022-10-15T19:42:06.000Z,7,Oklahoma State,2022
401404095101888401,Oklahoma State,Big 12,TCU,Big 12,TCU,Oklahoma State,0,0,401404095,4014040952,2,4,1,"{'minutes': 11, 'seconds': 15}",3.0,3.0,58,58,1,10,False,38,Pass Reception,Spencer Sanders pass complete to Braden Cassity for 38 yds to the TCU 20 for a 1ST down,1.9437754830076165,2022-10-15T19:42:36.000Z,7,Oklahoma State,2022
401404095101889901,Oklahoma State,Big 12,TCU,Big 12,TCU,Oklahoma State,0,0,401404095,4014040952,2,5,1,"{'minutes': 11, 'seconds': 0}",3.0,3.0,20,20,1,10,False,-9,Fumble Recovery (Own),"TEAM run for a loss of 9 yards to the TCU 29 TEAM fumbled, recovered by OKSt Spencer Sanders",-1.480738766187459,2022-10-15T19:43:54.000Z,7,Oklahoma State,2022
401404095101897405,Oklahoma State,Big 12,TCU,Big 12,TCU,Oklahoma State,7,0,401404095,4014040952,2,6,1,"{'minutes': 10, 'seconds': 25}",3.0,3.0,29,29,2,19,True,29,Rushing Touchdown,Spencer Sanders 29 Yd Run (Tanner Brown Kick),4.098666495219158,2022-10-15T19:48:20.000Z,7,Oklahoma State,2022
401404095101897404,Oklahoma State,Big 12,TCU,Big 12,TCU,Oklahoma State,7,0,401404095,4014040953,3,1,1,"{'minutes': 10, 'seconds': 25}",3.0,3.0,65,65,2,12,False,17,Kickoff Return (Offense),"Logan Ward kickoff for 65 yds , Derius Davis return for 17 yds to the TCU 17",,2022-10-15T19:48:20.000Z,7,Oklahoma State,2022
401404095101899901,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,7,401404095,4014040953,3,2,1,"{'minutes': 10, 'seconds': 0}",3.0,3.0,17,83,1,10,False,10,Rush,Kendre Miller run for 10 yds to the TCU 27 for a 1ST down,0.6024671483297208,2022-10-15T19:48:38.000Z,7,Oklahoma State,2022
401404095101906301,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,7,401404095,4014040953,3,3,1,"{'minutes': 9, 'seconds': 36}",3.0,3.0,27,73,1,10,False,15,Pass Reception,Max Duggan pass complete to Taye Barber for 15 yds to the TCU 42 for a 1ST down,1.3710122221826211,2022-10-15T19:49:07.000Z,7,Oklahoma State,2022
401404095101909401,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,7,401404095,4014040953,3,4,1,"{'minutes': 9, 'seconds': 5}",3.0,3.0,42,58,1,10,False,3,Pass Reception,Max Duggan pass complete to Derius Davis for 3 yds to the TCU 45,-0.4325374473860535,2022-10-15T19:49:37.000Z,7,Oklahoma State,2022
401404095101917601,TCU,Big 12,Oklahoma State,Big 12,TCU,Oklahoma State,0,7,401404095,4014040953,3,5,1,"{'minutes': 8, 'seconds': 23}",3.0,3.0,45,55,2,7,False,2,Rush,Max Duggan run for 2 yds to the TCU 47,-0.6477867781075837,2022-10-15T19:50:42.000Z,7,Oklahoma State,2022
