id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404020101849907,Oregon State,Pac-12,Colorado,Pac-12,Oregon State,Colorado,0,0,401404020,4014040201,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Atticus Sappington kickoff for 65 yds for a touchback,,2022-10-23T00:08:35.000Z,8,Oregon State,2022
401404020101849910,Colorado,Pac-12,Oregon State,Pac-12,Oregon State,Colorado,0,0,401404020,4014040201,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,-2,Rush,Anthony Hankerson run for a loss of 2 yards to the Colo 23,-0.8852575132705454,2022-10-23T00:12:10.000Z,8,Oregon State,2022
401404020101849913,Colorado,Pac-12,Oregon State,Pac-12,Oregon State,Colorado,0,0,401404020,4014040201,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,77,77,2,12,False,4,Rush,Anthony Hankerson run for 4 yds to the Colo 27,-0.046153682188121438,2022-10-23T00:12:10.000Z,8,Oregon State,2022
401404020101849915,Colorado,Pac-12,Oregon State,Pac-12,Oregon State,Colorado,0,0,401404020,4014040201,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,73,73,3,8,False,0,Pass Incompletion,J.T. Shrout pass incomplete,-0.224210286453998542,2022-10-23T00:12:10.000Z,8,Oregon State,2022
401404020101866801,Colorado,Pac-12,Oregon State,Pac-12,Oregon State,Colorado,0,0,401404020,4014040201,1,5,1,"{'minutes': 13, 'seconds': 31}",3,3,73,73,4,8,False,23,Punt,"Trent Carrizosa punt for 43 yds , Anthony Gould returns for 23 yds to the Colo 47",,2022-10-23T00:14:47.000Z,8,Oregon State,2022
401404020101867301,Oregon State,Pac-12,Colorado,Pac-12,Oregon State,Colorado,0,0,401404020,4014040202,2,1,1,"{'minutes': 13, 'seconds': 26}",3,3,53,47,1,10,False,-7,Fumble Recovery (Opponent),"run for a loss of 7 yards to the OrgSt 46 Ben Gulbranson fumbled, recovered by Colo Terrance Lang",,2022-10-23T00:15:38.000Z,8,Oregon State,2022
401404020101867303,Colorado,Pac-12,Oregon State,Pac-12,Oregon State,Colorado,0,0,401404020,4014040203,3,1,1,"{'minutes': 13, 'seconds': 26}",3,3,46,46,1,10,False,0,Pass Incompletion,J.T. Shrout pass incomplete,-1.0250974847844603,2022-10-23T00:15:38.000Z,8,Oregon State,2022
401404020101867304,Colorado,Pac-12,Oregon State,Pac-12,Oregon State,Colorado,0,0,401404020,4014040203,3,2,1,"{'minutes': 13, 'seconds': 26}",3,3,46,46,2,10,False,0,Pass Incompletion,J.T. Shrout pass incomplete,-1.0652839330421226,2022-10-23T00:15:38.000Z,8,Oregon State,2022
401404020101869101,Colorado,Pac-12,Oregon State,Pac-12,Oregon State,Colorado,0,0,401404020,4014040203,3,3,1,"{'minutes': 13, 'seconds': 8}",3,3,46,46,3,10,False,-2,Fumble Recovery (Opponent),"Anthony Hankerson run for a loss of 2 yards to the Colo 40 Anthony Hankerson fumbled, recovered by OrgSt Rejzohn Wright",,2022-10-23T00:21:23.000Z,8,Oregon State,2022
401404020101869103,Oregon State,Pac-12,Colorado,Pac-12,Oregon State,Colorado,0,0,401404020,4014040204,4,1,1,"{'minutes': 13, 'seconds': 8}",3,3,60,40,1,10,False,0,Pass Incompletion,Ben Gulbranson pass incomplete,-0.8457687366186874,2022-10-23T00:18:48.000Z,8,Oregon State,2022
