id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415647101849903,Tulsa,American Athletic,SMU,American Athletic,Tulsa,SMU,0,0,401415647,4014156471,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Tyler Tipton kickoff for 65 yds for a touchback,,2022-10-29T19:33:01.000Z,9,SMU,2022
401415647101855101,SMU,American Athletic,Tulsa,American Athletic,Tulsa,SMU,7,0,401415647,4014156471,1,2,1,"{'minutes': 14, 'seconds': 48}",3,3,75,75,1,10,True,75,Passing Touchdown,"Preston Stone pass complete to Rashee Rice for 75 yds for a TD, (Collin Rogers KICK)",6.0777551197213215,2022-10-29T19:33:52.000Z,9,SMU,2022
401415647101855701,SMU,American Athletic,Tulsa,American Athletic,Tulsa,SMU,7,0,401415647,4014156472,2,1,1,"{'minutes': 14, 'seconds': 42}",3,3,65,65,1,10,False,19,Kickoff,"Brendan Hall kickoff for 61 yds , Kamdyn Benjamin return for 19 yds to the Tulsa 23",,2022-10-29T19:38:35.000Z,9,SMU,2022
401415647101855703,Tulsa,American Athletic,SMU,American Athletic,Tulsa,SMU,0,7,401415647,4014156472,2,2,1,"{'minutes': 14, 'seconds': 42}",3,3,23,77,1,10,False,0,Pass Incompletion,Davis Brin pass incomplete to Keylon Stokes,-0.64253058711277506,2022-10-29T19:38:35.000Z,9,SMU,2022
401415647101855704,Tulsa,American Athletic,SMU,American Athletic,Tulsa,SMU,0,7,401415647,4014156472,2,3,1,"{'minutes': 14, 'seconds': 42}",3,3,23,77,2,10,False,0,Pass Incompletion,Davis Brin pass incomplete to Keylon Stokes,-0.30950338122914456,2022-10-29T19:38:35.000Z,9,SMU,2022
401415647101855705,Tulsa,American Athletic,SMU,American Athletic,Tulsa,SMU,0,7,401415647,4014156472,2,4,1,"{'minutes': 14, 'seconds': 42}",3,3,23,77,3,10,False,-10,Penalty,"No Huddle-Shotgun Brin,Davis pass complete deep middle to Jones,Malachai for 17 yards to the TLS40 (Crossley,Brandon) PENALTY TLS Holding 10 yards from TLS23 to TLS13. NO PLAY.",,2022-10-29T19:38:35.000Z,9,SMU,2022
401415647101855706,Tulsa,American Athletic,SMU,American Athletic,Tulsa,SMU,0,7,401415647,4014156472,2,5,1,"{'minutes': 14, 'seconds': 42}",3,3,13,87,3,20,False,-8,Sack,Davis Brin sacked by Isaac Slade-Matautia for a loss of 8 yards to the Tulsa 5,-0.0368776997297875,2022-10-29T19:38:35.000Z,9,SMU,2022
401415647101855707,Tulsa,American Athletic,SMU,American Athletic,Tulsa,SMU,0,7,401415647,4014156472,2,6,1,"{'minutes': 14, 'seconds': 42}",3,3,13,87,3,20,False,-8,Sack,Davis Brin sacked by Isaac Slade-Matautia for a loss of 8 yards to the Tulsa 5,-0.0368776997297875,2022-10-29T19:38:35.000Z,9,SMU,2022
401415647101868201,Tulsa,American Athletic,SMU,American Athletic,Tulsa,SMU,0,7,401415647,4014156472,2,7,1,"{'minutes': 13, 'seconds': 17}",3,3,5,95,4,28,False,0,Punt,Lachlan Wilson punt for 48 yds,,2022-10-29T19:39:27.000Z,9,SMU,2022
401415647101868203,SMU,American Athletic,Tulsa,American Athletic,Tulsa,SMU,7,0,401415647,4014156473,3,1,1,"{'minutes': 13, 'seconds': 17}",3,3,53,53,1,10,False,2,Rush,Camar Wheaton run for 2 yds to the SMU 49,-0.6653184217084503,2022-10-29T19:39:27.000Z,9,SMU,2022
