id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401403912101849902,South Carolina,SEC,Kentucky,SEC,Kentucky,South Carolina,0,0,401403912,4014039121,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,0,Kickoff,Mitch Jeter kickoff for 65 yds for a touchback,,2022-10-08T23:39:15.000Z,6,South Carolina,2022
401403912101854801,Kentucky,SEC,South Carolina,SEC,Kentucky,South Carolina,0,0,401403912,4014039121,1,2,1,"{'minutes': 14, 'seconds': 51}",3,3,25,75,1,10,False,15,Fumble Recovery (Opponent),"Chris Rodriguez Jr. run for a loss of 8 yards to the Kent 2 Chris Rodriguez Jr. fumbled, forced by David Spaulding, recovered by SCaro Tonka Hemingway  , return for 15 yds to the Kent 2",,2022-10-08T23:41:41.000Z,6,South Carolina,2022
401403912101855201,South Carolina,SEC,Kentucky,SEC,Kentucky,South Carolina,7,0,401403912,4014039122,2,1,1,"{'minutes': 14, 'seconds': 47}",3,3,2,2,1,2,True,2,Rushing Touchdown,"MarShawn Lloyd run for 2 yds for a TD, (Mitch Jeter KICK)",1.213235297672098,2022-10-08T23:42:36.000Z,6,South Carolina,2022
401403912101855203,South Carolina,SEC,Kentucky,SEC,Kentucky,South Carolina,7,0,401403912,4014039123,3,1,1,"{'minutes': 14, 'seconds': 47}",3,3,65,65,1,10,False,0,Kickoff,Mitch Jeter kickoff for 65 yds for a touchback,,2022-10-08T23:42:36.000Z,6,South Carolina,2022
401403912101856501,Kentucky,SEC,South Carolina,SEC,Kentucky,South Carolina,0,7,401403912,4014039123,3,2,1,"{'minutes': 14, 'seconds': 34}",3,3,25,75,1,10,False,8,Rush,Chris Rodriguez Jr. run for 8 yds to the Kent 33,0.9104368550610653,2022-10-08T23:43:54.000Z,6,South Carolina,2022
401403912101864301,Kentucky,SEC,South Carolina,SEC,Kentucky,South Carolina,0,7,401403912,4014039123,3,3,1,"{'minutes': 13, 'seconds': 56}",3,3,33,67,2,2,False,3,Rush,Chris Rodriguez Jr. run for 3 yds to the Kent 36 for a 1ST down,0.0201256568849252,2022-10-08T23:44:35.000Z,6,South Carolina,2022
401403912101867601,Kentucky,SEC,South Carolina,SEC,Kentucky,South Carolina,0,7,401403912,4014039123,3,4,1,"{'minutes': 13, 'seconds': 23}",3,3,36,64,1,10,False,0,Pass Incompletion,Kaiya Sheron pass incomplete to Dane Key,-1.0411553203440639,2022-10-08T23:45:16.000Z,6,South Carolina,2022
401403912101869901,Kentucky,SEC,South Carolina,SEC,Kentucky,South Carolina,0,7,401403912,4014039123,3,5,1,"{'minutes': 13, 'seconds': 0}",3,3,36,64,2,10,False,-3,Sack,Kaiya Sheron sacked by Jordan Burch for a loss of 3 yards to the Kent 33,-0.862383144598587706,2022-10-08T23:46:14.000Z,6,South Carolina,2022
401403912101877501,Kentucky,SEC,South Carolina,SEC,Kentucky,South Carolina,0,7,401403912,4014039123,3,6,1,"{'minutes': 12, 'seconds': 24}",3,3,33,67,3,13,False,8,Rush,JuTahn McClain run for 8 yds to the Kent 41,0.261294105463607986,2022-10-08T23:46:58.000Z,6,South Carolina,2022
401403912101886001,Kentucky,SEC,South Carolina,SEC,Kentucky,South Carolina,0,7,401403912,4014039123,3,7,1,"{'minutes': 11, 'seconds': 39}",3,3,41,59,4,5,False,18,Punt,"Colin Goodfellow punt for 39 yds , Josh Vann returns for 18 yds to the SCaro 38",,2022-10-08T23:47:46.000Z,6,South Carolina,2022
401403912101886002,South Carolina,SEC,Kentucky,SEC,Kentucky,South Carolina,7,0,401403912,4014039124,4,1,1,"{'minutes': 11, 'seconds': 39}",3,3,62,62,1,10,False,-5,Penalty,"SOUTH CAROLINA Penalty, False Start (Eric Douglas) to the SCaro 33",,2022-10-08T23:47:46.000Z,6,South Carolina,2022
401403912101886003,South Carolina,SEC,Kentucky,SEC,Kentucky,South Carolina,7,0,401403912,4014039124,4,2,1,"{'minutes': 11, 'seconds': 39}",3,3,67,67,1,15,False,-5,Penalty,"SOUTH CAROLINA Penalty, False Start (Eric Douglas) to the SCaro 28",,2022-10-08T23:47:46.000Z,6,South Carolina,2022
401403912101887501,South Carolina,SEC,Kentucky,SEC,Kentucky,South Carolina,7,0,401403912,4014039124,4,3,1,"{'minutes': 11, 'seconds': 24}",3,3,72,72,1,20,False,7,Rush,MarShawn Lloyd run for 7 yds to the SCaro 35,0.26394572156012508,2022-10-08T23:49:45.000Z,6,South Carolina,2022
401403912101889001,South Carolina,SEC,Kentucky,SEC,Kentucky,South Carolina,7,0,401403912,4014039124,4,4,1,"{'minutes': 11, 'seconds': 9}",3,3,65,65,2,13,False,3,Rush,MarShawn Lloyd run for 3 yds to the SCaro 38,-0.20672319983890566,2022-10-08T23:50:02.000Z,6,South Carolina,2022
