id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401426358101854401,Southern Mississippi,Sun Belt,Texas State,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263581,1,1,1,"{'minutes': 14, 'seconds': 55}",3,3,65,65,1,10,False,24,Kickoff,"Briggs Bourgeois kickoff for 64 yds , Donnovan Moorer return for 24 yds to the TexSt 25",,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101854403,Texas State,Sun Belt,Southern Mississippi,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263581,1,2,1,"{'minutes': 14, 'seconds': 55}",3,3,25,75,1,10,False,4,Pass Reception,Layne Hatcher pass complete to Lincoln Pare for 4 yds to the TexSt 21,-0.1142886249388964,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101854404,Texas State,Sun Belt,Southern Mississippi,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263581,1,3,1,"{'minutes': 14, 'seconds': 55}",3,3,21,79,2,14,False,20,Pass Reception,Layne Hatcher pass complete to Julian Ortega-Jones for 20 yds to the TexSt 41 for a 1ST down,2.43510352202145605,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101854405,Texas State,Sun Belt,Southern Mississippi,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263581,1,4,1,"{'minutes': 14, 'seconds': 55}",3,3,41,59,1,10,False,0,Pass Incompletion,Layne Hatcher pass incomplete to Lincoln Pare,-1.1387859939569847,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101854406,Texas State,Sun Belt,Southern Mississippi,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263581,1,5,1,"{'minutes': 14, 'seconds': 55}",3,3,41,59,2,10,False,0,Pass Incompletion,Layne Hatcher pass incomplete to Charles Brown,-0.7894428348388577,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101854407,Texas State,Sun Belt,Southern Mississippi,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263581,1,6,1,"{'minutes': 14, 'seconds': 55}",3,3,41,59,3,10,False,5,Penalty,"PENALTY USM Offside (Quewon,Dominic) 5 yards from TXST41 to TXST46. NO PLAY.",,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101854408,Texas State,Sun Belt,Southern Mississippi,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263581,1,7,1,"{'minutes': 14, 'seconds': 55}",3,3,46,54,3,5,False,1,Rush,Layne Hatcher run for 1 yd to the TexSt 45,-0.6798978682789763,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101874401,Texas State,Sun Belt,Southern Mississippi,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263581,1,8,1,"{'minutes': 12, 'seconds': 55}",3,3,45,55,4,6,False,0,Punt,"Seamus O'Kelly punt for 32 yds, fair catch by Natrone Brooks at the SoMis 23",,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101874405,Southern Mississippi,Sun Belt,Texas State,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263582,2,1,1,"{'minutes': 12, 'seconds': 55}",3,3,70,70,3,3,False,11,Pass Reception,Zach Wilcke pass complete to Jason Brownlee for 11 yds to the SoMis 41 for a 1ST down,1.90627133818456503,2022-10-22T21:11:59.000Z,8,Texas State,2022
401426358101874406,Southern Mississippi,Sun Belt,Texas State,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263582,2,2,1,"{'minutes': 12, 'seconds': 55}",3,3,59,59,1,10,False,4,Pass Reception,Zach Wilcke pass complete to Antavious Willis for 4 yds to the SoMis 37,-0.1673002614345122,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101874407,Southern Mississippi,Sun Belt,Texas State,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263582,2,3,1,"{'minutes': 12, 'seconds': 55}",3,3,63,63,2,14,False,8,Rush,Zach Wilcke run for 8 yds to the SoMis 45,0.5528304838595650,2022-10-22T21:03:43.000Z,8,Texas State,2022
401426358101874408,Southern Mississippi,Sun Belt,Texas State,Sun Belt,Texas State,Southern Mississippi,0,0,401426358,4014263582,2,4,1,"{'minutes': 12, 'seconds': 55}",3,3,55,55,3,6,False,0,Pass Incompletion,Zach Wilcke pass incomplete to Jason Brownlee,-0.73513960503044103,2022-10-22T21:11:59.000Z,8,Texas State,2022
