id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404085101849905,Texas Tech,Big 12,Kansas State,Big 12,Kansas State,Texas Tech,0,0,401404085,4014040851,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,0,0,False,0,Kickoff,Trey Wolff kickoff for 65 yds for a touchback,,2022-10-01T15:44:14.000Z,5,Texas Tech,2022
401404085101849908,Kansas State,Big 12,Texas Tech,Big 12,Kansas State,Texas Tech,0,0,401404085,4014040851,1,2,1,"{'minutes': 14, 'seconds': 45}",3,3,25,75,1,10,False,57,Rush,Adrian Martinez run for 57 yds to the TexTc 18 for a 1ST down,3.4859624106507305,2022-10-01T15:44:14.000Z,5,Texas Tech,2022
401404085101857501,Kansas State,Big 12,Texas Tech,Big 12,Kansas State,Texas Tech,7,0,401404085,4014040851,1,3,1,"{'minutes': 14, 'seconds': 20}",3,3,82,18,1,10,True,18,Rushing Touchdown,"Adrian Martinez run for 18 yds for a TD, (Chris Tennant KICK)",2.591792709070591,2022-10-01T15:44:14.000Z,5,Texas Tech,2022
401404085101858501,Kansas State,Big 12,Texas Tech,Big 12,Kansas State,Texas Tech,7,0,401404085,4014040852,2,1,1,"{'minutes': 14, 'seconds': 14}",3,3,35,65,0,0,False,33,Kickoff Return (Offense),"Ty Zentner kickoff for 58 yds , Xavier White return for 33 yds to the TexTc 40",,2022-10-01T16:07:21.000Z,5,Texas Tech,2022
401404085101858503,Texas Tech,Big 12,Kansas State,Big 12,Kansas State,Texas Tech,0,7,401404085,4014040852,2,2,1,"{'minutes': 13, 'seconds': 57}",3,3,60,60,1,10,False,9,Pass Reception,Donovan Smith pass complete to J.J. Sparkman for 9 yds to the TexTc 49,1.3394316215410970,2022-10-01T16:07:21.000Z,5,Texas Tech,2022
401404085101865301,Texas Tech,Big 12,Kansas State,Big 12,Kansas State,Texas Tech,0,7,401404085,4014040852,2,3,1,"{'minutes': 13, 'seconds': 39}",3,3,51,51,2,1,False,3,Rush,SaRodorick Thompson run for 3 yds to the KanSt 48 for a 1ST down,-0.2687648536773786,2022-10-01T15:44:14.000Z,5,Texas Tech,2022
401404085101868201,Texas Tech,Big 12,Kansas State,Big 12,Kansas State,Texas Tech,0,7,401404085,4014040852,2,4,1,"{'minutes': 12, 'seconds': 57}",3,3,48,48,1,10,False,-1,Pass Reception,Donovan Smith pass complete to Tahj Brooks for a loss of 1 yard to the KanSt 49,-1.3092528969479903,2022-10-01T15:44:14.000Z,5,Texas Tech,2022
401404085101875501,Texas Tech,Big 12,Kansas State,Big 12,Kansas State,Texas Tech,0,7,401404085,4014040852,2,5,1,"{'minutes': 12, 'seconds': 37}",3,3,49,49,2,11,False,-7,Sack,Donovan Smith sacked by Khalid Duke for a loss of 7 yards to the TexTc 44,-1.91206542794896443,2022-10-01T15:44:14.000Z,5,Texas Tech,2022
401404085101879601,Texas Tech,Big 12,Kansas State,Big 12,Kansas State,Texas Tech,0,7,401404085,4014040852,2,6,1,"{'minutes': 12, 'seconds': 3}",3,3,56,56,3,18,False,5,Pass Reception,Donovan Smith pass complete to SaRodorick Thompson for 5 yds to the TexTc 49,0.01907972357755394,2022-10-01T15:44:14.000Z,5,Texas Tech,2022
401404085101885201,Texas Tech,Big 12,Kansas State,Big 12,Kansas State,Texas Tech,0,7,401404085,4014040852,2,7,1,"{'minutes': 11, 'seconds': 16}",3,3,51,51,4,13,False,0,Punt,"Austin McNamara punt for 34 yds, fair catch by Phillip Brooks at the KanSt 17",,2022-10-01T16:38:09.000Z,5,Texas Tech,2022
