id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415638101849902,Tulsa,American Athletic,Temple,American Athletic,Temple,Tulsa,0,0,401415638,4014156381,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,65,65,1,10,False,15,Kickoff Return (Offense),"Tyler Tipton kickoff for 60 yds , De'Von Fox return for 15 yds to the Temp 20",,2022-10-21T23:36:19.000Z,8,Tulsa,2022
401415638101855302,Temple,American Athletic,Tulsa,American Athletic,Temple,Tulsa,0,0,401415638,4014156381,1,2,1,"{'minutes': 14, 'seconds': 46}",3,3,20,80,1,10,False,0,Penalty,"Warner, E.J. pass complete to Sanders, Adonicas for 18 yards to the TEMPLE38, PENALTY TEMPLE illegal touching (Sanders, Adonicas) 0 yards to the TEMPLE20, NO PLAY.",,2022-10-21T23:37:43.000Z,8,Tulsa,2022
401415638101856601,Temple,American Athletic,Tulsa,American Athletic,Temple,Tulsa,0,0,401415638,4014156381,1,3,1,"{'minutes': 14, 'seconds': 33}",3,3,20,80,2,10,False,3,Pass Reception,E.J. Warner pass complete to Edward Saydee for 3 yds to the Temp 23,-0.113780092511403195,2022-10-21T23:38:56.000Z,8,Tulsa,2022
401415638101864201,Temple,American Athletic,Tulsa,American Athletic,Temple,Tulsa,0,0,401415638,4014156381,1,4,1,"{'minutes': 13, 'seconds': 57}",3,3,23,77,3,7,False,0,Fumble Recovery (Own),"E.J. Warner run for no gain to the Temp 23 E.J. Warner fumbled, forced by Jayden Simon, recovered by Temp Jose Barbon",-0.198344936882633355,2022-10-21T23:39:52.000Z,8,Tulsa,2022
401415638101868501,Temple,American Athletic,Tulsa,American Athletic,Temple,Tulsa,0,0,401415638,4014156381,1,5,1,"{'minutes': 13, 'seconds': 14}",3,3,23,77,4,7,False,47,Punt,"Mackenzie Morgan punt for 47 yds , Keylon Stokes returns for a loss of 1 yard to the Tulsa 29",,2022-10-21T23:41:11.000Z,8,Tulsa,2022
401415638101868902,Tulsa,American Athletic,Temple,American Athletic,Temple,Tulsa,0,0,401415638,4014156382,2,1,1,"{'minutes': 13, 'seconds': 10}",3,3,71,71,1,10,False,6,Rush,Deneric Prince run for 6 yds to the Tulsa 35,0.3660456814250210,2022-10-21T23:41:40.000Z,8,Tulsa,2022
401415638101876001,Tulsa,American Athletic,Temple,American Athletic,Temple,Tulsa,0,7,401415638,4014156382,2,2,1,"{'minutes': 12, 'seconds': 39}",3,3,65,65,2,4,True,35,Interception Return Touchdown,Layton Jordan 35 Yd Interception Return (Camden Price Kick),-8.5904288086700564,2022-10-21T23:42:53.000Z,8,Tulsa,2022
401415638101876003,Temple,American Athletic,Tulsa,American Athletic,Temple,Tulsa,7,0,401415638,4014156383,3,1,1,"{'minutes': 12, 'seconds': 39}",3,3,35,65,1,10,False,16,Kickoff Return (Offense),"Rory Bell kickoff for 61 yds , Kamdyn Benjamin return for 16 yds to the Tulsa 20",,2022-10-21T23:42:53.000Z,8,Tulsa,2022
401415638101877201,Tulsa,American Athletic,Temple,American Athletic,Temple,Tulsa,0,7,401415638,4014156383,3,2,1,"{'minutes': 12, 'seconds': 27}",3,3,80,80,1,10,False,5,Rush,Steven Anderson run for 5 yds to the Tulsa 25,0.0855067756440384,2022-10-21T23:46:25.000Z,8,Tulsa,2022
401415638101884401,Tulsa,American Athletic,Temple,American Athletic,Temple,Tulsa,0,7,401415638,4014156383,3,3,1,"{'minutes': 11, 'seconds': 55}",3,3,75,75,2,5,False,4,Pass Interception Return,Davis Brin pass intercepted Jalen McMurray return for 4 yds to the Tulsa 35,-0.6994489800389356,2022-10-21T23:47:45.000Z,8,Tulsa,2022
