id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401415634101849902,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,0,Kickoff,Ryker Casey kickoff for 65 yds for a touchback,,2022-10-13T23:05:10.000Z,7,UCF,2022
401415634101854901,Temple,American Athletic,UCF,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,2,1,"{'minutes': 14, 'seconds': 50}",3,3,75,75,1,10,False,28,Pass Reception,E.J. Warner pass complete to Jose Barbon for 28 yds to the UCF 47 for a 1ST down,2.4645528784548915,2022-10-13T23:06:30.000Z,7,UCF,2022
401415634101857701,Temple,American Athletic,UCF,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,3,1,"{'minutes': 14, 'seconds': 22}",3,3,47,47,1,10,False,11,Pass Reception,E.J. Warner pass complete to Adonicas Sanders for 11 yds to the UCF 36 for a 1ST down,0.602424146252634,2022-10-13T23:07:00.000Z,7,UCF,2022
401415634101865401,Temple,American Athletic,UCF,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,4,1,"{'minutes': 13, 'seconds': 45}",3,3,36,36,1,10,False,3,Rush,Jakari Norwood run for 3 yds to the UCF 33,-0.226207639518348,2022-10-13T23:07:46.000Z,7,UCF,2022
401415634101867201,Temple,American Athletic,UCF,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,5,1,"{'minutes': 13, 'seconds': 27}",3,3,33,33,2,7,False,4,Rush,Jakari Norwood run for 4 yds to the UCF 29,-0.0891830572922923,2022-10-13T23:07:57.000Z,7,UCF,2022
401415634101869801,Temple,American Athletic,UCF,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,6,1,"{'minutes': 13, 'seconds': 1}",3,3,29,29,3,3,False,15,Pass Reception,E.J. Warner pass complete to Amad Anderson Jr. for 15 yds to the UCF 14 for a 1ST down,0.7778856166453548,2022-10-13T23:08:23.000Z,7,UCF,2022
401415634101876301,Temple,American Athletic,UCF,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,7,1,"{'minutes': 12, 'seconds': 36}",3,3,14,14,1,10,False,0,Pass Incompletion,E.J. Warner pass incomplete to Adonicas Sanders,-0.3125697195395781,2022-10-13T23:08:56.000Z,7,UCF,2022
401415634101877401,Temple,American Athletic,UCF,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,8,1,"{'minutes': 12, 'seconds': 25}",3,3,14,14,2,10,False,5,Rush,Quincy Patterson run for 5 yds to the UCF 9,0.0389749745267986,2022-10-13T23:09:42.000Z,7,UCF,2022
401415634101885201,Temple,American Athletic,UCF,American Athletic,UCF,Temple,0,0,401415634,4014156341,1,9,1,"{'minutes': 11, 'seconds': 47}",3,3,9,9,3,5,False,0,Pass Incompletion,E.J. Warner pass incomplete to Jose Barbon,-0.352131872821511,2022-10-13T23:10:20.000Z,7,UCF,2022
401415634101885701,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,0,401415634,4014156341,1,10,1,"{'minutes': 11, 'seconds': 42}",3,3,9,9,4,5,True,26,Field Goal Good,Camden Price 26 yd FG GOOD,,2022-10-13T23:11:17.000Z,7,UCF,2022
401415634101886301,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,0,401415634,4014156342,2,1,1,"{'minutes': 11, 'seconds': 36}",3,3,65,65,4,5,False,25,Kickoff Return (Offense),"Rory Bell kickoff for 64 yds , Ryan O'Keefe return for 25 yds to the UCF 26",,2022-10-13T23:15:29.000Z,7,UCF,2022
401415634101888201,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,2,1,"{'minutes': 11, 'seconds': 17}",3,3,26,74,1,10,False,0,Pass Reception,John Rhys Plumlee pass complete to Johnny Richardson for no gain to the UCF 26,-0.7342478781140684,2022-10-13T23:15:51.000Z,7,UCF,2022
401415634101889501,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,3,1,"{'minutes': 11, 'seconds': 4}",3,3,26,74,2,10,False,6,Pass Reception,John Rhys Plumlee pass complete to Ryan O'Keefe for 6 yds to the UCF 32,0.17558259333746393,2022-10-13T23:16:04.000Z,7,UCF,2022
401415634101896601,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,4,1,"{'minutes': 10, 'seconds': 33}",3,3,32,68,3,4,False,5,Penalty,"Plumlee, John Rhys pass incomplete, PENALTY TEMPLE offside (Jordan, Layton) 5 yards to the UCF37, NO PLAY, 1ST DOWN UCF.",,2022-10-13T23:17:07.000Z,7,UCF,2022
401415634101897701,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,5,1,"{'minutes': 10, 'seconds': 22}",3,3,37,63,1,10,False,7,Rush,Johnny Richardson run for 7 yds to the UCF 44,0.7113806413121412,2022-10-13T23:17:25.000Z,7,UCF,2022
401415634101904701,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,6,1,"{'minutes': 9, 'seconds': 52}",3,3,44,56,2,3,False,6,Rush,RJ Harvey run for 6 yds to the 50 yard line for a 1ST down,0.497718220144236,2022-10-13T23:17:59.000Z,7,UCF,2022
401415634101908401,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,7,1,"{'minutes': 9, 'seconds': 15}",3,3,50,50,1,10,False,3,Rush,RJ Harvey run for 3 yds to the Temp 47,-0.385960016074776,2022-10-13T23:19:34.000Z,7,UCF,2022
401415634101915001,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,8,1,"{'minutes': 8, 'seconds': 49}",3,3,53,47,2,7,False,15,Pass Reception,John Rhys Plumlee pass complete to Kobe Hudson for 15 yds to the Temp 32 for a 1ST down,1.3558525226071866,2022-10-13T23:20:03.000Z,7,UCF,2022
401415634101918401,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,9,1,"{'minutes': 8, 'seconds': 15}",3,3,68,32,1,10,False,5,Pass Reception,John Rhys Plumlee pass complete to Ryan O'Keefe for 5 yds to the Temp 27,0.0790402371080084,2022-10-13T23:20:42.000Z,7,UCF,2022
401415634101925401,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,10,1,"{'minutes': 7, 'seconds': 45}",3,3,73,27,2,5,False,13,Rush,John Rhys Plumlee run for 13 yds to the Temp 14 for a 1ST down,0.2441960133018725,2022-10-13T23:21:36.000Z,7,UCF,2022
401415634101929901,UCF,American Athletic,Temple,American Athletic,UCF,Temple,0,3,401415634,4014156342,2,11,1,"{'minutes': 7, 'seconds': 0}",3,3,86,14,1,10,False,5,Rush,Isaiah Bowser run for 5 yds to the Temp 9,0.0745432474784075,2022-10-13T23:21:59.000Z,7,UCF,2022
401415634101934901,UCF,American Athletic,Temple,American Athletic,UCF,Temple,7,3,401415634,4014156342,2,12,1,"{'minutes': 6, 'seconds': 50}",3,3,91,9,2,5,True,9,Rushing Touchdown,"John Rhys Plumlee run for 9 yds for a TD, (Colton Boomer KICK)",2.473739927700674,2022-10-13T23:22:52.000Z,7,UCF,2022
401415634101934903,UCF,American Athletic,Temple,American Athletic,UCF,Temple,7,3,401415634,4014156343,3,1,1,"{'minutes': 6, 'seconds': 50}",3,3,35,65,2,5,False,0,Kickoff,Ryker Casey kickoff for 65 yds for a touchback,,2022-10-13T23:22:52.000Z,7,UCF,2022
401415634101935401,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,2,1,"{'minutes': 6, 'seconds': 45}",3,3,75,75,1,10,False,14,Pass Reception,E.J. Warner pass complete to Jose Barbon for 14 yds to the Temp 39 for a 1ST down,1.2227390832564555,2022-10-13T23:27:27.000Z,7,UCF,2022
401415634101937701,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,3,1,"{'minutes': 6, 'seconds': 22}",3,3,61,61,1,10,False,0,Pass Incompletion,E.J. Warner pass incomplete to Adonicas Sanders,-1.1077677360468863,2022-10-13T23:27:55.000Z,7,UCF,2022
401415634101938701,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,4,1,"{'minutes': 6, 'seconds': 12}",3,3,61,61,2,10,False,1,Rush,Jakari Norwood run for 1 yd to the Temp 40,-0.6040036537219180,2022-10-13T23:28:27.000Z,7,UCF,2022
401415634101945401,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,5,1,"{'minutes': 5, 'seconds': 45}",3,3,60,60,3,9,False,10,Pass Reception,E.J. Warner pass complete to Adonicas Sanders for 10 yds to the 50 yard line for a 1ST down,2.7253754941122973,2022-10-13T23:29:16.000Z,7,UCF,2022
401415634101948402,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,6,1,"{'minutes': 5, 'seconds': 15}",3,3,50,50,1,10,False,0,Rush,Jakari Norwood run for no gain to the 50 yard line,-1.1143038065675127,2022-10-13T23:29:40.000Z,7,UCF,2022
401415634101955401,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,7,1,"{'minutes': 4, 'seconds': 45}",3,3,50,50,2,10,False,20,Pass Reception,E.J. Warner pass complete to Jose Barbon for 20 yds to the UCF 30 for a 1ST down,2.1414726057661147,2022-10-13T23:30:13.000Z,7,UCF,2022
401415634101956901,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,8,1,"{'minutes': 4, 'seconds': 30}",3,3,30,30,1,10,False,0,Rush,Jakari Norwood run for no gain to the UCF 30,-0.557844891990525,2022-10-13T23:30:19.000Z,7,UCF,2022
401415634101964201,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,9,1,"{'minutes': 3, 'seconds': 57}",3,3,30,30,2,10,False,10,Pass Reception,E.J. Warner pass complete to James Della Pesca for 10 yds to the UCF 20 for a 1ST down,0.754160295881597,2022-10-13T23:30:57.000Z,7,UCF,2022
401415634101967401,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,10,1,"{'minutes': 3, 'seconds': 25}",3,3,20,20,1,10,False,8,Rush,Edward Saydee run for 8 yds to the UCF 12,0.458030162847379,2022-10-13T23:31:39.000Z,7,UCF,2022
401415634101974701,Temple,American Athletic,UCF,American Athletic,UCF,Temple,3,7,401415634,4014156343,3,11,1,"{'minutes': 2, 'seconds': 52}",3,3,12,12,2,2,False,5,Rush,Edward Saydee run for 5 yds to the UCF 7 for a 1ST down,-0.036857064142891,2022-10-13T23:32:12.000Z,7,UCF,2022
401415634101977601,Temple,American Athletic,UCF,American Athletic,UCF,Temple,10,7,401415634,4014156343,3,12,1,"{'minutes': 2, 'seconds': 23}",3,3,7,7,1,7,True,7,Passing Touchdown,"E.J. Warner pass complete to Jose Barbon for 7 yds for a TD, (Camden Price KICK)",2.196754630327211,2022-10-13T23:33:20.000Z,7,UCF,2022
401415634101978101,Temple,American Athletic,UCF,American Athletic,UCF,Temple,10,7,401415634,4014156344,4,1,1,"{'minutes': 2, 'seconds': 18}",3,3,65,65,1,10,False,19,Kickoff Return (Offense),"Rory Bell kickoff for 56 yds , Ryan O'Keefe return for 19 yds to the UCF 28",,2022-10-13T23:38:17.000Z,7,UCF,2022
401415634101978801,UCF,American Athletic,Temple,American Athletic,UCF,Temple,7,10,401415634,4014156344,4,2,1,"{'minutes': 2, 'seconds': 11}",3,3,28,72,1,10,False,10,Rush,Isaiah Bowser run for 10 yds to the UCF 38 for a 1ST down,0.9026290715865617,2022-10-13T23:38:32.000Z,7,UCF,2022
401415634101986601,UCF,American Athletic,Temple,American Athletic,UCF,Temple,7,10,401415634,4014156344,4,3,1,"{'minutes': 1, 'seconds': 33}",3,3,38,62,1,10,False,61,Rush,RJ Harvey run for 61 yds to the Temp 1 for a 1ST down,4.0149823655590476,2022-10-13T23:39:31.000Z,7,UCF,2022
401415634101987302,UCF,American Athletic,Temple,American Athletic,UCF,Temple,7,10,401415634,4014156344,4,4,1,"{'minutes': 1, 'seconds': 26}",2,3,99,1,1,0,False,0,Timeout,"Timeout UCF, clock 01:26",,2022-10-13T23:40:27.000Z,7,UCF,2022
401415634101988101,UCF,American Athletic,Temple,American Athletic,UCF,Temple,14,10,401415634,4014156344,4,5,1,"{'minutes': 1, 'seconds': 18}",2,3,99,1,1,1,True,1,Rushing Touchdown,"John Rhys Plumlee run for 1 yd for a TD, (Colton Boomer KICK)",0.938021275120443,2022-10-13T23:42:00.000Z,7,UCF,2022
401415634101988103,UCF,American Athletic,Temple,American Athletic,UCF,Temple,14,10,401415634,4014156345,5,1,1,"{'minutes': 1, 'seconds': 18}",2,3,35,65,1,10,False,0,Kickoff,Ryker Casey kickoff for 65 yds for a touchback,,2022-10-13T23:42:00.000Z,7,UCF,2022
401415634101988901,Temple,American Athletic,UCF,American Athletic,UCF,Temple,10,14,401415634,4014156345,5,2,1,"{'minutes': 1, 'seconds': 10}",3,2,75,75,1,10,False,0,Pass Reception,E.J. Warner pass complete to Corey Cuascut-Palmer for no gain to the Temp 25,-0.70297002204365193,2022-10-13T23:44:10.000Z,7,UCF,2022
401415634101996201,Temple,American Athletic,UCF,American Athletic,UCF,Temple,10,14,401415634,4014156345,5,3,1,"{'seconds': 37, 'minutes': 0}",3,2,75,75,2,10,False,2,Rush,Edward Saydee run for 2 yds to the Temp 27,-0.228441173415014908,2022-10-13T23:05:10.000Z,7,UCF,2022
401415634101999201,Temple,American Athletic,UCF,American Athletic,UCF,Temple,10,14,401415634,4014156345,5,4,1,"{'seconds': 7, 'minutes': 0}",3,2,73,73,3,8,False,6,Pass Reception,E.J. Warner pass complete to Adonicas Sanders for 6 yds to the Temp 33,0.110509344577075728,2022-10-13T23:45:17.000Z,7,UCF,2022
401415634101999202,Temple,American Athletic,UCF,American Athletic,UCF,Temple,10,14,401415634,4014156345,5,5,1,"{'minutes': 0, 'seconds': 0}",3,2,73,73,0,8,False,0,End Period,End of 1st Quarter,,2022-10-13T23:45:17.000Z,7,UCF,2022
401415634102854901,Temple,American Athletic,UCF,American Athletic,UCF,Temple,10,14,401415634,4014156345,5,6,2,"{'minutes': 14, 'seconds': 50}",3,2,67,67,4,2,False,0,Punt,"Mackenzie Morgan punt for 37 yds, downed at the UCF 30",,2022-10-13T23:49:57.000Z,7,UCF,2022
401415634102855402,UCF,American Athletic,Temple,American Athletic,UCF,Temple,14,10,401415634,4014156346,6,1,2,"{'minutes': 14, 'seconds': 45}",2,3,30,70,1,10,False,-5,Rush,Johnny Richardson run for a loss of 5 yards to the UCF 25,-1.344183738686008485,2022-10-13T23:51:06.000Z,7,UCF,2022
