id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404155101849902,Connecticut,FBS Independents,UMass,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,1,10,False,22,Kickoff,"Noe Ruelas kickoff for 54 yds , Greg Desrosiers Jr. return for 22 yds to the UMass 33",,2022-11-04T23:04:00.000Z,10,UMass,2022
401404155101849903,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,67,67,1,10,False,-5,Penalty,"UMASS Penalty, False Start (-5 Yards) to the UMass 28",,2022-11-04T23:04:00.000Z,10,UMass,2022
401404155101854401,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,3,1,"{'minutes': 14, 'seconds': 55}",3,3,72,72,1,15,False,1,Rush,Ellis Merriweather run for 1 yd to the UMass 29,-0.43283938243641008,2022-11-04T23:06:02.000Z,10,UMass,2022
401404155101855401,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,4,1,"{'minutes': 14, 'seconds': 45}",3,3,71,71,2,14,False,17,Rush,Isaac Ross run for 17 yds to the UMass 46 for a 1ST down,2.68391566532440318,2022-11-04T23:06:24.000Z,10,UMass,2022
401404155101856901,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,5,1,"{'minutes': 14, 'seconds': 30}",3,3,54,54,1,10,False,5,Pass Reception,Brady Olson pass complete to Josiah Johnson for 5 yds to the UConn 49,0.1068990350586356,2022-11-04T23:07:19.000Z,10,UMass,2022
401404155101857901,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,6,1,"{'minutes': 14, 'seconds': 20}",3,3,49,49,2,5,False,4,Rush,Brady Olson run for 4 yds to the UConn 45,-0.1563844932306430,2022-11-04T23:07:40.000Z,10,UMass,2022
401404155101859901,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,7,1,"{'minutes': 14, 'seconds': 0}",3,3,45,45,3,1,False,2,Rush,Brady Olson run for 2 yds to the UConn 43 for a 1ST down,0.8820129079263612,2022-11-04T23:08:02.000Z,10,UMass,2022
401404155101864901,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,8,1,"{'minutes': 13, 'seconds': 50}",3,3,43,43,1,10,False,9,Rush,Greg Desrosiers Jr. run for 9 yds to the UConn 34,0.9071042242020542,2022-11-04T23:08:33.000Z,10,UMass,2022
401404155101868901,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,9,1,"{'minutes': 13, 'seconds': 10}",3,3,34,34,2,1,False,4,Rush,Ellis Merriweather run for 4 yds to the UConn 30 for a 1ST down,-0.368977269193971,2022-11-04T23:09:04.000Z,10,UMass,2022
401404155101889601,UMass,FBS Independents,Connecticut,FBS Independents,Connecticut,UMass,0,0,401404155,4014041551,1,10,1,"{'minutes': 11, 'seconds': 3}",3,3,30,30,1,10,False,45,Fumble Recovery (Opponent),"Ellis Merriweather run for a loss of 5 yards, Ellis Merriweather fumbled, recovered by UConn Jackson Mitchell , return for 45 yds to the UMass 20",,2022-11-04T23:11:09.000Z,10,UMass,2022
401404155101894901,Connecticut,FBS Independents,UMass,FBS Independents,Connecticut,UMass,0,0,401404155,4014041552,2,1,1,"{'minutes': 10, 'seconds': 50}",3,3,80,20,1,10,False,3,Rush,Victor Rosa run for 3 yds to the UMass 17,-0.118259586028175,2022-11-04T23:12:14.000Z,10,UMass,2022
