id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock,week,team,year
401404039101849903,Arizona,Pac-12,Washington State,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,1,1,"{'minutes': 15, 'seconds': 0}",3,3,35,65,0,0,False,0,Kickoff,Tyler Loop kickoff for 65 yds for a touchback,,2022-11-19T19:07:53.000Z,12,Washington State,2022
401404039101849906,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,2,1,"{'minutes': 15, 'seconds': 0}",3,3,75,75,1,10,False,8,Pass Reception,Cameron Ward pass complete to Nakia Watson for 8 yds to the WshSt 33,0.9104368550610653,2022-11-19T19:07:53.000Z,12,Washington State,2022
401404039101849909,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,3,1,"{'minutes': 15, 'seconds': 0}",3,3,67,67,2,2,False,5,Rush,Nakia Watson run for 5 yds to the WshSt 38 for a 1ST down,0.2143146239807656,2022-11-19T19:07:53.000Z,12,Washington State,2022
401404039101849910,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,4,1,"{'minutes': 15, 'seconds': 0}",3,3,62,62,1,10,False,0,Pass Incompletion,Cameron Ward pass incomplete,-1.0879950771673279,2022-11-19T19:09:04.000Z,12,Washington State,2022
401404039101849913,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,5,1,"{'minutes': 15, 'seconds': 0}",3,3,62,62,2,10,False,19,Pass Reception,Cameron Ward pass complete to Robert Ferrel for 19 yds to the Ariz 43 for a 1ST down,2.6886286299159643,2022-11-19T19:11:09.000Z,12,Washington State,2022
401404039101849916,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,6,1,"{'minutes': 15, 'seconds': 0}",3,3,43,43,1,10,False,4,Pass Reception,Cameron Ward pass complete to Lincoln Victor for 4 yds to the Ariz 39,-0.1055620972164722,2022-11-19T19:09:04.000Z,12,Washington State,2022
401404039101849919,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,7,1,"{'minutes': 15, 'seconds': 0}",3,3,39,39,2,6,False,16,Pass Reception,Cameron Ward pass complete to De'Zhaun Stribling for 16 yds to the Ariz 23 for a 1ST down,0.7939545070760979,2022-11-19T19:09:04.000Z,12,Washington State,2022
401404039101849921,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,8,1,"{'minutes': 15, 'seconds': 0}",3,3,23,23,1,10,False,0,Pass Incompletion,Cameron Ward pass incomplete,-0.4181180581276075,2022-11-19T19:11:09.000Z,12,Washington State,2022
401404039101849924,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,9,1,"{'minutes': 15, 'seconds': 0}",3,3,23,23,2,10,False,8,Rush,Cameron Ward run for 8 yds to the Ariz 15,0.351739767441442,2022-11-19T19:11:09.000Z,12,Washington State,2022
401404039101849926,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,10,1,"{'minutes': 15, 'seconds': 0}",3,3,15,15,3,2,False,4,Pass Reception,Cameron Ward pass complete to Leyton Smithson for 4 yds to the Ariz 11 for a 1ST down,0.208616555389469,2022-11-19T19:11:09.000Z,12,Washington State,2022
401404039101849933,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,0,0,401404039,4014040391,1,11,1,"{'minutes': 15, 'seconds': 0}",3,3,11,11,1,10,False,2,Penalty,"ARIZONA Penalty, Personal Foul (2 Yards) to the Ariz 5 for a 1ST down",,2022-11-19T19:11:09.000Z,12,Washington State,2022
401404039101886801,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,7,0,401404039,4014040391,1,12,1,"{'minutes': 11, 'seconds': 31}",3,3,4,4,1,4,True,4,Passing Touchdown,"Cameron Ward pass complete to Nakia Watson for 4 yds for a TD, (Dean Janikowski KICK)",1.688190518713975,2022-11-19T19:14:03.000Z,12,Washington State,2022
401404039101886803,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,7,0,401404039,4014040392,2,1,1,"{'minutes': 11, 'seconds': 31}",3,3,65,65,0,0,False,0,Kickoff,Dean Janikowski kickoff for 65 yds for a touchback,,2022-11-19T19:18:32.000Z,12,Washington State,2022
401404039101886805,Arizona,Pac-12,Washington State,Pac-12,Arizona,Washington State,0,7,401404039,4014040392,2,2,1,"{'minutes': 11, 'seconds': 31}",3,3,25,75,1,10,False,0,Pass Incompletion,Jayden de Laura pass incomplete,-0.70297002204365193,2022-11-19T19:18:32.000Z,12,Washington State,2022
401404039101886806,Arizona,Pac-12,Washington State,Pac-12,Arizona,Washington State,0,7,401404039,4014040392,2,3,1,"{'minutes': 11, 'seconds': 31}",3,3,25,75,2,10,False,-8,Sack,Jayden de Laura sacked by Quinn Roff for a loss of 8 yards to the Ariz 17,-0.56130697183349820,2022-11-19T19:18:32.000Z,12,Washington State,2022
401404039101886807,Arizona,Pac-12,Washington State,Pac-12,Arizona,Washington State,0,7,401404039,4014040392,2,4,1,"{'minutes': 11, 'seconds': 31}",3,3,17,83,3,18,False,6,Pass Reception,Jayden de Laura pass complete to Michael Wiley for 6 yds to the Ariz 23,0.01826999189421130,2022-11-19T19:18:32.000Z,12,Washington State,2022
401404039101904701,Arizona,Pac-12,Washington State,Pac-12,Arizona,Washington State,0,7,401404039,4014040392,2,5,1,"{'minutes': 9, 'seconds': 52}",3,3,23,77,4,12,False,15,Punt,"Kyle Ostendorp punt for 44 yds , Robert Ferrel returns for 15 yds to the WshSt 48",,2022-11-19T19:22:55.000Z,12,Washington State,2022
401404039101904703,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,7,0,401404039,4014040393,3,1,1,"{'minutes': 9, 'seconds': 52}",3,3,52,52,1,10,False,0,Pass Incompletion,Cameron Ward pass incomplete,-1.1430602484821703,2022-11-19T19:22:55.000Z,12,Washington State,2022
401404039101904704,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,7,0,401404039,4014040393,3,2,1,"{'minutes': 9, 'seconds': 52}",3,3,52,52,2,10,False,12,Rush,Cameron Ward run for 12 yds to the Ariz 40 for a 1ST down,1.9620653932552603,2022-11-19T19:22:55.000Z,12,Washington State,2022
401404039101908001,Washington State,Pac-12,Arizona,Pac-12,Arizona,Washington State,7,0,401404039,4014040393,3,3,1,"{'minutes': 9, 'seconds': 19}",3,3,40,40,1,10,False,33,Fumble Recovery (Opponent),"Cameron Ward pass complete to Donovan Ollie for 33 yds Donovan Ollie fumbled, recovered by Ariz Tacario Davis",,2022-11-19T19:25:30.000Z,12,Washington State,2022
401404039101908002,Arizona,Pac-12,Washington State,Pac-12,Arizona,Washington State,0,7,401404039,4014040393,3,4,1,"{'minutes': 9, 'seconds': 19}",3,3,7,93,1,10,False,0,Penalty,"ARIZONA Penalty, False Start ( Yards) to the Ariz 4",,2022-11-19T19:25:50.000Z,12,Washington State,2022
401404039101908004,Arizona,Pac-12,Washington State,Pac-12,Arizona,Washington State,0,7,401404039,4014040394,4,1,1,"{'minutes': 9, 'seconds': 19}",3,3,4,96,1,13,False,0,Pass Incompletion,Jayden de Laura pass incomplete,-0.17344294785359704,2022-11-19T19:25:50.000Z,12,Washington State,2022
401404039101908005,Arizona,Pac-12,Washington State,Pac-12,Arizona,Washington State,0,7,401404039,4014040394,4,2,1,"{'minutes': 9, 'seconds': 19}",3,3,4,96,2,13,False,9,Pass Reception,Jayden de Laura pass complete to Dorian Singer for 9 yds to the Ariz 13,0.18378385655802276,2022-11-19T19:25:50.000Z,12,Washington State,2022
