player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Ashton Daniels,Stanford,1.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Daniels,Stanford,2.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Daniels,Stanford,4.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Daniels,Stanford,5.0,2022.0,0.0,0.0,1550.0,0.0,0.0,41.9485784417558,0.0,0.0,52.58788372714949
Ashton Daniels,Stanford,6.0,2022.0,0.0,0.0,400.0,0.0,-100.0,48.26324469201935,0.0,0.0,48.82495344690452
Ashton Daniels,Stanford,7.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Daniels,Stanford,8.0,2022.0,0.0,0.0,100.0,0.0,0.0,39.4774825697932,0.0,0.0,51.48082717829644
Ashton Daniels,Stanford,9.0,2022.0,25.0,125.0,1020.0,100.0,100.0,49.26328184298384,0.0,0.0,63.92885895588179
Ashton Daniels,Stanford,10.0,2022.0,25.0,400.0,375.0,0.0,100.0,48.56301089243337,10.0,66.66666666666666,49.17696035333793
Ashton Daniels,Stanford,11.0,2022.0,12.5,12.5,0.0,50.0,100.0,47.47163999706872,0.0,0.0,58.68538669373444
Ashton Daniels,Stanford,12.0,2022.0,0.0,0.0,1066.6666666666663,0.0,0.0,41.680442158348505,0.0,0.0,45.813263877815615
Ashton Daniels,Stanford,13.0,2022.0,25.0,150.0,0.0,91.41684612984564,100.0,54.93529604573234,0.0,100.0,49.67292735105482
