player,team,week,year,aqs,qpi,sei,crae,dmi,ppi,adpsr,reer,defense_score
Devin Kargman,Kent State,1.0,2022.0,62.5,106.25,0.0,41.70144641224195,100.0,50.16714617901566,-8.333333333333332,0.0,55.88776416659658
Devin Kargman,Kent State,2.0,2022.0,0.0,0.0,0.0,0.0,0.0,48.830887652193454,-12.499999999999998,0.0,64.51403839410045
Devin Kargman,Kent State,3.0,2022.0,87.5,25.0,0.0,20.951038084442853,100.0,0.0,0.0,100.0,0.0
Devin Kargman,Kent State,4.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Kargman,Kent State,5.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Kargman,Kent State,6.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Kargman,Kent State,7.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Kargman,Kent State,8.0,2022.0,52.08333333333333,200.0,200.0,-17.05474580549591,100.0,48.79668512428415,9.67741935483871,20.0,47.63301590256677
Devin Kargman,Kent State,10.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Kargman,Kent State,11.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Kargman,Kent State,12.0,2022.0,59.210526315789465,128.94736842105263,200.0,-10.000297295830512,55.55555555555556,43.3820309798105,3.7037037037037033,0.0,47.565469463659554
Devin Kargman,Kent State,13.0,2022.0,61.36363636363637,102.27272727272728,0.0,-10.782231290733574,66.66666666666666,47.580827597577006,5.263157894736842,0.0,51.79299899567411
