id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
3821571,Jordan,Morgan,Arizona,320,78,77,3,OL,Marana,AZ,USA,32.4446988,-111.2157091,04019,[]
4244039,Jerry,Roberts,Arizona,230,74,48,4,LB,Erie,PA,USA,42.1294712,-80.0852695,42049,[42519]
4259368,JB,Brown,Arizona,280,74,12,4,DL,Long Beach,CA,USA,33.7690164,-118.1916048,06037,[]
4259370,Jalen,Harris,Arizona,275,78,1,4,DL,Mesa,AZ,USA,33.4151117,-111.8314773,04013,[39112]
4259638,Hunter,Echols,Arizona,250,77,31,4,DL,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,[38754]
4360890,Jordan,McCloud,Arizona,195,73,3,3,QB,Tampa,FL,USA,27.9477595,-82.458444,12057,[44612]
4361263,Drake,Anderson,Arizona,200,71,8,3,RB,Chandler,AZ,USA,33.3062223,-111.8413317,04013,[44356]
4372595,Christian,Young,Arizona,225,75,5,4,S,Charlotte,NC,USA,35.2272,-80.843083,37119,[43766]
4372597,Jamarye,Joiner,Arizona,220,73,10,3,WR,Tucson,AZ,USA,32.2228765,-110.9748477,04019,[43491]
4372602,Nazar,Bombata,Arizona,220,73,28,3,RB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,[46643]
4372605,Issaiah,Johnson,Arizona,261,74,45,3,LB,Victorville,CA,USA,34.5361067,-117.2911565,06071,[43990]
4384171,Tanner,McLachlan,Arizona,240,77,84,3,TE,Lethbridge,AB,Canada,,,,[]
4426678,Anthony,Solomon,Arizona,225,73,10,4,LB,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,[47019]
4426999,Gunner,Cruz,Arizona,230,78,9,2,QB,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[47659]
4427859,Seth,MacKellar,Arizona,215,72,64,3,LS,San Juan Capistrano,CA,USA,33.5016932,-117.6625509,06059,[]
4428173,Kyle,Ostendorp,Arizona,215,74,19,3,P,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,[49474]
4428383,Christian,Roland-Wallace,Arizona,205,72,4,3,CB,Palmdale,CA,USA,34.5793131,-118.1171108,06037,[67983]
4428411,Isaiah,Rutherford,Arizona,190,73,2,3,CB,Sacramento,CA,USA,38.5815719,-121.4943996,06067,[47004]
4428485,Eddie,Siaumau-Sanitoa,Arizona,245,75,41,2,DL,Pago Pago,,American Samoa,,,,[]
4428728,Jaxen,Turner,Arizona,210,74,21,3,S,Moreno Valley,CA,USA,33.937517,-117.2305944,06065,[47751]
4430635,Will,Plummer,Arizona,205,73,15,2,QB,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[62484]
4431239,Gunner,Maldonado,Arizona,195,72,9,2,S,Chandler,AZ,USA,33.3062223,-111.8413317,04013,[62221]
4431348,Malik,Reed,Arizona,230,74,53,2,LB,Chandler,AZ,USA,33.3062223,-111.8413317,04013,[62220]
4431541,Tiaoalii,Savea,Arizona,293,76,98,2,DL,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[71671]
4432300,Woody,Jean,Arizona,315,77,73,1,OL,Deerfield Beach,FL,USA,26.318342,-80.0996306,12011,[63015]
4433844,Alex,Lines,Arizona,250,78,88,2,TE,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[62683]
4567216,DJ,Williams,Arizona,225,74,32,4,RB,Lake Placid,FL,USA,27.2930999,-81.3628502,12055,[74903]
4569135,Kyon,Barrs,Arizona,310,75,92,3,DL,Murrieta,CA,USA,33.577752399999994,-117.18845420205307,06065,[50362]
4569140,Josh,Donovan,Arizona,325,78,56,4,OL,College Station,TX,USA,30.5955289,-96.3071042,48041,[40120]
4569141,Paiton,Fears,Arizona,320,78,74,4,OL,Mascotte,FL,USA,28.5783313,-81.8867452,12069,[]
4569150,Dante,Smith,Arizona,225,71,38,3,LB,Round Rock,TX,USA,30.508235,-97.6788934,48491,[41248]
4569156,Michael,Wiley,Arizona,210,72,6,3,RB,Houston,TX,USA,29.7589382,-95.3676974,48201,[48295]
4575665,Jacob,Cowing,Arizona,175,71,2,3,WR,Maricopa,AZ,USA,33.058129,-112.0477554,04021,[50481]
4592822,Roberto,Miranda,Arizona,245,75,85,1,TE,Berlin,,Germany,,,,"[63025, 75031]"
4612822,Jeremy,Mercier,Arizona,240,75,44,3,LB,Chandler,AZ,USA,33.3062223,-111.8413317,04013,"[63623, 75082]"
4682488,Dalton,Johnson,Arizona,195,71,16,1,S,Katy,TX,USA,29.7857853,-95.8243956,48157,[72820]
4683232,Kolbe,Cage,Arizona,215,73,11,1,LB,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[72722]
4683572,JT,Hand,Arizona,310,76,55,1,OL,Orange County,CA,USA,33.7500378,-117.8704931,06059,[73160]
4683718,Evan,Branch-Haynes,Arizona,300,74,55,1,DL,Richmond,CA,USA,37.9357576,-122.3477486,06013,[73573]
4683959,Kevon,Garcia,Arizona,230,74,37,1,DL,New Orleans,LA,USA,29.9499323,-90.0701156,22071,[72596]
4684178,Mojo,Weerts,Arizona,220,73,32,1,LB,Batavia,IL,USA,41.8500284,-88.3125738,17089,[]
4685289,Keyan,Burnett,Arizona,235,78,89,1,TE,Ladera Ranch,CA,USA,33.5510165,-117.6385401,06059,[90330]
4685358,Kevin,Green Jr.,Arizona,170,71,12,1,WR,Mission Hills,CA,USA,34.687584,-120.43901754304565,06083,[90596]
4685434,Sterling,Lane II,Arizona,220,75,8,1,LB,Saint Louis,MO,USA,38.6264178,-90.1998378,29510,[90439]
4685445,Rayshon,Luke,Arizona,170,69,20,1,RB,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,[90310]
4685453,Tyler,Martin,Arizona,245,73,54,1,LB,Acton,MA,USA,42.4850931,-71.43284,25017,[90748]
4685472,Tetairoa,McMillan,Arizona,205,77,4,1,WR,Anaheim,CA,USA,33.8347516,-117.911732,06059,[90154]
4685523,Ephesians,Prysock,Arizona,180,76,7,1,CB,Canyon Country,CA,USA,34.4233293,-118.4720281,06037,[90357]
4685580,Grayson,Stovall,Arizona,295,75,78,1,OL,Chandler,AZ,USA,33.3062223,-111.8413317,04013,[90855]
4685828,Stevie,Rocker Jr.,Arizona,205,72,23,2,RB,Tucson,AZ,USA,32.2228765,-110.9748477,04019,[72760]
4686451,Jashon,Butler,Arizona,200,70,29,3,RB,Lynnwood,WA,USA,47.8278656,-122.3053932,53061,[]
4686774,Jason,Harris,Arizona,252,79,6,1,DL,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[61857]
4689467,James,Bohls,Arizona,215,72,33,1,RB,San Clemente,CA,USA,33.4270275,-117.6124179,06059,[72560]
4696713,DJ,Warnell Jr.,Arizona,200,75,14,3,S,La Marque,TX,USA,29.3685674,-94.9713134,48167,[62608]
4697623,Jayden,de Laura,Arizona,205,72,7,2,QB,Honolulu,HI,USA,21.304547,-157.8556764,15003,[62028]
4697675,Anthony,Ward,Arizona,225,72,57,1,LB,Ontario,CA,USA,34.065846,-117.6484304,06071,[]
4697696,Josh,Baker,Arizona,310,75,75,2,OL,Eureka,MO,USA,38.5025537,-90.6279044,29189,[62712]
4697737,RJ,Edwards,Arizona,222,74,36,2,LB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,[]
4697738,Adama,Fall,Arizona,195,74,19,1,CB,Simi Valley,CA,USA,34.2694474,-118.781482,06111,[]
4697740,Kameron,Hawkins,Arizona,205,71,39,2,LS,Victorville,CA,USA,34.5361067,-117.2911565,06071,[64922]
4697741,Jalen,John,Arizona,225,71,21,2,RB,Portland,OR,USA,45.5202471,-122.6741949,41051,[62406]
4697743,Shontrail,Key,Arizona,305,77,57,1,OL,Chicago,IL,USA,41.8755616,-87.6244212,17031,[63275]
4697744,Sam,Langi,Arizona,325,77,58,3,OL,San Francisco,CA,USA,37.7790262,-122.4199061,06075,[]
4697745,Tyler,Loop,Arizona,185,73,33,2,PK,Lucas,TX,USA,33.0842854,-96.5766577,48085,[64335]
4697747,Leif,Magnuson,Arizona,315,77,65,1,OL,Saskatoon,SK,Canada,,,,[62978]
4697748,Isaiah,Mays,Arizona,200,73,13,3,S,Berkeley,CA,USA,37.8708393,-122.2728639,06001,[]
4697753,Anthony,Patt,Arizona,300,77,76,1,OL,San Marcos,CA,USA,33.1433723,-117.1661449,06073,[75064]
4697755,Paris,Shand,Arizona,290,77,95,2,DL,Toronto,ON,Canada,,,,"[63516, 75078]"
4697757,Treydan,Stukes,Arizona,190,74,20,2,CB,Litchfield Park,AZ,USA,33.4933796,-112.3581244,04013,[]
4697761,Dion,Wilson Jr.,Arizona,295,78,94,2,DL,Perris,CA,USA,33.7825194,-117.2286478,06065,"[62461, 74979]"
4697763,Jaydin,Young,Arizona,180,72,3,2,S,Peoria,AZ,USA,33.5806115,-112.2372942,04013,[]
4702555,Jonah,Coleman,Arizona,225,69,24,1,RB,Stockton,CA,USA,37.9577016,-121.2907796,06077,[90600]
4711055,Dorian,Singer,Arizona,185,73,5,2,WR,Saint Paul,MN,USA,44.9504037,-93.1015026,27123,[]
4712326,Isaiah,Taylor,Arizona,200,71,28,1,S,Fort Lauderdale,FL,USA,26.1223084,-80.1433786,12011,[75293]
4712328,Anthony,Simpson,Arizona,205,71,1,2,WR,Pawling,NY,USA,41.5620381,-73.6026271,36027,[]
4714256,Ammon,Allen,Arizona,215,75,40,1,LB,Mesa,AZ,USA,33.4151117,-111.8314773,04013,[75310]
4726127,Tacario,Davis,Arizona,185,76,23,1,CB,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[91257]
4781745,Jermaine,Wiggins Jr.,Arizona,250,75,97,1,DL,Boxford,MA,USA,42.677746850000005,-71.00127464149776,25009,[94413]
4801717,Noah,Fifita,Arizona,195,71,11,1,QB,Huntington Beach,CA,USA,33.6783336,-118.0000166,06059,[90793]
4816094,Russell,Davis II,Arizona,210,75,99,1,DL,Long Beach,CA,USA,33.7690164,-118.1916048,06037,[91015]
4816108,Tyler,Powell,Arizona,240,79,87,1,TE,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,[91441]
4819257,Jonah,Savaiinaea,Arizona,335,77,71,1,OL,Honolulu,HI,USA,21.304547,-157.8556764,15003,[90697]
4870401,Jacob,Reece,Arizona,300,77,54,1,OL,Salt Lake City,UT,USA,40.7596198,-111.8867975,49035,[91921]
4879634,Jaden,Clark,Arizona,185,71,26,1,WR,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,[]
4879636,Jeffrey,Robinson,Arizona,185,69,39,1,CB,Shakopee,MN,USA,44.7980186,-93.5268986,27139,[]
4879637,Victor,Zayas,Arizona,225,74,47,1,LB,Gilbert,AZ,USA,33.3527632,-111.7890373,04013,[]
4896317,Jacob,Manu,Arizona,220,71,59,1,LB,Santa Ana,CA,USA,33.7494951,-117.8732213,06059,[91020]
4911674,Isaiah,Ward,Arizona,215,77,90,1,DL,Ontario,CA,USA,34.065846,-117.6484304,06071,[90914]
4911903,Jai-Ayviauynn,Celestine,Arizona,167,68,24,1,CB,Miami,FL,USA,25.7742658,-80.1936589,12086,[91418]
5086627,Cole,Tannenbaum,Arizona,210,76,14,1,QB,Brentwood,CA,USA,37.9317766,-121.6960266,06013,[]
5086628,AJ,Jones,Arizona,200,76,16,1,WR,Ontario,CA,USA,34.065846,-117.6484304,06071,[90901]
5086629,Rex,Haynes,Arizona,200,76,27,1,WR,San Diego,CA,USA,32.7174209,-117.1627714,06073,[91622]
5086630,Will,Uhrich,Arizona,200,73,27,1,S,Burlingame,CA,USA,37.5841026,-122.3660825,06081,[]
5086631,Devin,Dunn,Arizona,190,70,29,1,CB,Chandler,AZ,USA,33.3062223,-111.8413317,04013,[]
5086632,Jax,Stam,Arizona,225,71,30,1,S,Peoria,AZ,USA,33.5806115,-112.2372942,04013,[]
5086633,Samuel,Chung,Arizona,160,68,35,1,S,Atherton,CA,USA,37.4613272,-122.197743,06081,[]
